Code,zh-CN,en-US,de-DE,ja-JP,fr-FR,es-ES,pt-PT,nl-NL,it-IT,ko-KR,zh-TW
3020,虚拟机执行OVA文件失败,Fail to execute OVA file in virtual machine,Ausführung einer OVA-Datei auf virtueller Maschine fehlgeschlagen,OVAファイルの仮想マシン実行に失敗しました,Échec de l'exécution du fichier OVA dans la machine virtuelle,Fallo al ejecutar el archivo OVA en la máquina virtual,Falha ao executar o ficheiro OVA na máquina virtual,Het is niet gelukt een OVA-bestand uit te voeren op een virtuele machine,Esecuzione del file OVA nella macchina virtuale fallita,가상 머신 OVA 파일 실행 실패,虛擬機執行OVA文件失敗
3021,虚拟机重启失败,Fail to restart virtual machine,Neustart der virtuellen Maschine fehlgeschlagen,仮想マシンの再起動に失敗しました,Échec du redémarrage de la machine virtuelle,Fallo al reiniciar la máquina virtual,Falha ao reiniciar a máquina virtual,De virtuele machine is niet opnieuw opgestart,Riavvio della macchina virtuale fallito,가상 머신 재시작 실패,虛擬機重啓失敗
3022,不是一个iso文件,Not an iso file,Keine ISO-Datei,isoファイルではありません,Pas un fichier iso,No es un archivo iso,Não é um ficheiro iso,Geen ISO-bestand,Non è un file iso,ISO 파일이 아님,不是一個iso文件
3023,无法创建新的共享链接，已经达到数量上限制,"Unable to create new shared links, quantity limit has been reached","Keine neuen gemeinsamen Links können erstellt werden, das Mengenlimit ist erreicht",共有数の上限に達したため、新しい共有リンクを作成できません,"Impossible de créer de nouveaux liens partagés, la limite de quantité a été atteinte","No se pueden crear nuevos enlaces compartidos, se ha alcanzado el límite de cantidad","Não é possível criar novos links partilhados, o limite de quantidade foi atingido","Er kunnen geen nieuwe gedeelde links worden aangemaakt, de kwantiteitslimiet is bereikt.","Impossibile creare nuovi link condivisi, il limite di quantità è stato raggiunto","새 공유 링크를 생성할 수 없음, 최대 수량 제한에 도달함",無法創建新的共享鏈接，已經達到數量上限制
3024,删除快照失败,Fail to delete snapshot,Schnappschuss-Löschung fehlgeschlagen,スナップショットの削除に失敗しました,Échec de la suppression de l'instantané,Fallo al borrar instantánea,Falha ao excluir o instantâneo,Snapshot verwijderen mislukt,Eliminazione dello snapshot fallita,스냅샷 삭제 실패,刪除快照失敗
3025,共享链接已失效,The sharing link has expired,Freigabelink ist abgelaufen,共有リンクは無効になっています。,Le lien de partage a expiré.,El enlace compartido ha expirado,O link compartilhado expirou,Gedeelde link is verlopen,Link condiviso scaduto,공유 링크가 만료되었습니다,共享鏈接已失效
3026,网络错误,Network error,Netzwerkfehler,ネットワークエラー ,Erreur réseau,Error de red,Erro de rede,Netwerkfout,Errore di rete,네트워크 오류,網絡錯誤
3027,不支持生成uefi快照,UEFI snapshot not supported,UEFI-Snapshots werden nicht unterstützt,uefiスナップショットの生成はサポートされていません,L'instantané UEFI n'est pas pris en charge,No se admite la instantánea UEFI,Instantâneo UEFI não suportado,UEFI snapshot niet ondersteund,Lo snapshot UEFI non è supportato,UEFI 스냅샷 생성 불가,不支持生成uefi快照
3033,服务器尚在启动中...,The server is starting...,Der Server wird gestartet...,サーバーが起動中...,Le serveur démarre...,El servidor se está iniciando...,O servidor está a arrancar...,De server is gestart...,Il server si sta avviando...,서버가 아직 시작 중입니다...,服務器尚在啓動中...
3034,无法获取共享链接信息,Unable to get sharing link info,Informationen des Freigabelinks können nicht abgerufen werden,共有リンク情報を取得できません。,Impossible d'obtenir les informations du lien de partage,No se puede obtener la información del enlace compartido,Não foi possível obter a mensagem do link compartilhado,Kan geen gedeelde link info krijgen,Impossibile ottenere le informazioni del link condiviso,공유 링크 정보를 가져올 수 없습니다,無法獲取共享鏈接信息
3035,开机失败，USB设备冲突，查看详细日志,Boot failed due to USB Conflict. View Log.,Bootvorgang aufgrund eines USB-Konflikts fehlgeschlagen. Protokolle anzeigen.,起動に失敗しました。USBデバイスの競合が原因です。詳細なログを確認してください,Échec du démarrage en raison d'un conflit USB. Voir le log.,Error al encender debido a un conflicto de USB. Ver registro.,Falha na inicialização devido a conflito de USB. Verifique o log.,Opstarten mislukt vanwege USB conflict. Logboek bekijken.,L'avvio è fallito a causa di un conflitto USB. Visualizza log.,"전원 켜기 실패, USB 디바이스 충돌, 상세 로그 보기",開機失敗，USB設備衝突，查看詳細日誌
