Key,zh-CN,en-US,de-DE,ja-JP,fr-FR,es-ES,pt-PT,nl-NL,it-IT,ko-KR,zh-TW
cate.森林,森林,Forests,Wald,森,Forêt,Bosques,Florestas,Bossen,Foreste,숲,森林
cate.日出日落,日出日落,Sunrise / Sunset,Sonnenaufgang & -untergang,日の出・日の入り,Lever du soleil / Coucher du soleil,Amanecer / Atardecer,Nascer do sol / Pôr do sol,Zonsopgang / Zonsondergang,Alba / Tramonto,일출 및 일몰,日出日落
cate.瀑布,瀑布,Waterfalls,Wasserfall,滝,Cascades,Cascadas,Cascatas,Watervallen,Cascate,폭포,瀑布
cate.鸟,鸟,Birds,Vögel,鳥,Oiseaux,Aves,Aves,Vogels,Uccelli,새,鳥
cate.美食,美食,Food,Essen,グルメ,Gastronomie,Comida,Comida,Eten,Cibo,음식,美食
cate.猫,猫,Cats,Katzen,猫,Chats,Gatos,Gatos,Katten,Gatti,고양이,貓
cate.聚会,聚会,Party,Party,パーティー,Fête,Fiestas,Festa,Feest,Festa,파티,聚會
cate.截图,截图,Screenshots,Screenshots,スクリーンショット,Capture d'écran,Capturas de pantalla,Capturas de ecrã,Screenshots,Screenshot,스크린샷,截圖
cate.婚礼,婚礼,Weddings,Hochzeit,結婚式,Mariage,Bodas,Casamentos,Bruiloften,Matrimoni,결혼식,婚禮
cate.滑雪,滑雪,Skiing,Skifahren,スキー,Ski,Esquí,Esqui,Skiën,Sci,스키,滑雪
cate.猴,猴,Monkeys,Affen,サル,Singes,Monos,Macacos,Apen,Scimmie,원숭이,猴
cate.海边,海边,Seaside,Meer,海辺,Bord de mer,Costa,Praia,Aan zee,In riva al mare,바닷가,海邊
cate.龟,龟,Turtles,Schildkröten,亀,Tortues,Tortugas,Tartarugas,Schildpadden,Tartarughe,거북이,龜
cate.狗,狗,Dogs,Hunde,犬,Chiens,Perros,Cães,Honden,Cani,강아지,狗
cate.貂,貂,Mink,Nerze,貂,Fouines,Visones,Visão,Mink,Vison,밍크,貂
cate.刺猬,刺猬,Hedgehogs,Igel,ハリネズミ,Hérissons,Erizos,Ouriços-cacheiros,Egels,Ricci,고슴도치,刺蝟
cate.草原,草原,Grasslands,Grasland,草原,Prairie,Praderas,Pastagens,Graslanden,Praterie,초원,草原
class.身份证,身份证,ID card,Personalausweis,身分証明書,Carte d’identité,Documentos de identidad,Cartão de cidadão,Identiteitskaart,Carta d'identità,신분증,身份證
class.驾驶证,驾驶证,Driver's license,Führerschein,運転免許証,Permis de conduire,Licencias de conducir,Carta de condução,Rijbewijs,Patente di guida,운전면허증,駕駛證
class.学生证,学生证,Student ID card,Studentenausweis,学生証,Carte d’étudiant,Carnés de estudiante,Cartão de estudante,Studentenkaart,Tessera studentesca,학생증,學生證
class.户口本,户口本,Household register,Ausweise,戸籍簿,Livre de famille,Libros de registro domiciliario,Registo de família,Identiteitsbewijzen,Documenti,호적등본,戶口本
class.港澳通行证,港澳通行证,IDs,Ausweise,身分証,Identifiants,Documentos,Documentos,Identiteitsbewijzen,Documenti,신분증,身分證件
class.护照,护照,Passports,Pass,パスポート,Passeport,Pasaportes,Passaportes,Paspoorten,Passaporti,여권,護照
class.银行卡,银行卡,Bank cards,Bankkarten,クレジットカード,Carte bancaire,Tarjetas bancarias,Cartões bancários,Bankkaarten,Carte bancarie,은행 카드,銀行卡
class.条形码,条形码,Barcodes,Strichcode,バーコード,Code-barres,Códigos de barras,Códigos de barras,Barcodes,Codici a barre,바코드,條形碼
class.二维码,二维码,QR codes,QR-Code,QRコード,Code QR,Códigos QR,Códigos QR,QR-codes,Codici QR,QR코드,二維碼
class.自行车,自行车,Bicycles,Fahrrad,自転車,Vélos,Bicicletas,Bicicletas,Fietsen,Biciclette,자전거,腳踏車
class.摩托车,摩托车,Motorcycles,Motorrad,オートバイ,Motos,Motocicletas,Motociclos,Motorfietsen,Motociclette,오토바이,摩托車
class.小轿车,小轿车,Cars,Autos,車,Voitures,Coches,Carros,Auto's,Auto,승용차,車輛
class.SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
class.公交车,公交车,Bus,Bus,バス,Bus,Autobús,Autocarro,Bus,Autobus,버스,公交車
class.火车,火车,Trains,Zug,電車,Trains,Trenes,Comboios,Treinen,Treni,기차,火車
class.飞机,飞机,Airplanes,Flugzeug,飛行機,Avions,Aviones,Aviões,Vliegtuigen,Aerei,비행기,飛機
class.踢足球,踢足球,Play soccer,Fußball,サッカーをする,Jouer au foot,Jugar al fútbol,Jogar futebol,Voetballen,Giocare a calcio,축구 하기,踢足球
class.打羽毛球,打羽毛球,Play badminton,Federball,バトミントンをする,Jouer au badminton,Jugar al bádminton,Jogar badminton,Badminton,Giocare a badminton,배드민턴 치기,打羽毛球
class.打网球,打网球,Play tennis,Tennis,テニスをする,Jouer au tennis,Jugar al tenis,Jogar ténis,Tennis,Giocare a tennis,테니스 치기,打網球
class.打乒乓球,打乒乓球,Play table tennis,Tischtennis,卓球をする,Jouer au tennis de table,Jugar al tenis de mesa,Jogar ténis de mesa,Tafeltennis,Giocare a ping-pong,탁구 치기,打乒乓球
class.打排球,打排球,Play volleyball,Volleyball,バレーボールをする,Jouer au volley-ball,Jugar al voleibol,Jogar voleibol,Volleybal,Giocare a pallavolo,배구 하기,打排球
class.打篮球,打篮球,Play basketball,Basketball,バスケットボールをする,Jouer au basket,Jugar al baloncesto,Jogar basquetebol,Basketbal,Giocare a basket,농구 하기,打籃球
class.打高尔夫球,打高尔夫球,Play golf,Golf,ゴルフをやる,Jouer au golf,Jugar al golf,Jogar golfe,Golf,Giocare a golf,골프 치기,打高爾夫球
class.打橄榄球,打橄榄球,Play rugby,Rugby,ラグビーをする,Jouer au rugby,Jugar al rugby,Jogar râguebi,Rugby,Gioca a rugby,럭비 하기,打橄欖球
class.打棒球,打棒球,Play baseball,Baseball,野球をする,Jouer au baseball,Jugar al béisbol,Jogar basebol,Honkbal,Giocare a baseball,야구 하기,打棒球
class.税单,税单,Tax bills,Steuerrechnungen,申告書,Avis d’imposition,Facturas de impuestos,Faturas fiscais,Belastingaanslagen,Avvisi di pagamento delle imposte,세금 고지서,稅單
class.出租车发票,出租车发票,Cab receipts,Taxi-Quittungen,タクシーの領収書,Facture de taxi,Recibos de taxi,Recibos de táxi,Taxibonnen,Scontrini del taxi,택시 영수증,計程車發票
class.发票,发票,Invoices,Rechnungen,領収書,Facture,Facturas,Faturas,Facturen,Fatture,송장,發票
class.单据,单据,Vouchers,Belege,伝票,Justificatif,Vales,Recibos,Tegoedbonnen,Buoni,영수증,單據
class.购物小票,购物小票,Sales slips,Kassenbons,レシート,Ticket de caisse,Tiques de venta,Talões de venda,Kassabonnen,Scontrini,판매 영수증,購物小票
class.汽车票,汽车票,Bus ticket,Fahrkarten,乗車券,Billet de bus,Billetes de autobús,Bilhete de autocarro,Kaartjes,Biglietto dell'autobus,버스 티켓,汽車票
class.收据,收据,Receipts,Quittungen,レシート,Reçu,Recibos,Recibos,Bonnetjes,Scontrini,영수증,收據
class.支票,支票,Check,Schecks,小切手,Chèque,Cheques,Cheque,Cheques,Assegno,수표,支票
class.自拍,自拍,Selfies,Selfies,自撮り写真,Selfies,Selfies,Selfies,Selfies,Selfie,셀카,自拍
class.猪,猪,Pigs,Schweine,豚,Cochons,Cerdos,Porcos,Varkens,Maiali,돼지,豬
class.鱼,鱼,Fishes,Fische,魚,Poissons,Peces,Peixes,Vissen,Pesci,물고기,魚
class.游泳,游泳,Swimming,Schwimmen,水泳,Natation,Natación,Natação,Zwemmen,Nuoto,수영,游泳
class.雪景,雪景,Snow,Schnee,雪景色,Neige,Nieve,Neve,Sneeuw,Neve,설경,雪景
class.蟹,蟹,Crabs,Krabben,蟹,Crabes,Cangrejos,Caranguejos,Krabben,Granchi,게,蟹
class.虾,虾,Shrimps,Garnelen,エビ,Crevettes,Camarones,Camarões,Garnalen,Gamberetti,새우,蝦
class.蜥蜴,蜥蜴,Lizards,Echsen,トカゲ,Lézards,Lagartos,Lagartos,Hagedissen,Lucertole,도마뱀,蜥蜴
class.文本,文本,Texts,Texte,テキスト,Textes,Textos,Textos,Tekst,Testi,텍스트,文字
class.兔,兔,Rabbits,Kaninchen,ウサギ,Lapins,Conejos,Coelhos,Konijnen,Conigli,토끼,兔
class.天空,天空,Sky,Himmel,空,Ciel,Cielo,Céu,Lucht,Cielo,하늘,天空
class.鼠,鼠,Mice,Mäuse,ネズミ,Rats,Ratones,Ratos,Muizen,Topi,쥐,鼠
class.蛇,蛇,Snakes,Schlangen,蛇,Serpents,Serpientes,Cobras,Slangen,Serpenti,뱀,蛇
class.山脉,山脉,Mountains,Berge,山,Montagnes,Montañas,Montanhas,Bergen,Montagne,산맥,山脈
class.沙漠,沙漠,Deserts,Wüste,砂漠,Déserts,Desiertos,Desertos,Woestijnen,Dessert,사막,沙漠
class.森林,森林,Forests,Wald,森,Forêt,Bosques,Florestas,Bossen,Foreste,숲,森林
class.日出日落,日出日落,Sunrise / Sunset,Sonnenaufgang & -untergang,日の出・日の入り,Lever du soleil / Coucher du soleil,Amanecer / Atardecer,Nascer do sol / Pôr do sol,Zonsopgang / Zonsondergang,Alba / Tramonto,일출 및 일몰,日出日落
class.瀑布,瀑布,Waterfalls,Wasserfall,滝,Cascades,Cascadas,Cascatas,Watervallen,Cascate,폭포,瀑布
class.鸟,鸟,Birds,Vögel,鳥,Oiseaux,Aves,Aves,Vogels,Uccelli,새,鳥
class.美食,美食,Food,Essen,グルメ,Gastronomie,Comida,Comida,Eten,Cibo,음식,美食
class.猫,猫,Cats,Katzen,猫,Chats,Gatos,Gatos,Katten,Gatti,고양이,貓
class.聚会,聚会,Party,Party,パーティー,Fête,Fiestas,Festa,Feest,Festa,파티,聚會
class.截图,截图,Screenshots,Screenshots,スクリーンショット,Capture d'écran,Capturas de pantalla,Capturas de ecrã,Screenshots,Screenshot,스크린샷,截圖
class.婚礼,婚礼,Weddings,Hochzeit,結婚式,Mariage,Bodas,Casamentos,Bruiloften,Matrimoni,결혼식,婚禮
class.滑雪,滑雪,Skiing,Skifahren,スキー,Ski,Esquí,Esqui,Skiën,Sci,스키,滑雪
class.猴,猴,Monkeys,Affen,サル,Singes,Monos,Macacos,Apen,Scimmie,원숭이,猴
class.海边,海边,Seaside,Meer,海辺,Bord de mer,Costa,Praia,Aan zee,In riva al mare,바닷가,海邊
class.龟,龟,Turtles,Schildkröten,亀,Tortues,Tortugas,Tartarugas,Schildpadden,Tartarughe,거북이,龜
class.狗,狗,Dogs,Hunde,犬,Chiens,Perros,Cães,Honden,Cani,강아지,狗
class.貂,貂,Mink,Nerze,貂,Fouines,Visones,Visão,Mink,Vison,밍크,貂
class.刺猬,刺猬,Hedgehogs,Igel,ハリネズミ,Hérissons,Erizos,Ouriços-cacheiros,Egels,Ricci,고슴도치,刺蝟
class.草原,草原,Grasslands,Grasland,草原,Prairie,Praderas,Pastagens,Graslanden,Praterie,초원,草原
