Code,zh-CN,en-US,de-DE,ja-JP,fr-FR,es-ES,pt-PT,nl-NL,it-IT,ko-KR,zh-TW
10015,密码必填,Password required,Passwort ist erforderlich,パスワードが必要です,Mot de passe obligatoire,Se requiere la contraseña,Palavra-passe necessária,Wachtwoord vereist,È richiesta la password,비밀번호 입력 필수,密碼必填
10016,密码须为4位数,Password must be 4 digits,Das Passwort muss 4-stellig sein,パスワードは4桁でなければなりません。,Le mot de passe doit comporter 4 chiffres.,La contraseña debe tener 4 dígitos,A palavra-passe deve ter 4 dígitos,Het wachtwoord moet uit 4 cijfers bestaan,La password deve essere composta da 4 cifre,비밀번호는 4자리여야 합니다,密碼須為4位數
10017,有效期必填,Validity is required,Die Gültigkeitsdauer ist ein Pflichtfeld,有効期限必須,Durée de validité requise,Se requiere el validez,A validade é obrigatória,Dit veld is verplicht,È richiesta la validità,유효기간 입력 필수,有效期必填
10018,相册类型无效,Invalid album type,Ungültiger Album-Typ,アルバムタイプが無効です,Type d'album invalide,Tipo de álbum inválido,Tipo de álbum inválido,Ongeldig albumtype,Tipo di album non valido,유효하지 않은 앨범 유형,相簿類型無效
10019,请到智能设置中下载需要的AI模型!,"Please download required AI models in ""AI settings""",Bitte laden Sie die benötigten KI-Modelle in den „KI-Einstellungen“ herunter,「AI設定」で必要なAIモデルをダウンロードしてください,"Veuillez télécharger les modèles d'IA requis dans ""Intelligent"".","Por favor, descargue los modelos de IA necesarios en ""Inteligentes""","Descarregue os modelos de IA necessários em ""Inteligente""",Download de benodigde AI-modellen in “AI-instellingen”,Vai alle impostazioni intelligenti per scaricare i modelli AI necessari!,스마트 설정에서 필요한 AI 모델을 다운로드해 주세요!,請到智慧設定中下載需要的AI模型!
10022,名称太长,Name too long,Der Name ist zu lang,名前が長すぎます,Nom trop long,Nombre demasiado largo,Nome demasiado longo,Te lange naam,Nome troppo lungo,너무 긴 이름,名稱太長
10023,目录路径过长,Directory path too long,Der Verzeichnispfad ist zu lang,ディレクトリパスが長すぎる,Le chemin du répertoire est trop long.,La ruta del directorio es demasiado larga,Caminho do diretório demasiado longo,Het pad naar de map is te lang,Percorso della directory troppo lungo,대상 경로 너무 킴,目錄路徑過長
10024,搜索内容不能为空,Search content is required,Der Suchinhalt darf nicht leer sein,検索内容を空にできません,Le contenu de recherche ne peut pas être vide,El contenido de la búsqueda no puede estar vacío,O conteúdo da pesquisa é obrigatório,Er moet inhoud worden opgezocht,Il contenuto della ricerca non può essere vuoto,검색 내용은 비워둘 수 없습니다,搜尋內容不能為空
10025,路径已存在，无法创建目录,The path already exists. Unable to create directory,"Der Pfad existiert bereits, das Verzeichnis kann nicht erstellt werden",パスが既に存在するため、ディレクトリを作成できません。,"Le chemin existe déjà, impossible de créer le répertoire.",La ruta ya existe. No se puede crear el directorio,O caminho já existe. Não é possível criar diretório,Het pad bestaat al. Kan de map niet aanmaken,Il percorso esiste già. Impossibile creare la directory,경로가 이미 존재하여 디텍토리를 생성할 수 없습니다,路徑已存在，無法建立目錄
10026,创建文件夹失败,Failed to create folder,Ordnererstellung fehlgeschlagen,フォルダの作成に失敗しました,Échec de la création d'un dossier,Error al crear carpeta,Falha na criação da pasta,Het is niet gelukt om de map aan te maken,Creazione cartella fallita,폴더 생성 실패,建立資料夾失敗
10027,文件不存在,File does not exist,Datei nicht gefunden,ファイルが存在しません,Fichier introuvable,El archivo no existe,Ficheiro não existe,Bestand bestaat niet,Il file non esiste  ,파일이 존재하지 않습니다,檔案不存在
10029,缺少源路径参数,The source path parameter is missing,Quellpfad-Parameter fehlt,コピー元パスのパラメータがありません,Paramètre de chemin source manquant,Falta el parámetro de la ruta de origen,O parâmetro do caminho de origem está em falta,Parameter bronpad ontbreekt,Parametro del percorso del file sorgente mancante,원본 경로 매개변수가 누락되었습니다,缺少源路徑參數
10030,源路径不能等于目标路径,The source and target paths must be different,Der Quellpfad darf nicht identisch mit dem Zielpfad sein,コピー元とコピー先のパスは異なる必要があります,Le chemin source ne peut pas être identique au chemin cible.,La ruta de origen y la ruta de destino deben ser diferentes,Os caminhos de origem e destino devem ser diferentes,Het bron- en doelpad moeten verschillend zijn,Il percorso sorgente non può essere il percorso di destinazione,원본 경로는 대상 경로와 같을 수 없습니다,源路徑不能等於目標路徑
10031,源路径不能是目标路径的上级目录,The source path cannot be a parent directory of the target path,Der Quellpfad darf nicht das übergeordnete Verzeichnis des Zielpfads sein,コピー元のパスはコピー先のパスの親ディレクトリにはできません,Le chemin source ne peut pas être un répertoire parent du chemin cible.,La ruta de origen no puede ser el directorio superior de la ruta de destino,O caminho de origem não pode ser um diretório principal do caminho de destino,Het bronpad mag geen bovenliggende map zijn van het doelpad,Il percorso sorgente non può essere la directory padre del percorso di destinazione,원본 경로는 대상 경로의 상위 디렉토리가 될 수 없습니다,源路徑不能是目標路徑的上級目錄
10032,无法移动：源路径和目标路径相同,Failed to move. The source and target paths are the same,Verschieben fehlgeschlagen: Der Quell- und der Zielpfad sind identisch,移動できません：コピー元とコピー先のパスが同じです,Impossible de déplacer : le chemin source et le chemin cible sont identiques.,No se pudo mover. La ruta de origen y la de destino son la misma,Falha ao mover. Os caminhos de origem e destino são iguais,Verplaatsen is mislukt. Het bron- en doelpad zijn hetzelfde,Impossibile spostare. Il percorso di origine e quello di destinazione sono identici,이동 불가: 원본 경로와 대상 경로가 동일합니다,無法移動：源路徑和目標路徑相同
10033,没有有效的源路径,No valid source paths,Ungültiger Quellpfad,有効なコピー元パスがありません,Aucun chemin source valide,Sin rutas de origen válidas,Sem caminhos de origem válidos,Geen geldig bronpad,Non esiste un percorso sorgente valido,유효한 원본 경로가 없습니다,沒有有效的源路徑
10034,相册不存在,The album does not exist,Album existiert nicht,アルバムが存在しません,L'album n'existe pas,El álbum no existe,O álbum não existe,Album bestaat niet,L'album non esiste,앨범이 존재하지 않습니다,相簿不存在
10035,未识别到文字,No texts recognized,Kein Text erkannt,文字が認識されない,Aucun texte reconnu,Sin textos reconocidos,Nenhum texto reconhecido,Geen tekst herkend,Nessun testo riconosciuto,문자를 인식하지 못함,未識別到文字
10036,下载成功,Downloaded successfully,Erfolgreich heruntergeladen,ダウンロード完了,Téléchargement réussi,Descargado con éxito,Baixado com sucesso,Succesvol gedownload,Scaricato con successo,다운로드 성공,下載成功
10038,上传成功,Uploaded successfully,Erfolgreich hochgeladen,アップロードが完了しました,Téléversement réussi,Subido con éxito,Carregar com sucesso,Succesvol geüpload,Caricamento riuscito,업로드 성공,上傳成功
10039,上传失败，请重试,Failed to upload. Please try again,"Hochladen fehlgeschlagen, bitte erneut versuchen",アップロードに失敗しました。再試行してください,"Échec du téléversement, veuillez réessayer.","Error al subir, inténtelo de nuevo",Falha ao carregar. Tente novamente,Het uploaden is mislukt. Probeer het opnieuw,Caricamento non riuscito. Riprova,업로드에 실패했습니다. 다시 시도해 주세요.,上傳失敗，請重試
10041,封面设置失败,Failed to set cover,Festlegen des Covers fehlgeschlagen,カバー設定失敗,Échec de la définition de la couverture,Error al establecer la portada,Falha ao definir a capa,Omslag bewerken mislukt,Impostazione della copertina fallita,커버 설정 실패,封面設定失敗
10042,删除失败,Failed to delete,Löschen fehlgeschlagen,削除に失敗しました,Échec de la suppression,Error al eliminar,Falha na exclusão,Verwijderen mislukt,Eliminazione fallita,삭제 실패,刪除失敗
10046,当前模型数量已达上限,The number of models has reached the limit,Die Anzahl der Modelle hat die Obergrenze erreicht,現在のモデル数は上限に達しました,Le nombre actuel de modèles a atteint la limite.,El número de modelos ha alcanzado el límite,O número de modelos atingiu o limite máximo,Het aantal modellen heeft de limiet bereikt,Il numero di modelli ha raggiunto il limite massimo,현재 모델 수가 한도에 도달했습니다,目前模型數量已達上限
10047,当前运行内存不足，请稍后再试。,"Insufficient memory, please try agian later","Unzureichender Arbeitsspeicher, bitte es später erneut versuchen.",現在の実行メモリが不足しています。後で再試行してください。,"Mémoire vive insuffisante, veuillez réessayer plus tard","Memoria insuficiente, inténtelo de nuevo más tarde","Memória insuficiente, tente novamente mais tarde",Onvoldoende geheugen. Probeer het later nog eens.,"Memoria insufficiente, riprova più tardi","현재 사용 가능한 메모리가 부족합니다, 잠시 후 다시 시도해 주세요.",目前執行記憶體不足，請稍後再試。
10048,索引数据重建中，请稍后重试,Rebuilding index... Please try again later,Wird neu indiziert... Bitte später erneut versuchen,インデックス再構築中、後でもう一度お試しください,"Reconstruction des données d'index en cours, veuillez réessayer plus tard.","Reconstruyendo el índice… Por favor, inténtelo de nuevo más tarde",A reconstruir índice... Tente novamente mais tarde,De index wordt opnieuw opgebouwd... Probeer het later nog eens,Ricostruzione dell'indice... Riprova più tardi,인덱스 데이터 재구성 중입니다. 잠시 후 다시 시도해 주세요.,索引資料重建中，請稍後重試
10049,连接数据源失败，无法读取数据,Failed to read data. Unable to connect to data source,Daten konnten nicht gelesen werden. Verbindung zur Datenquelle fehlgeschlagen,データの読み取りに失敗しました。データソースに接続できません,"Échec de la connexion à la source de données, impossible de lire les données",No se pudieron leer los datos. No se puede conectar con la fuente de datos,Falha ao ler dados. Não é possível ligar à fonte de dados,Het lezen van gegevens is mislukt. Er kan geen verbinding worden gemaakt met de gegevensbron,Impossibile leggere i dati. Impossibile connettersi all'origine dati,"데이터 소스 연결 실패, 데이터를 읽을 수 없습니다",連線資料來源失敗，無法讀取資料
10050,硬盘剩余空间不足,Insufficient hard drive capacity,Unzureichende verfügbare Kapazität der Festplatte,ハードディスクの残り容量が不足しています。,Capacité du disque insuffisante,Capacidad de disco duro insuficiente,Capacidade do disco rígido insuficiente,Onvoldoende opslagruimte op de harde schijf,Capacità del disco rigido insufficiente,하드 드라이브 용량 부족,硬碟剩餘空間不足
10053,当前固件版本太低，需要升级到 %s 及以上版本,Current firmware version is too low. Please upgrade to %s or later,Die aktuelle Firmware-Version ist zu alt. Bitte aktualisieren Sie es auf Version %s oder höher,現在のファームウェア・バージョンが低すぎるため、%s 以上にアップグレードする必要があります。,"La version actuelle du firmware est trop ancienne, veuillez la mettre à jour vers la version %s ou supérieure.",La versión actual del firmware es demasiado antigua. Actualice a %s o superior,"A versão atual do firmware é muito antiga. Por favor, atualize para %s ou superior",De huidige firmwareversie is te laag. Werk bij naar %s of hoger,La versione attuale del firmware è troppo vecchia. Si prega di aggiornare a %s o versioni successive,현재 펌웨어 버전이 너무 낮아 %s 이상 버전으로 업그레이드가 필요합니다,目前韌體版本太低，需要升級到 %s 及以上版本
10054,管理员未开启分享权限,Admin has not enabled sharing permissions,Freigabeberechtigungen sind vom Adminstrator nicht aktiviert,管理者が共有権限を有効にしていません。,L'administrateur n'a pas activé les autorisations de partage.,El administrador no ha habilitado los permisos de compartición,O administrador não ativou as permissões de partilha,De beheerder heeft de machtigingen voor delen niet ingeschakeld,L'amministratore non ha abilitato i permessi di condivisione,관리자가 공유 권한을 활성화하지 않았습니다,管理員未開啟分享權限
10055,文件 %v 移动中，无法操作,"Failed to operate. File ""%v"" is being moved",Vorgang fehlgeschlagen. Die Datei „%v“ wird gerade verschoben,ファイル %v は移動中で、操作できません。,"Le fichier ""%v"" est en cours de déplacement, opération impossible.","Operación fallida. El archivo ""%v"" se está moviendo",Falha na execução. O ficheiro «%v» está a ser movido,Bewerking mislukt. Bezig met verplaatsen van bestand “%v”,Operazione non riuscita. Il file “%v” è in fase di spostamento,파일 %v 이동 중입니다. 작업할 수 없습니다,檔案 %v 移動中，無法操作
10056,密码错误，请重新输入,"Incorrect password, please enter again","Falsches Passwort, bitte erneut eingeben",パスワードが間違っています。再入力してください。,Mot de passe incorrect. Veuillez réessayer.,Contraseña incorrecta. Vuelva a introducirla,"Palavra-passe incorreta, insira novamente",Onjuist wachtwoord. Voer opnieuw in,"Password errata, inseriscila di nuovo",비밀번호가 틀렸습니다. 다시 입력해 주세요.,密碼錯誤，請重新輸入
10057,"不支持上传以 ""."" ""~"" 开头的文件","Starting with ""."" or  ""~"" is not allowed","Dateien, deren Name mit „.“ oder „~“ beginnt, können nicht hochgeladen werden","「.""」「~""」で始まるファイルはアップロードできません","Le téléversement de fichiers commençant par ""."" ou ""~"" n'est pas pris en charge.","No se permite empezar por ""."" ni por ""~""","Os ficheiros que começam por ""."" ou ""~"" não estão disponíveis",Bestanden waarvan de naam begint met “.” of “~” kunnen niet worden geüpload,"I file che iniziano con ""."" o ""~"" non sono disponibili",'.' '~' 로 시작하는 파일은 업로드할 수 없습니다,"不支援上傳以 ""."" ""~"" 開頭的檔案"
10058,不支持上传特定格式的文件,Files with specific formats cannot be uploaded,Bestimmte Dateiformate können nicht hochgeladen werden,特定の形式のファイルはアップロードできません,Le téléversement de fichiers dans certains formats n'est pas pris en charge.,No se pueden subir archivos con formatos específicos,Ficheiros com formatos específicos não podem ser carregados,Bestanden met bepaalde indelingen kunnen niet worden geüpload,I file con formati specifici non possono essere caricati,특정 형식의 파일 업로드를 지원하지 않습니다,不支援上傳特定格式的檔案
10059,"文件夹命名请勿以 ""."" ""～"" ""/""开头","Starting with ""."", ""~"" or ""/"" is not allowed","Der Ordnername darf nicht mit „.“, „~“ oder „/“ beginnen",「.」「～」「/」で始まるフォルダ名を付けないでください,"Le nom du dossier ne doit pas commencer par ""."", ""～"" ou ""/""","No se permite empezar por ""."", ""~"" o ""/""","Não inicie o nome da pasta com ""."", ""~"", ""/""","De naam mag niet beginnen met “.”, “～” of “/”","Non iniziare il nome della cartella con ""."", ""~"", ""/""","폴더 이름은 ‘.’, ‘～’,  ‘/’ 로 시작하면 안 됩니다","資料夾命名請勿以 ""."" ""～"" ""/""開頭"
10060,存储空间迁移中，相册暂无法使用,"Volume is migrating... ""Photos"" unavailable",Volume wird migriert... „Fotos“ nicht verfügbar,ボリュームの移行中、「写真」は一時的に使用できません。,"Le volume est en cours de migration… L'application ""Photos"" est temporairement indisponible.","El volumen se está migrando… ""Fotos"" no está disponible","Volume em migração... ""Fotos"" indisponível",Volume wordt verplaatst... “Foto's” is niet beschikbaar,Il volume è in fase di migrazione... “Foto” non disponibile,볼륨 이동 중... 앨범을 사용할 수 없습니다,儲存空間遷移中，相簿暫無法使用
10061,"请前往设置开启""识别照片内的文字""模型","Please enable the ""Text Recognition"" model in ""Settings""",Bitte aktivieren Sie das Modell „Texterkennung“ in den „Einstellungen“,設定で「写真内のテキストを認識する」モデルを有効にしてください,"Veuillez activer le modèle ""Reconnaissance de texte"" dans les ""Paramètres"".","Por favor, habilite el modelo de ""Reconocimiento de texto"" en ""Ajustes""","Ative o modelo ""Reconhecimento de Texto"" em ""Definições""",Schakel het model “Tekstherkenning” in onder “Instellingen”,Abilita il modello “Riconoscimento testo” in “Impostazioni”,설정에서 사진 내 텍스트 인식 모델을 활성화해 주세요,請前往設定開啟「       辨識照片內的文字」模型
10062,该模型尚未开启，操作失败,Model not enabled. Failed to operate,Modell nicht aktiviert. Vorgang fehlgeschlagen,このモデルが有効になっていないため、操作に失敗しました。,"Ce modèle n'est pas encore activé, opération échouée",El modelo no está habilitado. Error al realizar la operación,Este modelo ainda não foi ativado. A operação falhou,Model is niet ingeschakeld. Kan niet worden uitgevoerd,Questo modello non è ancora stato abilitato. Operazione fallita,해당 모델이 아직 활성화되지 않아 작업에 실패했습니다,該模型尚未開啟，操作失敗
10063,无上传权限,No upload permission,Keine Berechtigung zum Hochladen,アップロードの権限がありません,Aucune autorisation de téléversement,Sin permiso de subida,Sem permissão de upload,Geen uploadrechten,Nessun permesso di caricamento,업로드 권한 없음,無上傳權限
10064,导出失败,Failed to export,Export fehlgeschlagen,エクスポートに失敗しました,Échec de l'exportation,Error al exportar,Falha ao exportar,Exporteren mislukt,Esportazione non riuscita,내보내기 실패,匯出失敗
10065,导出失败,Failed to export,Export fehlgeschlagen,エクスポートに失敗しました,Échec de l'exportation,Error al exportar,Falha ao exportar,Exporteren mislukt,Esportazione non riuscita,내보내기 실패,匯出失敗
10066,当前文件夹数量已达上限,The number of folders reached the limit,Die maximale Anzahl an Ordnern wurde erreicht,現在のフォルダー数が上限に達しています,Le nombre de dossiers a atteint la limite,El número de carpetas ha alcanzado el límite,O número de pastas atingiu o limite,Het aantal mappen heeft de limiet bereikt,Il numero di cartelle ha raggiunto il limite,현재 폴더 수가 최대 한도에 도달했습니다,目前資料夾數量已達上限
10067,图库索引中，暂无法添加,Indexing library... Unable to add,Mediathek wird indiziert... Hinzufügen nicht möglich,ライブラリをインデックス中のため、一時的に追加できません,"Indexation de la photothèque en cours, ajout temporairement impossible",Indexando fototeca... No se puede añadir,Indexando biblioteca... Não é possível adicionar,Mediatheek wordt geïndexeerd... Kan niet toevoegen,Indicizzazione libreria... Impossibile aggiungere,라이브러리 인덱싱 중이므로 지금 추가할 수 없습니다,相簿索引中，暫無法新增
10068,图库索引中，暂无法移除,Indexing library... Unable to remove,Mediathek wird indiziert... Entfernung nicht möglich,ライブラリインデックス中、一時的に削除できません。,"Indexation de la photothèque en cours, suppression temporairement impossible",Indexando fototeca... No se puede eliminar,A biblioteca está sendo indexada... Não é possível remover,Mediatheek wordt geïndexeerd... Kan niet worden verwijderd,Indicizzazione della libreria... Impossibile rimuovere,라이브러리 인덱싱 중이므로 지금 제거할 수 없습니다,相簿索引中，暫無法移除
10069,数据初始化中，请稍候,"Data initializing, please wait","Daten werden initialisiert, bitte warten",データ初期化中、しばらくお待ちください。,"Initialisation des données, veuillez patienter…","Inicializando datos, por favor espere","Dados a inicializar, aguarde","Gegevens worden geïnitialiseerd, even geduld a.u.b.","Inizializzazione dei dati in corso, attendere prego","데이터 초기화 중입니다, 잠시 기다려 주세요",資料初始化中，請稍候
10070,添加内容为空或不存在,Empty or invalid content,Der hinzugefügte Inhalt ist leer oder existiert nicht,追加コンテンツが空か存在しません,Contenu vide ou invalide,Contenido vacío o inválido,Conteúdo vazio ou inválido,Geen of ongeldige inhoud,Conteúdo vazio ou inválido,추가할 내용이 비어 있거나 존재하지 않습니다,新增內容為空或不存在
10071,不支持操作他人上传的图片,Operations on photos uploaded by others are not supported,"Aktionen auf Bildern, die von anderen hochgeladen wurden, werden nicht unterstützt",他人がアップロードした写真の操作をサポートしていません,Les opérations sur les photos téléversées par d'autres utilisateurs ne sont pas prises en charge.,No se pueden realizar operaciones en fotos subidas por otros,Ação sobre fotografias carregadas por outros não disponível,"Bewerkingen van foto’s die door anderen zijn geüpload, worden niet ondersteund",Azione non disponibile per le foto caricate da altri,다른 사람이 업로드한 이미지에 대한 작업은 지원하지 않습니다,不支援操作他人上傳的圖片
10072,已跳过他人上传的图片,Skipped photos uploaded by others,Die von anderen hochgeladenen Bilder wurden übersprungen,他のユーザーがアップロードした写真はスキップされました,Les photos téléversées par d'autres utilisateurs ont été ignorées.,Se omitieron las fotos subidas por otros,Fotos carregadas por outros ignoradas,Overgeslagen foto’s die door anderen zijn geüpload,Salta le foto caricate da altri,다른 사람이 업로드한 사진은 건너뛰었습니다,已跳過他人上傳的圖片
10074,单次合并限500人,Merge up to 500 people at a time,Maximal 500 Personenalben auf einmal zusammenführen,一度に最大500人までマージできます,Fusion limitée à 500 personnes par opération,Combinar hasta 500 personas a la vez,Funda até 500 pessoas de cada vez,Voeg maximaal 500 personen tegelijk samen,Unisci fino a 500 persone alla volta,한 번에 병합 가능한 인원은 최대 500명입니다,單次合併限500人
10075,格式不支持,Unsupported format,Nicht unterstütztes Format,対応していない形式です,Format non pris en charge,Formato no compatible,Formato não suportado,Niet-ondersteunde indeling,Formato non supportato,지원되지 않는 형식,格式不支援
10077,文件夹权限不足,Insufficient folder permissions,Unzureichende Berechtigungen für den Ordner,フォルダーの権限が不足しています,Autorisation insuffisante pour le dossier,Permisos de carpeta insuficientes,Permissões insuficientes da pasta,Onvoldoende maprechten,Permessi della cartella insufficienti,폴더 권한 부족,資料夾權限不足
10088,%v个项目失败，图片权限不足,Failed items: %v. Insufficient photo permissions,Fehlgeschlagene Elemente: %v. Unzureichende Berechtigungen für die Bilder,%v件の項目が失敗しました。画像の権限が不足しています,"Éléments échoués : %v, autorisation insuffisante pour les photos",Ítems fallidos: %v. Permisos de foto insuficientes,Itens com falha: %v. Permissões de foto insuficientes,Mislukte items: %v. Onvoldoende fotorechten,Elementi non riusciti: %v. Autorizzazioni foto insufficienti,%v개 항목 실패했습니다. 사진 권한이 부족합니다.,%v個項目失敗，圖片權限不足
10089,%v个项目失败,Failed items: %v,Fehlgeschlagene Elemente: %v,%v件の項目が失敗しました。,Éléments échoués : %v,Ítems fallidos: %v,Itens falhados: %v,Mislukte items: %v,Elementi non riusciti: %v,%v개 항목 실패,%v個項目失敗
10090,图片权限不足,Insufficient photo permissions,Unzureichende Berechtigungen für die Bilder,画像の権限が不足しています,Autorisation insuffisante pour les photos,Permisos de foto insuficientes,Permissão de imagem insuficiente,Onvoldoende fotorechten,Autorizzazioni foto insufficienti,사진 권한이 부족합니다,圖片權限不足
10091,目标文件夹权限不足,Insufficient target folder permission,Unzureichende Berechtigungen für den Zielordner,目標フォルダーの権限が不足しています,Autorisations insuffisantes sur le dossier cible,Permiso de carpeta de destino insuficiente,Permissão insuficiente para a pasta de destino,Onvoldoende rechten voor de doelmap,Autorizzazione cartella di destinazione insufficiente,대상 폴더 권한이 부족합니다,目標資料夾權限不足
10093,相册不存在或权限不足，请重新选择,Album does not exist or insufficient permissions. Please select again,Album nicht gefunden oder unzureichende Berechtigungen. Bitte erneut auswählen,アルバムが存在しないか、権限が不足しています。再度選択してください,"L'album n'existe pas ou les autorisations sont insuffisantes, veuillez en sélectionner un autre.","El álbum no existe o no tiene permisos suficientes. Por favor, seleccione de nuevo","Álbum não encontrado ou permissão negada, por favor, selecione novamente",Het album bestaat niet of u hebt onvoldoende rechten. Selecteer het album opnieuw.,L'album non esiste o i permessi sono insufficienti. Selezionare nuovamente,앨범이 존재하지 않거나 권한이 부족합니다. 다시 선택해 주세요.,相簿不存在或權限不足，請重新選擇
10094,已跳过权限不足的图片,Skipped photos with insufficient permissions,"Bilder, für die keine ausreichenden Berechtigungen vorliegen, wurden übersprungen",権限不足の画像はスキップされました,Photos ignorées pour cause d'autorisations insuffisantes,Se omitieron las fotos con permisos insuficientes,Fotos com permissão negada ignoradas,Foto’s overgeslagen vanwege onvoldoende rechten,Foto saltate con autorizzazioni insufficienti,권한 부족으로 건너뛴 사진,已跳過權限不足的圖片
10095,文件夹不存在或权限不足，无法查找,Folder does not exist or insufficient permissions. Failed to search,Ordner nicht gefunden. Ordner existiert nicht oder unzureichende Berechtigungen,フォルダは存在しない、または権限不足しているため、検索できません。,"Le dossier n'existe pas ou les autorisations sont insuffisantes, impossible de le consulter.",La carpeta no existe o no tiene permisos suficientes. No se pudo realizar la búsqueda,A pasta não existe ou permissões insuficientes. Falha na pesquisa,De map bestaat niet of u hebt onvoldoende rechten. Het zoeken is mislukt,La cartella non esiste o i permessi sono insufficienti. Ricerca non riuscita,폴더가 존재하지 않거나 권한이 부족합니다. 찾을 수 없습니다.,資料夾不存在或權限不足，無法查詢
10096,目的地异常，上传失败,Failed to upload. Destination error,Fehler beim Zielort. Hochladen fehlgeschlagen,アップロードに失敗しました。保存先にエラーがあります。,"Destination incorrecte, échec du téléversement",No se pudo subir. Error en el destino,Falha ao carregar. Erro de destino,Het uploaden is mislukt. Fout bij de bestemming,Caricamento non riuscito. Errore di destinazione,대상 위치가 비정상이라 업로드에 실패했습니다,目的地異常，上傳失敗
