Code,zh-CN,en-US,nl-NL,de-DE,pt-PT,es-ES,it-IT,fr-FR,ja-JP,ko-KR,zh-TW
600410,录像文件夹不存在，无法完成迁移,Migration failed as the recording folder does not exist,De map voor opnames bestaat niet en kan niet worden gemigreerd,Migration nicht möglich: Der Ordner für Aufnahmen ist nicht vorhanden,A migração falhou porque a pasta de gravação não existe,La migración falló porque la carpeta de grabación no existe,Migrazione non riuscita perché la cartella di registrazione non esiste,Échec de la migration : le dossier d'enregistrement n'existe pas,録画フォルダが存在しないため、移行を完了できません。,녹화 폴더가 존재하지 않아 마이그레이션에 실패했습니다.,錄影資料夾不存在，無法完成遷移
600411,目标文件夹不存在，无法完成迁移,Migration failed as the target folder does not exist,De doelmap bestaat niet en kan niet worden gemigreerd,Migration nicht möglich: Der Zielordner ist nicht vorhanden,A migração falhou porque a pasta de destino não existe,La migración falló porque la carpeta de destino no existe,Migrazione non riuscita perché la cartella di destinazione non esiste,Échec de la migration : le dossier cible n'existe pas,ターゲットフォルダが存在しないため、移行を完了できません。,대상 폴더가 존재하지 않아 마이그레이션에 실패했습니다.,目標資料夾不存在，無法完成遷移
600412,修改存储天数不得小于该摄像头已消耗的天数（当前已消耗 %v 天）,Retention period cannot be shorter than current usage (Current retention: %v day),De ingestelde bewaarperiode mag niet korter zijn dan het huidige gebruik (momenteel %v dag gebruikt),Die festgelegte Speicherdauer darf nicht kürzer sein als die bereits von dieser Kamera genutzte Dauer (derzeit %v Tag verwendet),O período de retenção não pode ser inferior à utilização atual (Retenção atual: %v dia),El período de retención no puede ser inferior al uso actual (Retención actual: %v día),Il periodo di conservazione non può essere inferiore all'utilizzo attuale (Conservazione attuale: %v giorni),La durée de conservation ne peut pas être inférieure à l'utilisation actuelle (Durée actuelle : %v jour),保存日数は既経過日数より短く設定できません（現在の既経過日数：%v日）,보존 기간은 현재 사용 기간보다 짧을 수 없습니다 (현재 보존 기간: %v 일),修改儲存天數不得小於該攝影機已消耗的天數（目前已消耗 %v 天）
600413,当前存储容量设置下，摄像头可录制时长不足10分钟，请至少设置%v GB,"With the set volume capacity, the camera can record for less than 10 minutes. Please set at least %v GB",Op basis van de huidige ingestelde opslaglimiet is de opnameduur van de camera minder dan 10 minuten. Stel de opslaglimiet in op minimaal %v GB.,Bei dem aktuell eingestellten Speicherkontingent beträgt die mögliche Aufzeichnungsdauer der Kamera weniger als 10 Minuten. Bitte stellen Sie das Speicherkontingent auf mindestens %v GB ein.,"Com a capacidade de armazenamento definida, a câmara só consegue gravar durante menos de 10 minutos. Defina, pelo menos, %v GB","Con la capacidad de volumen establecida, la cámara puede grabar menos de 10 minutos. Por favor, configure al menos %v GB","Con la capacità di memoria impostata, la videocamera può registrare per meno di 10 minuti. Si prega di impostare almeno %v GB","Avec la capacité du volume définie, la caméra ne peut enregistrer que moins de 10 minutes. Veuillez définir au moins %v GB.",設定されたボリューム容量では、カメラの録画可能時間が10分未満になります。少なくとも %v GB を設定してください。,설정된 볼륨 용량으로는 카메라 녹화 가능 시간이 10분 미만입니다. 최소 %v GB로 설정해 주세요.,目前儲存容量設定下，攝影機可錄製時長不足10分鐘，請至少設定%v GB
600414,当前存储容量设置下，摄像头可录制时长不足1小时，建议预留合理的存储容量,"With the set volume capacity, the camera can record for less than an hour. It is recommended to allocate sufficient volume capacity",Op basis van de huidige ingestelde opslaglimiet is de opnameduur van de camera minder dan 1 uur. Wij raden u aan een redelijke opslaglimiet in te stellen.,"Bei dem aktuell eingestellten Speicherkontingent beträgt die mögliche Aufzeichnungsdauer der Kamera weniger als 1 Stunde. Es wird empfohlen, ein angemessenes Speicherkontingent festzulegen.","Com a capacidade de armazenamento definida, a câmara consegue gravar durante menos de uma hora. Recomenda-se reservar capacidade de armazenamento suficiente","Con la capacidad de volumen configurada, la cámara puede grabar menos de una hora. Se recomienda asignar suficiente capacidad de volumen","Con lo spazio di archiviazione disponibile, la videocamera può registrare per meno di un'ora. Si consiglia di garantire uno spazio di archiviazione sufficiente","Avec la capacité du volume définie, la caméra ne peut enregistrer que moins d’une heure. Il est recommandé de réserver une capacité suffisante.",設定されたボリューム容量では、カメラの録画可能時間が1時間未満になります。十分なボリューム容量を割り当てることをお勧めします。,설정된 볼륨 용량으로는 카메라 녹화 가능 시간이 1시간 미만입니다. 충분한 볼륨 용량을 할당하는 것을 권장합니다.,目前儲存容量設定下，攝影機可錄製時長不足1小時，建議預留合理的儲存容量
600500,服务器内部错误,Internal server error,Interne server fout,Interner Serverfehler,Erro interno do servidor,Error interno del servidor,Errore interno del server,Erreur interne du serveur,サーバー内部エラー,서버 내부 오류,伺服器內部錯誤
601400,无效的协议参数,Invalid protocol parameters,Ongeldige protocolparameter,Ungültige Protokollparameter,Parâmetros de protocolo inválidos,Parámetros de protocolo inválidos,Parametri di protocollo non validi,Paramètres de protocole invalides,無効なプロトコルパラメータ,유효하지 않은 프로토콜 파라미터,無效的協議參數
601401,协议暂未支持,Protocol not supported,Protocol niet ondersteund,Protokoll nicht unterstützt,Protocolo não suportado,Protocolo no compatible,Protocollo non supportato,Protocole non pris en charge,プロトコルはまだサポートされていません,프로토콜 미지원,協議暫未支援
602400,设备不存在,Device does not exist,Apparaat bestaat niet,Gerät existiert nicht,O dispositivo não existe,El dispositivo no existe,Il dispositivo non esiste,L'appareil n'existe pas,デバイスが存在しません,장치가 존재하지 않음,裝置不存在
602401,设备已经存在,The device already exists,Apparaat bestaat al,Gerät existiert bereits,O dispositivo já existe,El dispositivo ya existe,Il dispositivo esiste già,L'appareil existe déjà.,デバイスは既に存在しています,장치가 이미 존재합니다.,裝置已存在
602402,非法的设备，MAC地址异常,"Invalid device, MAC address error","Ongeldig apparaat, MAC-adres afwijkend","Ungültiges Gerät, fehlerhafte MAC-Adresse","Dispositivo inválido, erro de endereço MAC","Dispositivo inválido, Dirección MAC anómala","Dispositivo non valido, errore indirizzo MAC","Appareil invalide, adresse MAC incorrecte",不正なデバイス、MACアドレス異常,"잘못된 장치, MAC 주소 이상",非法的裝置，MAC地址異常
602403,设备重置,Device reset,Apparaat is gereset,Gerät wurde zurückgesetzt,Reinicialização do aparelho,Restablecimiento del dispositivo,Ripristino del dispositivo,Réinitialiser l'appareil,デバイスリセット,장치 초기화,裝置重置
602408,共享文件夹 %v 设置了配额（%v），当前可用配额不足,"The shared folder %v has set a quota (%v), and the current available quota is insufficient",De gedeelde map %v heeft een quota ingesteld (%v); de huidige beschikbare quota is onvoldoende,Für den freigegebenen Ordner %v ist ein Quota von %v festgelegt. Das aktuelle verfügbare Quota ist unzureichend.,"A pasta compartilhada %v foi configurada com a cota (%v), a cota disponível atual é insuficiente","La carpeta compartida %v tiene una cuota establecida (%v), y la cuota disponible actual es insuficiente.","La cartella condivisa %v ha una quota impostata (%v), lo spazio disponibile attuale è insufficiente","Le dossier partagé %v a une quota définie (%v), et le quota disponible actuel est insuffisant.",共有フォルダ%sにはクォータ（%s）が設定されており、現在の利用可能クォータが不足しています。,공유 폴더 %s의 할당량（%s）이 설정되었으나 현재 사용 가능한 공간이 부족합니다.,共享文件夹 %v 设置了配额（%v），当前可用配额不足
602407,通道不存在,Camera does not exist,Kanaal bestaat niet,Kamera existiert nicht,A câmera não existe,La cámara no existe,La telecamera non esiste,La caméra n'existe pas,カメラが存在しません,카메라가 존재하지 않음,通道不存在
602409,通道数已达上限 %v 路，暂时无法添加,The number of channels has reached the maximum limit (%v channels). Unable to add for now,Het aantal kanalen heeft de maximale limiet (%v kanalen) bereikt. Kan momenteel niet worden toegevoegd.,Die maximale Anzahl an Kanälen (%v Kanäle) wurde erreicht. Kein weiteres Hinzufügen möglich,O número de canais atingiu o limite máximo (%v canais). Não é possível adicionar no momento,El número de canales ha alcanzado el límite máximo (%v canales). No es posible añadir más por el momento,Il numero di canali ha raggiunto il limite massimo (%v canali). Impossibile aggiungerne per il momento,Le nombre de canaux a atteint la limite maximale (%v). Aucun ajout n'est possible pour le moment.,チャンネル数が上限の%vチャンネルに達したため、一時的に追加できません。,"채널 수가 %v 개에 도달하여, 일시적으로 추가할 수 없습니다.",通道數已達上限 %v 路，暫時無法新增
602410,正在迁移中，不可重复迁移,"Migrating, repeated migration is not allowed","Bezig met migratie, herhaalde migratie is niet toegestaan","Migration läuft, eine wiederholte Migration ist nicht möglich","Migração em andamento, não é permitida a migração repetida","Migración en curso, no se puede repetir la operación		",Migrazione in corso. Non è consentito ripetere l'operazione,"Migration en cours, impossible de relancer.",移行中です。繰り返し操作ができません。,"마이그레이션 중, 중복 실행 불가",正在遷移中，不可重複遷移
602412,通道已存在,The camera already exists,Het kanaal bestaat al,Die Kamera existiert bereits,A câmera já existe,La cámara ya existe,La telecamera esiste già,La caméra existe déjà,カメラは既に存在しています,카메라가 이미 존재합니다,通道已存在
602411,设备数量已达上限，无法添加,The number of devices has reached the limit. Unable to add,Het aantal apparaten heeft de limiet bereikt. Toevoegen is niet mogelijk,Die Anzahl der Geräte hat das Limit erreicht. Hinzufügen nicht möglich,O número de dispositivos atingiu o limite. Não é possível adicionar mais,El número de dispositivos ha alcanzado el límite. No se puede agregar más,Il numero di dispositivi ha raggiunto il limite. Impossibile aggiungerne altri,"Le nombre maximal d'appareils a été atteint, impossible d'en ajouter",デバイス数が上限に達したため、追加できません。,장치 수가 최대 한도에 도달하여 추가할 수 없습니다,裝置數量已達上限，無法新增
602420,无法访问设备，请检查网络连接,Unable to access the device. Please check the network connection,"Kan apparaat niet bereiken, controleer netwerkverbinding","Zugriff auf das Gerät nicht möglich, bitte überprüfen Sie die Netzwerkverbindung",Não é possível acessar o aparelho. Verifique a conexão de rede,No se puede acceder al dispositivo. Compruebe la conexión de red,Impossibile accedere al dispositivo. Verifica la connessione di rete,Accès à l'appareil impossible. Veuillez vérifier la connexion réseau.,デバイスにアクセスできません。ネットワーク接続を確認してください,장치 액세스 불가. 네트워크 연결을 확인하십시오.,無法存取裝置，請檢查網路連線
602421,设备认证失败，用户名或密码错误,Device authentication failed. Incorrect username or password,"Apparaatauthenticatie mislukt, gebruikersnaam of wachtwoord onjuist","Geräteauthentifizierung fehlgeschlagen, Benutzername oder Passwort falsch",Falha na autenticação do dispositivo. Nome de usuário ou senha incorreto.,Error de autenticación del dispositivo. Nombre de usuario o contraseña incorrectos,Autenticazione dispositivo non riuscita. Nome utente o password errati,Échec de l'authentification de l'appareil. Le nom d'utilisateur ou le mot de passe est incorrect.,デバイス認証に失敗しました。ユーザー名またはパスワードが間違っています。,"장치 인증 실패, 사용자명 또는 비밀번호 오류",裝置認證失敗，使用者名稱或密碼錯誤
602422,设备认证失败，认证算法暂未支持,Device authentication failed. Authentication algorithm not supported,"Apparaatauthenticatie mislukt, authenticatie-algoritme niet ondersteund","Geräteauthentifizierung fehlgeschlagen, Authentifizierungsalgorithmus nicht unterstützt",Falha na autenticação do dispositivo. Algoritmo de autenticação não suportado,Error de autenticación del dispositivo. Algoritmo de autenticación no compatible,Autenticazione dispositivo non riuscita. Algoritmo di autenticazione non supportato,Échec de l'authentification de l'appareil. L'algorithme d'authentification n'est pas encore pris en charge.,デバイス認証に失敗しました。認証アルゴリズムはまだサポートされていません。,"장치 인증 실패, 인증 알고리즘 미지원",裝置認證失敗，認證演算法暫未支援
602423,设备认证失败，NTP校对异常,Device authentication failed. NTP synchronization error,"Apparaatauthenticatie mislukt, NTP-synchronisatie fout","Geräteauthentifizierung fehlgeschlagen, NTP-Abgleich fehlerhaft",Falha na autenticação do dispositivo. Erro de sincronização NTP,Error de autenticación del dispositivo. Error en la sincronización NTP,Autenticazione dispositivo non riuscita. Errore di sincronizzazione NTP,Échec de l'authentification de l'appareil. Anomalie de synchronisation NTP.,デバイス認証に失敗しました。NTP同期異常です。,"장치 인증 실패, NTP 동기화 이상",裝置認證失敗，NTP校對異常
602424,鉴权失败,Authentication failed,Authenticatie mislukt,Authentifizierung fehlgeschlagen,Falha na autenticação,Error de autenticación,Autenticazione non riuscita,Échec de l'authentification,認証に失敗しました,인증 실패,鑑權失敗
602425,连接被拒绝,Connection refused,Verbinding geweigerd,Verbindung abgelehnt,Conexão recusada,Conexión rechazada,Connessione rifiutata,Connexion refusée,接続が拒否されました,연결 거부됨,連線被拒絕
602426,连接被拒绝，端口错误,"Connection refused, port error","Verbinding geweigerd, poortfout","Verbindung abgelehnt, Port-Fehler","Conexão recusada, erro de porta","Conexión rechazada, puerto incorrecto","Connessione rifiutata, errore porta",Connexion refusée. Port incorrect.,ポートエラーのため、接続が拒否されました。,"연결 거부됨, 포트 오류",連線被拒絕，連接埠錯誤
602500,设备内部错误,Internal device error,Interne apparaatfout,Interner Gerätefehler,Erro interno do dispositivo,Error interno del dispositivo,Errore interno del dispositivo,Erreur interne de l'appareil,デバイス内部エラー,장치 내부 오류,裝置內部錯誤
602501,获取设备 MAC 地址失败，无法保证唯一性,Failed to retrieve device MAC address. Uniqueness cannot be guaranteed,"Kan MAC-adres van apparaat niet ophalen, uniciteit niet gegarandeerd","Abruf der MAC-Adresse des Geräts fehlgeschlagen, Eindeutigkeit kann nicht gewährleistet werden",Falha ao recuperar o endereço MAC do dispositivo. A exclusividade não pode ser garantida,No se pudo obtener la dirección MAC del dispositivo. No se puede garantizar la unicidad,Impossibile recuperare l'indirizzo MAC del dispositivo. Non è possibile garantire l'unicità,Échec de l'obtention de l'adresse MAC de l'appareil. L'unicité ne peut être garantie.,デバイスのMACアドレス取得失敗、一意性を保証できません,"장치 MAC 주소 가져오기 실패, 고유성 보장 불가",獲取裝置 MAC 地址失敗，無法保證唯一性
602502,设备暂时无法获取有效 RTSP 串流地址,The device is temporarily unable to obtain a valid RTSP stream address,Kan geldig RTSP-streamadres niet verkrijgen,Gültige RTSP-Stream-Adresse konnte nicht abgerufen werden,O dispositivo está temporariamente impossibilitado de obter um endereço de fluxo RTSP válido,El dispositivo no puede obtener temporalmente una dirección RTSP válida,Il dispositivo non è temporaneamente in grado di ottenere un indirizzo di streaming RTSP valido,L'appareil est temporairement incapable d'obtenir une adresse de flux RTSP valide.,デバイスが有効なRTSPストリーミングアドレスを一時的に取得できません,장치에서 유효한 RTSP 스트리밍 주소를 일시적으로 가져올 수 없습니다,裝置暫時無法獲取有效 RTSP 串流地址
602503,起流失败,Failed to start streaming,Starten van stream mislukt,Streamstart fehlgeschlagen,Falha ao iniciar o fluxo,Error al iniciar la transmisión,Impossibile avviare lo streaming,Échec du démarrage du flux,ストリーミングの開始に失敗しました,스트리밍 시작 실패,起流失敗
602504,迁移中，无法进行相关操作,Migrating... Related operations cannot be performed,Bezig met migratie... gerelateerde acties niet mogelijk,Migration läuft... Relevante Aktionen derzeit nicht möglich,Migrando... As operações relacionadas não podem ser realizadas,Migrando... No se pueden realizar las operaciones relacionadas,Migrazione in corso... Le operazioni correlate non sono disponibili,Migration en cours. Les opérations associées sont indisponibles.,移行中のため、関連操作を実行できません,마이그레이션 중... 관련 작업 수행 불가,遷移中，無法進行相關操作
602505,重复的设备名称,Duplicate device name,Dubbele apparaatnaam,Doppelter Gerätename,Nome do dispositivo duplicado,Nombre de dispositivo duplicado,Nome del dispositivo duplicato,Nom d'appareil en double,重複したデバイス名,중복된 장치명,重複的裝置名稱
602506,设备名称已存在,The device name already exists,De apparaatnaam is al in gebruik,Der Gerätename ist bereits vergeben,O nome do dispositivo já existe,El nombre del dispositivo ya existe,Il nome del dispositivo esiste già,Le nom de l'appareil existe déjà.,デバイス名は既に存在します,장치명 이미 존재함,裝置名稱已存在
602507,设备不支持云台,Device does not support PTZ,Apparaat ondersteunt PTZ niet,Gerät unterstützt PTZ nicht,O dispositivo não suporta PTZ,El dispositivo no admite PTZ,Il dispositivo non supporta PTZ,L'appareil ne prend pas en charge le PTZ,デバイスはPTZをサポートしていません,장치가 PTZ를 지원하지 않습니다,裝置不支援雲台
602508,共享文件夹 %v 设置了配额（%v），当前可用配额不足,"The shared folder %v has set a quota (%v), and the current available quota is insufficient",De gedeelde map %v heeft een quota ingesteld (%v); de huidige beschikbare quota is onvoldoende,Für den freigegebenen Ordner %v ist ein Quota von %v festgelegt. Das aktuelle verfügbare Quota ist unzureichend.,"A pasta compartilhada %v foi configurada com a cota (%v), a cota disponível atual é insuficiente","La carpeta compartida %v tiene una cuota establecida (%v), y la cuota disponible actual es insuficiente.","La cartella condivisa %v ha una quota impostata (%v), lo spazio disponibile attuale è insufficiente","Le dossier partagé %v a une quota définie (%v), et le quota disponible actuel est insuffisant.",共有フォルダ%vにはクォータ（%v）が設定されており、現在の利用可能クォータが不足しています。,공유 폴더 %v의 할당량（%v）이 설정되었으나 현재 사용 가능한 공간이 부족합니다.,共享文件夹 %v 设置了配额（%v），当前可用配额不足
602509,镜头已离线,Channel offline,Camera is offline,Objektiv offline,Canal offline,Cámara fuera de línea,Canale offline,La caméra est hors ligne.,チャンネルがオフラインです,채널 오프라인,鏡頭已離線
602510,设备连接超时，请稍后再次尝试,Device connection timeout. Please try again later,Apparaatverbinding time-out. Probeer het later opnieuw,Zeitüberschreitung bei der Verbindung. Bitte später erneut versuchen,Tempo limite de ligação do dispositivo excedido. Tente novamente mais tarde,"Tiempo de conexión del dispositivo agotado. Por favor, inténtelo de nuevo más tarde",Timeout connessione dispositivo. Riprova più tardi,"Connexion à l'appareil expirée, veuillez réessayer plus tard.",デバイスの接続がタイムアウトしました。しばらくしてからもう一度お試しください。,장치 연결 시간 초과. 잠시 후 다시 시도해 주세요.,裝置連線超時，請稍後再次嘗試
602511,云台控制失败,Failed to control gimbal,Besturing van de gimbal mislukt,Gimbal-Steuerung fehlgeschlagen,Falha ao controlar o gimbal,Error al controlar el gimbal,Impossibile controllare il giunto cardanico,Impossible de contrôler le cardan,ジンバルの制御に失敗しました,짐벌 제어 실패,雲臺控制失敗
602512,变焦失败,Failed to zoom,Zoom mislukt,Zoom fehlgeschlagen,Falha ao fazer zoom,Error al hacer zoom,Impossibile ingrandire,Échec du zoom,ズームに失敗しました,줌 조절이 실패,變焦失敗
602700,协议未同意，请求失败,Failed to request. Agreement not accepted,Het verzoek is mislukt. De overeenkomst is niet geaccepteerd,Anfrage fehlgeschlagen. Den Vereinbarungen wurde nicht zugestimmt,Falha na solicitação. Acordo não aceite,Error al realizar la solicitud. Acuerdo no aceptado,Richiesta non riuscita. Accordo non accettato,"Consentement non accordé, requête échouée",規約に同意していないため、リクエストに失敗しました。,약관에 동의하지 않아 요청이 실패했습니다,協議未同意，請求失敗
602601,无录像,No videos,Geen video's,Keine Videos,Não há vídeos,Sin vídeos,Nessun video,Aucune vidéo,ビデオなし,동영상 없음,無錄影
602602,录像不存在,Video does not exist,Opname bestaat niet,Aufnahme nicht gefunden,O vídeo não existe,El video no existe,Il video non esiste,La vidéo n'existe pas,ビデオは存在しません,녹화 없음,影片不存在
602701,归档失败，录像文件不存在,Failed to archive. The video does not exist,Archiveren is mislukt. De video bestaat niet,Archivierung fehlgeschlagen. Videodatei nicht gefunden,Não foi possível arquivar. O vídeo não existe,Error al archivar. El video no existe,Impossibile archiviare. Il video non esiste,Échec de l’archivage : le fichier vidéo n’existe pas,アーカイブに失敗しました。録画ファイルが存在しません。,보관 실패 녹화 파일이 존재하지 않음,歸檔失敗，錄影檔案不存在
602702,归档失败，目标存储空间容量不足，请清理空间或重新选择存储位置,Failed to archive. Insufficient target volume capacity. Please free up space or reselect storage location,Het archiveren is mislukt. Onvoldoende ruimte op het doelvolume. Maak ruimte vrij of kies een andere opslaglocatie,Archivierung fehlgeschlagen. Die Kapazität des Zielvolumes reicht nicht aus. Bitte geben Sie Speicherplatz frei oder wählen Sie einen anderen Speicherort aus,Falha na arquivação. Capacidade insuficiente do volume de destino. Liberte espaço ou volte a selecionar o local de armazenamento,No se ha podido archivar. Capacidad del volumen de destino insuficiente. Libera espacio o vuelve a seleccionar la ubicación de almacenamiento,Archiviazione non riuscita. Capacità del volume di destinazione insufficiente. Liberare spazio o selezionare nuovamente la posizione di archiviazione,Échec de l’archivage. Espace insuffisant sur le volume cible. Veuillez libérer de l’espace ou sélectionner un autre emplacement de stockage.,アーカイブに失敗しました。ターゲットボリュームの容量が不足しています。空き容量を増やすか、保存先を再選択してください。,보관 실패 대상 볼륨 용량 부족. 공간을 확보하거나 스토리지 위치를 다시 선택하세요,歸檔失敗，目標儲存空間容量不足，請清理空間或重新選擇儲存位置
602703,无法归档，请确保NAS存在两个及以上存储空间，或已连接外部存储设备,"Failed to archive. Please ensure that the NAS has two or more volumes, or is connected to an external storage device","Het archiveren is mislukt. Zorg ervoor dat de NAS twee of meer volumes heeft, of is aangesloten op een extern opslagapparaat","Archivierung fehlgeschlagen. Stellen Sie sicher, dass das NAS über mindestens zwei Volumes verfügt oder einen externen Speicher angeschlossen ist",Falha ao arquivar. Certifique-se de que o NAS possui dois ou mais volumes ou que está ligado a um dispositivo de armazenamento externo,"Error al archivar. Por favor, asegúrese de que el NAS tenga dos o más volúmenes o esté conectado a un dispositivo de almacenamiento externo",Impossibile eseguire l'archiviazione. Assicurarsi che il NAS disponga di almeno due volumi o che sia collegato a un dispositivo di archiviazione esterno,Impossible d’archiver. Veuillez vous assurer que le NAS dispose d’au moins deux volumes ou qu’un périphérique de stockage externe est connecté.,アーカイブできません。NASに2つ以上のボリュームが存在しているか、外部ストレージデバイスに接続していることを確認してください。,보관할 수 없습니다. NAS에 두 개 이상의 볼륨이 있거나 외부 스토리지 장치가 연결되어 있는지 확인하세요.,無法歸檔，請確保NAS存在兩個及以上儲存空間，或已連線外部儲存裝置
602704,摄像头迁移中，暂时无法归档录像,Migrating camera... Unable to archive videos,Camera wordt verplaatst... Video's kunnen niet worden gearchiveerd,Kamera wird migriert... Videos können nicht archiviert werden,A migrar a câmara... Não é possível arquivar vídeos,Migrando cámara… No se pueden archivar los videos,Migrazione della telecamera in corso... Impossibile archiviare i video,"Migration de la caméra en cours, archivage des vidéos temporairement indisponible.",カメラの移行中... 動画をアーカイブできません,카메라 마이그레이션 중... 비디오를 보관할 수 없습니다,攝影機遷移中，暫時無法歸檔錄影
602705,归档失败，找不到目标文件夹，请重新选择路径,Failed to archive. Target folder not found. Please reselect the path,Archiveren is mislukt. Doelmap niet gevonden. Selecteer het pad opnieuw,Archivierung fehlgeschlagen. Zielordner nicht gefunden. Bitte wählen Sie den Pfad erneut aus,"Falha ao arquivar. Pasta de destino não encontrada. Por favor, volte a selecionar o caminho","Error al archivar. Carpeta de destino no encontrada. Por favor, vuelva a seleccionar la ruta",Archiviazione non riuscita. Cartella di destinazione non trovata. Selezionare nuovamente il percorso,Échec de l’archivage : dossier cible introuvable. Veuillez sélectionner un nouveau chemin.,アーカイブに失敗しました。対象フォルダが見つかりません。パスを再選択してください。,보관 실패 대상 폴더를 찾을 수 없습니다. 경로를 다시 선택하세요,歸檔失敗，找不到目標資料夾，請重新選擇路徑
