Key,zh-CN,en-US,nl-NL,de-DE,pt-PT,es-ES,it-IT,fr-FR,ja-JP,ko-KR,zh-TW
device_status_online_notify,%s （%s）已建立连接，%s年%s月%s日%s:%s:%s,"%s (%s) has connected, %s/%s/%s %s:%s:%s","%s (%s) is verbonden, %s-%s-%s %s:%s:%s","%s (%s) ist verbunden, %s/%s/%s %s:%s:%s",%s (%s) conectado em %s/%s/%s %s:%s:%s,"%s (%s) se ha conectado, %s/%s/%s %s:%s:%s","%s (%s) ha stabilito la connessione, %s/%s/%s %s:%s:%s","%s (%s) s'est connecté, %s/%s/%s %s:%s:%s",%s（%s）が接続されました：%s年%s月%s日 %s:%s:%s,"%s (%s) 연결됨, %s년 %s월 %s일 %s:%s:%s",%s （%s）已建立连接，%s年%s月%s日%s:%s:%s
device_status_offline_notify,%s （%s）已断开连接，%s年%s月%s日%s:%s:%s,"%s (%s) has disconnected, %s/%s/%s %s:%s:%s","%s (%s) is losgekoppeld, %s-%s-%s %s:%s:%s","%s (%s) wurde getrennt, %s/%s/%s %s:%s:%s",%s (%s) desconectado em %s/%s/%s %s:%s:%s,"%s (%s) se ha desconectado, %s/%s/%s %s:%s:%s","%s (%s) ha interrotto la connessione, %s/%s/%s %s:%s:%s","%s (%s) s'est déconnecté, %s/%s/%s %s:%s:%s",%s（%s）が切断されました：%s年%s月%s日 %s:%s:%s,"%s (%s) 연결 끊김, %s년 %s월 %s일 %s:%s:%s",%s （%s）已断开连接，%s年%s月%s日%s:%s:%s
device_status_online_notify_no_model,%s 已建立连接，%s年%s月%s日%s:%s:%s,"%s has connected, %s/%s/%s %s:%s:%s","%s is verbonden, %s-%s-%s %s:%s:%s","%s ist verbunden, %s/%s/%s %s:%s:%s",%s conectado em %s/%s/%s %s:%s:%s,"%s se ha conectado, %s/%s/%s %s:%s:%s","%s ha stabilito la connessione, %s/%s/%s %s:%s:%s","%s s'est connecté, %s/%s/%s %s:%s:%s",%sが接続されました：%s年%s月%s日 %s:%s:%s,"%s 연결됨, %s년 %s월 %s일 %s:%s:%s",%s 已建立连接，%s年%s月%s日%s:%s:%s
device_status_offline_notify_no_model,%s 已断开连接，%s年%s月%s日%s:%s:%s,"%s has disconnected, %s/%s/%s %s:%s:%s","%s is losgekoppeld, %s-%s-%s %s:%s:%s","%s wurde getrennt, %s/%s/%s %s:%s:%s",%s desconectado em %s/%s/%s %s:%s:%s,"%s se ha desconectado, %s/%s/%s %s:%s:%s","%s ha interrotto la connessione, %s/%s/%s %s:%s:%s","%s s'est déconnecté, %s/%s/%s %s:%s:%s",%sが切断されました：%s年%s月%s日 %s:%s:%s,"%s 연결 끊김, %s년 %s월 %s일 %s:%s:%s",%s 已断开连接，%s年%s月%s日%s:%s:%s
device_status_online_notify_multi_camera,%s （%s）镜头%s 已建立连接，%s年%s月%s日%s:%s:%s,%s （%s）镜头%s 已建立连接，%s年%s月%s日%s:%s:%s,%s （%s）镜头%s 已建立连接，%s年%s月%s日%s:%s:%s,%s （%s）镜头%s 已建立连接，%s年%s月%s日%s:%s:%s,%s （%s）镜头%s 已建立连接，%s年%s月%s日%s:%s:%s,%s （%s）镜头%s 已建立连接，%s年%s月%s日%s:%s:%s,%s （%s）镜头%s 已建立连接，%s年%s月%s日%s:%s:%s,%s （%s）镜头%s 已建立连接，%s年%s月%s日%s:%s:%s,%s （%s）镜头%s 已建立连接，%s年%s月%s日%s:%s:%s,%s （%s）镜头%s 已建立连接，%s年%s月%s日%s:%s:%s,%s （%s）镜头%s 已建立连接，%s年%s月%s日%s:%s:%s
device_status_online_notify_multi_camera_no_model,%s 镜头%s 已建立连接，%s年%s月%s日%s:%s:%s,%s 镜头%s 已建立连接，%s年%s月%s日%s:%s:%s,%s 镜头%s 已建立连接，%s年%s月%s日%s:%s:%s,%s 镜头%s 已建立连接，%s年%s月%s日%s:%s:%s,%s 镜头%s 已建立连接，%s年%s月%s日%s:%s:%s,%s 镜头%s 已建立连接，%s年%s月%s日%s:%s:%s,%s 镜头%s 已建立连接，%s年%s月%s日%s:%s:%s,%s 镜头%s 已建立连接，%s年%s月%s日%s:%s:%s,%s 镜头%s 已建立连接，%s年%s月%s日%s:%s:%s,%s 镜头%s 已建立连接，%s年%s月%s日%s:%s:%s,%s 镜头%s 已建立连接，%s年%s月%s日%s:%s:%s
device_status_offline_notify_multi_camera,%s （%s）镜头%s 已断开连接，%s年%s月%s日%s:%s:%s,%s （%s）镜头%s 已断开连接，%s年%s月%s日%s:%s:%s,%s （%s）镜头%s 已断开连接，%s年%s月%s日%s:%s:%s,%s （%s）镜头%s 已断开连接，%s年%s月%s日%s:%s:%s,%s （%s）镜头%s 已断开连接，%s年%s月%s日%s:%s:%s,%s （%s）镜头%s 已断开连接，%s年%s月%s日%s:%s:%s,%s （%s）镜头%s 已断开连接，%s年%s月%s日%s:%s:%s,%s （%s）镜头%s 已断开连接，%s年%s月%s日%s:%s:%s,%s （%s）镜头%s 已断开连接，%s年%s月%s日%s:%s:%s,%s （%s）镜头%s 已断开连接，%s年%s月%s日%s:%s:%s,%s （%s）镜头%s 已断开连接，%s年%s月%s日%s:%s:%s
device_status_offline_notify_multi_camera_no_model,%s 镜头%s 已断开连接，%s年%s月%s日%s:%s:%s,%s 镜头%s 已断开连接，%s年%s月%s日%s:%s:%s,%s 镜头%s 已断开连接，%s年%s月%s日%s:%s:%s,%s 镜头%s 已断开连接，%s年%s月%s日%s:%s:%s,%s 镜头%s 已断开连接，%s年%s月%s日%s:%s:%s,%s 镜头%s 已断开连接，%s年%s月%s日%s:%s:%s,%s 镜头%s 已断开连接，%s年%s月%s日%s:%s:%s,%s 镜头%s 已断开连接，%s年%s月%s日%s:%s:%s,%s 镜头%s 已断开连接，%s年%s月%s日%s:%s:%s,%s 镜头%s 已断开连接，%s年%s月%s日%s:%s:%s,%s 镜头%s 已断开连接，%s年%s月%s日%s:%s:%s
record_failed_notify,%s （%s）录制失败，%s年%s月%s日%s:%s:%s,"%s (%s) failed to record, %s/%s/%s %s:%s:%s","Opname van %s (%s) mislukt, %s-%s-%s %s:%s:%s","Aufzeichnung von %s (%s) fehlgeschlagen, %s/%s/%s %s:%s:%s",Falha na gravação de %s (%s) em %s/%s/%s %s:%s:%s,"%s (%s) falló al grabar, %s/%s/%s %s:%s:%s","%s (%s) registrazione fallita, %s/%s/%s %s:%s:%s","Échec de l'enregistrement pour %s (%s), %s/%s/%s %s:%s:%s",%s（%s）の録画に失敗しました：%s年%s月%s日 %s:%s:%s,"%s (%s) 녹화 실패, %s년 %s월 %s일 %s:%s:%s ",%s （%s）录制失败，%s年%s月%s日%s:%s:%s
record_storage_failed_notify,%s （%s）存储异常，%s年%s月%s日%s:%s:%s ，请检查存储空间容量、存储路径和权限是否异常,"%s (%s) storage error, %s/%s/%s %s:%s:%s. Please check whether the volume capacity, storage path or permission is error","Opslagfout bij %s (%s), %s-%s-%s %s:%s:%s. Controleer of er problemen zijn met de volumecapaciteit, het opslagpad en de machtigingen. ","Speicherfehler bei %s (%s), %s/%s/%s %s:%s:%s. Bitte überprüfen Sie die Volume-Kapazität, den Speicherpfad und die Berechtigungen auf mögliche Probleme. ","Erro de armazenamento em %s (%s), %s/%s/%s %s:%s:%s. Verifique se a capacidade do volume, o caminho de armazenamento e as permissões estão corretos","%s (%s) Error de almacenamiento, %s-%s-%s %s:%s:%s. Verifique si la capacidad del volumen, la ruta de almacenamiento o el permiso es anormal","%s (%s) errore di archiviazione, %s/%s/%s/ %s:%s:%s. Verificare lo spazio di archiviazione disponibile, il percorso e i permessi","%s (%s) anomalie de stockage, %s/%s/%s %s:%s:%s. Veuillez vérifier si la capacité du volume, le chemin de stockage ou les autorisations présentent des anomalies.",%s（%s）のストレージに異常が発生しました。%s年%s月%s日 %s:%s:%s に検出されました。ボリューム容量、ストレージパス、および権限に異常がないかご確認ください。,"%s (%s) 스토리지 오류, %s년 %s월 %s일 %s:%s:%s 스토리지 용량, 저장 경로, 또는 권한에 문제가 있는지 확인해 주세요.",%s （%s）存储异常，%s年%s月%s日%s:%s:%s ，请检查存储空间容量、存储路径和权限是否异常
record_storage_failed_notify_no_model,%s存储异常，%s年%s月%s日%s:%s:%s ，请检查存储空间容量、存储路径和权限是否异常,"%s storage error, %s/%s/%s %s:%s:%s. Please check whether the volume capacity, storage path or permission is error","Opslagfout bij %s, %s-%s-%s %s:%s:%s. Controleer of er problemen zijn met de volumecapaciteit, het opslagpad en de machtigingen. ","Speicherfehler bei %s, %s/%s/%s %s:%s:%s. Bitte überprüfen Sie die Volume-Kapazität, den Speicherpfad und die Berechtigungen auf mögliche Probleme. ","Erro de armazenamento em %s, %s/%s/%s %s:%s:%s. Verifique se a capacidade do volume, o caminho de armazenamento e as permissões estão corretos","%s Error de almacenamiento, %s-%s-%s %s:%s:%s. Verifique si la capacidad del volumen, la ruta de almacenamiento o el permiso es anormal","%s errore di archiviazione, %s/%s/%s/ %s:%s:%s. Verificare lo spazio di archiviazione disponibile, il percorso e i permessi","%s anomalie de stockage, %s/%s/%s %s:%s:%s. Veuillez vérifier si la capacité du volume, le chemin de stockage ou les autorisations présentent des anomalies.",%sのストレージに異常が発生しました。%s年%s月%s日 %s:%s:%s に検出されました。ボリューム容量、ストレージパス、および権限に異常がないかご確認ください。,"%s 스토리지 오류, %s년 %s월 %s일 %s:%s:%s 스토리지 용량, 저장 경로, 또는 권한에 문제가 있는지 확인해 주세요.",%s 存储异常，%s年%s月%s日%s:%s:%s ，请检查存储空间容量、存储路径和权限是否异常
record_storage_failed_notify_multi_camera,%s （%s）镜头%s 存储异常，%s年%s月%s日%s:%s:%s ，请检查存储空间容量、存储路径和权限是否异常,%s （%s）镜头%s 存储异常，%s年%s月%s日%s:%s:%s ，请检查存储空间容量、存储路径和权限是否异常,%s （%s）镜头%s 存储异常，%s年%s月%s日%s:%s:%s ，请检查存储空间容量、存储路径和权限是否异常,%s （%s）镜头%s 存储异常，%s年%s月%s日%s:%s:%s ，请检查存储空间容量、存储路径和权限是否异常,%s （%s）镜头%s 存储异常，%s年%s月%s日%s:%s:%s ，请检查存储空间容量、存储路径和权限是否异常,%s （%s）镜头%s 存储异常，%s年%s月%s日%s:%s:%s ，请检查存储空间容量、存储路径和权限是否异常,%s （%s）镜头%s 存储异常，%s年%s月%s日%s:%s:%s ，请检查存储空间容量、存储路径和权限是否异常,%s （%s）镜头%s 存储异常，%s年%s月%s日%s:%s:%s ，请检查存储空间容量、存储路径和权限是否异常,%s （%s）镜头%s 存储异常，%s年%s月%s日%s:%s:%s ，请检查存储空间容量、存储路径和权限是否异常,%s （%s）镜头%s 存储异常，%s年%s月%s日%s:%s:%s ，请检查存储空间容量、存储路径和权限是否异常,%s （%s）镜头%s 存储异常，%s年%s月%s日%s:%s:%s ，请检查存储空间容量、存储路径和权限是否异常
record_storage_failed_notify_no_model_multi_camera,%s 镜头%s存储异常，%s年%s月%s日%s:%s:%s ，请检查存储空间容量、存储路径和权限是否异常,%s 镜头%s存储异常，%s年%s月%s日%s:%s:%s ，请检查存储空间容量、存储路径和权限是否异常,%s 镜头%s存储异常，%s年%s月%s日%s:%s:%s ，请检查存储空间容量、存储路径和权限是否异常,%s 镜头%s存储异常，%s年%s月%s日%s:%s:%s ，请检查存储空间容量、存储路径和权限是否异常,%s 镜头%s存储异常，%s年%s月%s日%s:%s:%s ，请检查存储空间容量、存储路径和权限是否异常,%s 镜头%s存储异常，%s年%s月%s日%s:%s:%s ，请检查存储空间容量、存储路径和权限是否异常,%s 镜头%s存储异常，%s年%s月%s日%s:%s:%s ，请检查存储空间容量、存储路径和权限是否异常,%s 镜头%s存储异常，%s年%s月%s日%s:%s:%s ，请检查存储空间容量、存储路径和权限是否异常,%s 镜头%s存储异常，%s年%s月%s日%s:%s:%s ，请检查存储空间容量、存储路径和权限是否异常,%s 镜头%s存储异常，%s年%s月%s日%s:%s:%s ，请检查存储空间容量、存储路径和权限是否异常,%s 镜头%s存储异常，%s年%s月%s日%s:%s:%s ，请检查存储空间容量、存储路径和权限是否异常
record_migration_paused_notify,迁移暂停中,Migration paused,Migratie gepauzeerd,Migration pausiert,Migração pausada,Migración pausada,Migrazione in pausa,Migration en pause,移行一時停止中,마이그레이션 일시 중지됨,遷移暫停中
record_migration_failed_notify,"%s(%s)迁移到的目标存储空间容量不足,请选择处理方式","Insufficient volume capacity of the migration destination of %s (%s), please select a processing method",Onvoldoende volume-capaciteit op de migratiebestemming van %s (%s). Kies een verwerkingsmethode.,"Unzureichende Volume-Kapazität am Migrationsziel von %s (%s), wählen Sie bitte eine Verarbeitungsmethode aus.",O espaço de armazenamento de destino %s(%s) é insuficiente para a migração. Selecione como deseja proceder.,"Capacidad insuficiente en el volumen de destino para migrar %s (%s), seleccione un método de procesamiento","%s(%s) Capacità insufficiente nel dispositivo di destinazione, seleziona un modo di lavorazione",Capacité de volume insuffisante sur la destination de migration de %s (%s). Veuillez sélectionner une méthode de traitement.,%s（%s）の移行先ボリュームの容量が不足しています。対応方法を選択してください。,%s(%s)이(가) 이동될 대상 저장 공간의 용량이 부족합니다. 처리 방법을 선택해 주세요.,"%s(%s)迁移到的目标存储空间容量不足,请选择处理方式"
event_report_notify,%s （%s）发现%s，%s年%s月%s日%s:%s:%s,"%s (%s) discovered %s, %s/%s/%s %s:%s:%s","%s (%s): %s, %s-%s-%s %s:%s:%s","%s (%s): %s, %s/%s/%s %s:%s:%s",%s (%s) detectou %s em %s/%s/%s %s:%s:%s,"%s (%s) descubrió %s, %s/%s/%s %s:%s:%s","%s (%s) ha rilevato %s, %s/%s/%s %s:%s:%s","%s (%s) a détecté %s, %s/%s/%s %s:%s:%s",%s（%s）が%sを検出しました：%s年%s月%s日 %s:%s:%s,"%s (%s)에서 %s 발견, %s년 %s월 %s일 %s:%s:%s",%s （%s）发现%s，%s年%s月%s日%s:%s:%s
record_store_failed,录像存储失败,Failed to store videos,Opslaan van opname mislukt,Speichern der Aufnahme fehlgeschlagen,Falha ao armazenar a gravação ,Error al almacenar videos,Archiviazione registrazione fallita,Échec du stockage des vidéos,録画の保存に失敗しました。,비디오 저장 실패,錄影儲存失敗
ugreen_event_fire,火焰检测,Fire detection,Branddetectie,Feuererkennung,Detecção de incêndios,Detección de llamas,Rilevamento incendi,Détection de flamme,火の検知,화재 감지,火焰偵測
ugreen_event_field_intrusion,进入区域,Detection zone entry,Betreden van de detectiezone,Betreten des Bereichs,Entrada na zona de deteção,Detección de entrada a la zona,Ingresso nella zona di rilevamento,Détection d’entrée dans la zone,エリア進入検知,감지 영역 진입,進入偵測區域
ugreen_event_line_crossing,越线检测,Line crossing detection,Lijnoverschrijding,Linienüberschreitung,Detecção de ultrapassagem de linha,Detección de cruce de líneas,Rilevamento dell'attraversamento della linea,Détection de franchissement de ligne,ライン通過検知,월선 감지,越線偵測
ugreen_event_field_exit,离开区域,Detection zone exit,Uitgang detectiezone,Verlassen des Bereichs,Saída da zona de deteção,Detección de salida de la zona,Uscita dalla zona di rilevamento,Détection de sortie de zone,エリア退出検知,감지 영역 이탈,離開偵測區域
ugreen_event_object_removal,物品丢失,Object removal,Voorwerp verloren,Gegenstand verloren,Objeto perdido,Pérdida de objeto,Rimozione oggetto,Objet manquant,物品紛失,물품 분실,物品遺失
ugreen_event_human_motion_detect,画面变化,Scene change,Scènewisseling,Szeneänderung,Mudança de cena,Cambio de escena,Cambio di scena,Changement de scène,シーン変化,장면 전환,畫面變化
ugreen_event_motion_detection,画面变化,Scene change,Scènewisseling,Szeneänderung,Mudança de cena,Cambio de escena,Cambio di scena,Changement de scène,シーン変化,장면 전환,畫面變化
ugreen_event_human,人形检测,Person detection,Persoonsdetectie,Personenerkennung,Detecção de pessoa,Detección de persona,Rilevamento persona,Détection de personne,人物検知,사람 감지,人形偵測
ugreen_event_human_detection,人形检测,People detection,Personendetectie,Gestalterkennung,Detecção de pessoas,Detección de personas,Rilevamento delle persone,Détection de personnes,人物検知,사람 감지,人形偵測
ugreen_event_human_face,人脸检测,Face detection,Gezichts detectie,Gesichtserkennung,Detecção de rostos,Detección de rostros,Rilevamento dei volti,Détection de visages,顔検知,얼굴 감지,人臉偵測
ugreen_event_vehicle,车辆检测,Vehicle detection,Voertuigdetectie,Fahrzeugerkennung,Detecção de veículo,Detección de vehículos,Rilevamento veicoli,Détection de véhicule,車両検知,차량 감지,車輛偵測
ugreen_event_vehicle_detection,车辆检测,Vehicle detection,Voertuigdetectie,Fahrzeugerkennung,Detecção de veículos,Detección de vehículos,Rilevamento dei veicoli,Détection de véhicules,車両検知,차량 감지,車輛偵測
ugreen_event_motorbike,摩托车检测,Motorcycle detection,Motorfiets detectie,Motorraderkennung,Detecção de motociclos,Detección de motocicletas,Rilevamento delle motociclette,Détection de motos,オートバイ検知,오토바이 감지,摩托車偵測
ugreen_event_package,包裹检测,Package detection,Pakketdetectie,Paketerkennung,Detecção de encomenda,Detección de paquete,Rilevamento pacco,Détection de colis,荷物検知,택배 감지,包裹偵測
ugreen_event_package_detection,包裹检测,Package detection,Pakketdetectie,Paketerkennung,Detecção de pacotes,Detección de paquetes,Rilevamento dei pacchi,Détection de colis,パッケージ検知,소포 감지,包裹偵測
ugreen_event_pet,宠物检测,Pet detection,Detectie van huisdieren,Haustiererkennung,Detecção de animais de estimação,Detección de mascotas,Rilevamento di animali domestici,Détection d’animaux de compagnie,ペット検知,반려동물 감지,寵物偵測
ugreen_event_pet_detection,宠物检测,Pet detection,Detectie van huisdieren,Haustiererkennung,Detecção de animais de estimação,Detección de mascotas,Rilevamento di animali domestici,Détection d’animaux de compagnie,ペット検知,반려동물 감지,寵物偵測
ugreen_event_device_failure,设备故障,Device error,Apparaatfout,Gerätefehler,Erro do dispositivo,Error del dispositivo,Errore del dispositivo,Panne de l’appareil,デバイスエラー,장치 오류,裝置故障
ugreen_event_tamper_detect,镜头遮挡,Camera obstruction,Belemmering van de camera,Kamera-Verdeckung,Obstrução da câmara,Obstrucción de cámara,Ostruzione della telecamera,Obstruction de l’objectif,カメラの遮蔽,카메라 가림,鏡頭遮擋
ugreen_event_device_moval,设备移动,Device movement,Beweging van het apparaat,Gerätebewegung,Movimentação do dispositivo,Movimiento del dispositivo,Movimento del dispositivo,Déplacement de l’appareil,デバイスの移動,장치 움직임,裝置移動
event_description_fire,检测到火焰,Fire detected,Brand gedetecteerd,Feuer erkannt,Detetado incêndio,Llamas detectadas,Rilevato un incendio,Flamme détectée,火を検知しました,화재 감지됨,偵測到火焰
event_description_field_intrusion,检测到进入区域,Detection zone entered,Betreden van de zone gedetecteerd,Betreten des Bereichs erkannt,Entrou na zona de deteção,Entrada en la zona detectada,Si è entrati nella zona di rilevamento,Entrée dans la zone détectée,検知ゾーン侵入,감지 영역 진입,已進入偵測區域
event_description_human_face,检测到人脸,Face detected,Gezicht gedetecteerd,Gesicht erkannt,Detetou um rosto,Rostro detectado,Rilevamento del volto,Visage détecté,顔を検知しました,얼굴 감지됨,偵測到人臉
event_description_human,检测到人物,Person detected,Persoon waargenomen,Person erkannt,Detetada uma pessoa,Persona detectada,Rilevata una persona,Personne détectée,人物を検知しました,사람 감지됨,偵測到人物
event_description_field_exit,检测到离开区域,Area exit detected,Uitgang uit gebied gedetecteerd,Gebiet verlassen erkannt,Saída da área detetada,Salida del área detectada,Uscita dall'area rilevata,Sortie de la zone détectée,エリアからの退出を検出,영역 이탈 감지,檢測到離開區域
event_description_vehicle,检测到车辆,Vehicle detected,Voertuig gedetecteerd,Fahrzeug erkannt,Veículo detetado,Vehículo detectado,Veicolo rilevato,Véhicule détecté,車両を検知しました,차량 감지됨,偵測到車輛
event_description_package,检测到包裹,Package detected,Pakket gedetecteerd,Paket erkannt,Pacote detetado,Paquete detectado,Pacchetto rilevato,Colis détecté,パッケージを検知しました,택배 감지됨,偵測到包裹
event_description_pet,检测到宠物,Pet detected,Huisdier gedetecteerd,Haustier erkannt,Detetado animal de estimação,Mascota detectada,Rilevato un animale domestico,Animal de compagnie détecté,ペットを検知しました,반려동물 감지됨,偵測到寵物
event_description_human_motion_detect,检测到画面变化,Scene change detected,Scènewisseling gedetecteerd,Szeneänderung erkannt,Detetada mudança de cena,Cambio de escena detectado,Rilevato un cambio di scena,Changement de scène détecté,シーンの変化を検知しました,장면 전환 감지됨,偵測到畫面變化
ugreen_event_notify,%s（%s）检测到 %s 事件,%s (%s) detected %s event,Gebeurtenis gedetecteerd op %s (%s): %s,Ereignis erkannt auf %s (%s): %s,%s (%s) detectou %s evento,%s (%s) ha detectado %s evento,%s (%s) rilevato %s evento,%s (%s) a détecté %s événement,%s（%s）で%sイベントを検出しました,%s(%s)에서 %s 이벤트 감지됨,%s（%s）檢測到 %s 事件
ugreen_event_notify_multi_cameras,{{showname}}（{{model}}）镜头{{cameraindex}} 检测到 {{event}},{{showname}} ({{model}}) channel {{cameraindex}} detected {{event}},Lens {{cameraindex}} van {{showname}} ({{model}}) heeft een gebeurtenis gedetecteerd: {{event}},Objektiv {{cameraindex}} von {{showname}} ({{model}}) hat ein Ereignis erkannt: {{event}},{{showname}} ({{model}}) canal {{cameraindex}} detetou {{event}},La cámara {{cameraindex}} de {{showname}} ({{model}}) ha detectado {{event}},Canale {{cameraindex}} di {{showname}} ({{model}}) ha rilevato {{event}},La caméra {{cameraindex}} de {{showname}} ({{model}}) a détecté {{event}},{{showname}}（{{model}}）チャンネル{{cameraindex}} で {{event}} を検出しました,{{showname}} ({{model}}) 채널{{cameraindex}}에서 {{event}} 감지되었습니다,{{showname}}（{{model}}）鏡頭{{cameraindex}} 檢測到 {{event}}
device_status_online_notify_multi_cameras,{{showname}} （{{model}}）镜头{{cameraindex}} 已建立连接,{{showname}} ({{model}}) channel {{cameraindex}} connected,De lens {{cameraindex}} van {{showname}} ({{model}}) is verbonden.,Das Objektiv {{cameraindex}} von {{showname}} ({{model}}) wurde verbunden.,{{showname}} ({{model}}) canal {{cameraindex}} ligado,Cámara {{cameraindex}} de {{showname}} ({{model}}) conectada,{{showname}} ({{model}}) canale {{cameraindex}} collegato,Caméra {{cameraindex}} de {{showname}} ({{model}}) connectée,{{showname}} （{{model}}）チャンネル{{cameraindex}} が接続しました,{{showname}} ({{model}}) 패널{{cameraindex}} 연결이 완료되었습니다,{{showname}} （{{model}}）鏡頭{{cameraindex}} 已建立連線
device_status_online_notify_multi_cameras_no_model,{{showname}} 镜头{{cameraindex}} 已建立连接,{{showname}} channel {{cameraindex}} connected,De lens {{cameraindex}} van {{showname}} is verbonden.,Das Objektiv {{cameraindex}} von {{showname}} wurde verbunden.,{{showname}} canal {{cameraindex}} ligado,Cámara {{cameraindex}} de {{showname}} conectada,Canale {{showname}} {{cameraindex}} collegato,Caméra {{cameraindex}} de {{showname}} connectée,{{showname}} チャンネル{{cameraindex}} が接続しました。,{{showname}} 채널{{cameraindex}}연결이 완료되었습니다,{{showname}} 鏡頭{{cameraindex}} 已建立連線
