Key,zh-CN,en-US,de-DE,ja-JP,fr-FR,es-ES,pt-PT,nl-NL,it-IT,ko-KR,zh-TW
add_multiple_files_to_task_center,已添加“%s”等多个文件至【任务中心】,"Added multiple files including ""%s"" to Task Center",„%s“ und weitere Dateien wurden zum „Aufgabenzentrum“ hinzugefügt,「%s」など複数のファイルを「タスクセンター」に追加しました,"Plusieurs fichiers, y compris ""%s"", ont été ajoutés à ""Centre de tâches""","Añadidos múltiples archivos incluyendo ""%s"" al Centro de Tareas","Foram adicionados vários ficheiros, incluindo ""%s"" ao Centro de Tarefas","Meerdere bestanden inclusief ""%s"" toegevoegd aan Taak centrum","Sono stati aggiunti più file, inclusi ""%s"", al Centro attività",“%s” 등 여러 파일이 【작업 센터】에 추가되었습니다.,已添加“%s”等多個文件至【任務中心】
unable_to_compress,无法压缩“%s”,"Unable to compress ""%s""",„%s“ konnte nicht komprimiert werden,「%s」を圧縮できません,"Impossible de compresser ""%s""","No se puede comprimir ""%s""","Não é possível comprimir ""%s""","""%s"" kon niet worden gecomprimeerd","Impossibile comprimere ""%s""",“%s”을(를) 압축할 수 없습니다.,無法壓縮“%s”
unable_to_decompress,无法解压缩“%s”,"Unable to decompress ""%s""",„%s“ konnte nicht dekomprimiert werden,「%s」を解凍できません,"Impossible de décompresser ""%s""","No se puede descomprimir ""%s""","Não é possível descomprimir ""%s""","""%s"" kon niet worden gedecomprimeerd","Impossibile decomprimere ""%s"".",“%s”을(를) 압축 해제할 수 없습니다.,無法解壓縮“%s”
unable_to_decompress_multiple_files,无法解压缩“%s”等多个文件,"Unable to extract multiple files including ""%s""",„%s“ und weitere Dateien können nicht extrahiert werden,「%s」など複数のファイルを解凍できませんでした,"Impossible d'extraire plusieurs fichiers, y compris ""%s""","No se han podido extraer varios archivos incluyendo ""%s""","Não foi possível descompactar vários ficheiros, incluindo ""%s""","Kan meerdere bestanden inclusief ""%s"" niet uitpakken","Impossibile estrarre più file, inclusi ""%s""",“%s” 등 여러 파일을 압축 해제할 수 없습니다.,無法解壓縮“%s”等多個文件
unable_to_copy,无法复制“%s”,"Unable to copy ""%s""",„%s“ konnte nicht kopiert werden,「%s」をコピーできません,"Impossible de copier ""%s""","No se puede copiar ""%s""","Não foi possível copiar ""%s""","""%s"" kon niet worden gekopieerd","Impossibile copiare ""%s""",“%s”을(를) 복사할 수 없습니다.,無法複製“%s”
unable_to_copy_multiple_files,无法复制“%s”等多个文件,"Unable to copy multiple files including ""%s""",„%s“ und andere Dateien konnten nicht kopiert werden,「%s」などの複数のファイルをコピーできません,"Impossible de copier plusieurs fichiers dont ""%s""","No se pueden copiar varios archivos, incluido ""%s"".","Não foi possível copiar vários ficheiros, incluindo ""%s""","""%s"" en andere bestanden konden niet worden gekopieerd","Impossibile copiare più file tra cui ""%s"".",“%s” 등 여러 파일을 복사할 수 없습니다.,無法複製“%s”等多個文件
unable_to_move,无法移动“%s”,"Unable to move ""%s""",„%s“ konnte nicht verschoben werden,「%s」を移動できません,"Impossible de déplacer ""%s""","No se puede mover ""%s""","Não é possível mover ""%s""","""%s"" kon niet worden verplaatst","Impossibile spostare ""%s""",“%s”을(를) 이동할 수 없습니다.,無法移動“%s”
unable_to_move_multiple_files,无法移动“%s”等多个文件,"Unable to move multiple files including ""%s""",„%s“ und andere Dateien konnten nicht verschoben werden,「%s」などの複数のファイルを移動できません,"Impossible de déplacer plusieurs fichiers dont ""%s""","No se pueden mover varios archivos incluyendo ""%s"".","Não é possível mover vários ficheiros, incluindo ""%s""","""%s"" en andere bestanden konden niet worden verplaatst","Impossibile spostare più file tra cui ""%s"".",“%s” 등 여러 파일을 이동할 수 없습니다.,無法移動“%s”等多個文件
unable_to_delete,无法删除“%s”,"Unable to delete ""%s""",„%s“ konnte nicht gelöscht werden,「%s」を削除できません,"Impossible de supprimer ""%s""","No se puede borrar ""%s""","Não é possível excluir ""%s""","""%s"" kon niet worden verwijderd","Impossibile cancellare ""%s""",“%s”을(를) 삭제할 수 없습니다.,無法刪除“%s”
unable_to_delete_multiple_files,无法删除“%s”等多个文件,"Unable to delete multiple files including ""%s""",„%s“ und andere Dateien konnten nicht gelöscht werden,「%s」などの複数のファイルを削除できません,"Impossible de supprimer plusieurs fichiers dont ""%s""","No se pueden eliminar varios archivos, incluido ""%s"".","Não foi possível excluir vários ficheiros, incluindo ""%s""","""%s"" en andere bestanden konden niet worden verwijderd","Impossibile eliminare più file tra cui ""%s"".",“%s” 등 여러 파일을 삭제할 수 없습니다.,無法刪除“%s”等多個文件
deleted_successfully,“%s”删除成功,"Successfully deleted ""%s""",„%s“ erfolgreich gelöscht,「%s」の削除に成功しました,"""s"" supprimé avec succès","Eliminado con éxito ""%s""","Elimina com êxito ""%s""","""%s"" succesvol verwijderd","Eliminato riuscita ""%s""",“%s” 삭제 완료,“%s”刪除成功
multiple_files_deleted_successfully,“%s”等多个文件删除成功,"Delete multiple files including ""%s"" successfully",„%s“ und andere Dateien erfolgreich gelöscht,「%s」などの複数のファイルの削除に成功しました,"Supprimer plusieurs fichiers dont ""%s"" avec succès","Borrar varios archivos incluyendo ""%s"" con éxito","Elimina vários ficheiros incluindo ""%s"" com êxito","""%s"" en andere bestanden succesvol verwijderd","Eliminazione di più file inclusi ""%s"" avvenuta riuscita",“%s” 등 여러 파일 삭제 완료,“%s”等多個文件刪除成功
joined_mission_center,已加入【任务中心】,Added to Task Center,Zum „Aufgabenzentrum“ hinzugefügt,「タスク・センター」に追加,"Ajouté à ""Centre des tâches""","Añadido al ""Centro de Tareas""",Adicionado ao Centro de Tarefas,"Toegevoegd aan het ""Taakcentrum"".",Aggiunto al Centro Attività,【작업 센터】에 추가되었습니다.,已加入【任務中心】
users,普通用户,General User,Normaler Benutzer,一般ユーザー,Utilisateur général,Usuario general,Utilizador Geral,Algemene gebruiker,Utente Generale,일반 사용자,普通用戶
admin,管理员,Administrator,Administrator,管理者,Administrateur,Administrador,Administrador,Administrator,Amministratore,관리자,管理員
recycle_emptied_success,"""回收站""清空成功","Successfully cleared the ""Bin""",„Papierkorb“ erfolgreich geleert,ごみ箱を空にしました,"""Corbeille""  vidé avec succès.","Borrado con éxito de la ""Papelera""","Limpeza da ""Lixeira"" efetuada com sucesso","De ""Punch"" is succesvol gewist",Cestino svuotato con successo,휴지통 비우기 성공,"""回收站""清空成功"
bdmv_file,BDMV文件,BDMV file,BDMV-Dateien,BDMVファイル,Fichier BDMV,Archivo BDMV,Ficheiro BDMV,BDMV bestand,File BDMV,BDMV 파일,BDMV文件
auto_generated_doc_sync,自动生成的同步文件夹,Auto-generated sync folder,Automatisch erstellter Synchronisationsordner,自動生成された同期フォルダ,Dossier de sync auto-généré,Carpeta de sincronización autogenerada,Pasta de sincronização gerada automaticamente,Automatisch gegenereerde synchronisatie map,Cartella di sincronizzazione generata automaticamente.,자동 생성된 동기화 폴더,自動生成的同步文件夾
ray_play_file_failure,该文件格式为蓝光播放文件，删除后可能会导致文件读取失败。,This file format is for Blu-ray playback. Deleting it may cause file read errors.,"Dieses Dateiformat ist für die Blu-ray-Wiedergabe vorgesehen. Wenn Sie es löschen, kann es zu Lesefehlern kommen.",このファイル形式はブルーレイ再生用ファイルです。削除するとファイルの読み取りに失敗する可能性があります。,Ce format de fichier est destiné à la lecture Blu-ray. Sa suppression peut entraîner des erreurs de lecture de fichier,Este formato de archivo es para la reproducción de Blu-ray. Su eliminación puede provocar errores de lectura de archivos.,Este formato de ficheiro é para reprodução Blu-ray. Deletá-lo pode causar falhas na leitura do ficheiro.,"Deze bestands indeling is voor Blu-ray weergave. Als u deze verwijdert, kunnen er fouten optreden bij het lezen van bestanden.","Questo formato di file è destinato alla riproduzione Blu-ray. Eliminandolo, potresti riscontrare errori di lettura dei file.","이 파일은 블루레이 재생 파일 형식으로, 삭제 시 파일 읽기 오류가 발생할 수 있습니다.",該文件格式爲藍光播放文件，刪除後可能會導致文件讀取失敗。
file_del_sync_fail,此文件夹由同步任务自动生成，删除可能导致同步任务失败。,This folder was automatically generated by a synchronization task. Deleting it may cause the synchronization task to fail.,Dieser Ordner wurde automatisch durch eine Synchronisierungsaufgabe erstellt. Das Löschen kann zum Fehlschlagen der Synchronisierung führen.,このフォルダーは同期タスクによって自動生成されました。削除すると、同期タスクが失敗する可能性があります。,Ce dossier a été généré automatiquement par une tâche de synchronisation. Sa suppression pourrait entraîner l'échec de la tâche de synchronisation.,"Esta carpeta fue generada automáticamente por la tarea de sincronización, su eliminación puede hacer que la tarea de sincronización falle.",Esta pasta foi gerada automaticamente pela tarefa de sincronização. Sua exclusão pode causar falha na tarefa.,"Deze map is automatisch gegenereerd door een synchronisatie taak. Als u deze verwijdert, kan de synchronisatie taak mislukken.","Questa cartella è stata generata automaticamente dal task di sincronizzazione, la sua eliminazione potrebbe causare l'esito fallimento del task di sincronizzazione.","이 폴더는 동기화 작업에 의해 자동 생성되었으며, 삭제하면 동기화 작업이 실패할 수 있습니다.",此文件夾由同步任務自動生成，刪除可能導致同步任務失敗。
new_text1,新文本,New text,Neuer Text,新規テキスト,Nouveau texte,Nuevo texto,Novo texto,Nieuwe tekst,Nuovo testo,새 텍스트,新文字文件
