Key,zh-CN,en-US,de-DE,ja-JP,fr-FR,es-ES,pt-PT,nl-NL,it-IT,ko-KR,zh-TW
event_description_human,检测到人物,Person detected,Person erkannt,人物を検知しました,Personne détectée,Persona detectada,Detetada uma pessoa,Persoon waargenomen,Rilevata una persona,사람 감지됨,偵測到人物
event_description_field_exit,检测到离开区域,Area exit detected,Gebiet verlassen erkannt,エリアからの退出を検出,Sortie de la zone détectée,Salida del área detectada,Saída da área detetada,Uitgang uit gebied gedetecteerd,Uscita dall'area rilevata,영역 이탈 감지,檢測到離開區域
event_description_vehicle,检测到车辆,Vehicle detected,Fahrzeug erkannt,車両を検知しました,Véhicule détecté,Vehículo detectado,Veículo detetado,Voertuig gedetecteerd,Veicolo rilevato,차량 감지됨,偵測到車輛
event_description_package,检测到包裹,Package detected,Paket erkannt,パッケージを検知しました,Colis détecté,Paquete detectado,Pacote detetado,Pakket gedetecteerd,Pacchetto rilevato,택배 감지됨,偵測到包裹
event_description_pet,检测到宠物,Pet detected,Haustier erkannt,ペットを検知しました,Animal de compagnie détecté,Mascota detectada,Detetado animal de estimação,Huisdier gedetecteerd,Rilevato un animale domestico,반려동물 감지됨,偵測到寵物
event_description_human_motion_detect,检测到画面变化,Scene change detected,Szeneänderung erkannt,シーンの変化を検知しました,Changement de scène détecté,Cambio de escena detectado,Detetada mudança de cena,Scènewisseling gedetecteerd,Rilevato un cambio di scena,장면 전환 감지됨,偵測到畫面變化
device_status_online_notify_multi_cameras,{{showname}} （{{model}}）镜头{{cameraindex}} 已建立连接,{{showname}} ({{model}}) channel {{cameraindex}} connected,Das Objektiv {{cameraindex}} von {{showname}} ({{model}}) wurde verbunden.,{{showname}} （{{model}}）チャンネル{{cameraindex}} が接続しました,Caméra {{cameraindex}} de {{showname}} ({{model}}) connectée,Cámara {{cameraindex}} de {{showname}} ({{model}}) conectada,{{showname}} ({{model}}) canal {{cameraindex}} ligado,De lens {{cameraindex}} van {{showname}} ({{model}}) is verbonden.,{{showname}} ({{model}}) canale {{cameraindex}} collegato,{{showname}} ({{model}}) 패널{{cameraindex}} 연결이 완료되었습니다,{{showname}} （{{model}}）鏡頭{{cameraindex}} 已建立連線
device_status_online_notify_multi_cameras_no_model,{{showname}} 镜头{{cameraindex}} 已建立连接,{{showname}} channel {{cameraindex}} connected,Das Objektiv {{cameraindex}} von {{showname}} wurde verbunden.,{{showname}} チャンネル{{cameraindex}} が接続しました。,Caméra {{cameraindex}} de {{showname}} connectée,Cámara {{cameraindex}} de {{showname}} conectada,{{showname}} canal {{cameraindex}} ligado,De lens {{cameraindex}} van {{showname}} is verbonden.,Canale {{showname}} {{cameraindex}} collegato,{{showname}} 채널{{cameraindex}}연결이 완료되었습니다,{{showname}} 鏡頭{{cameraindex}} 已建立連線
device_status_offline_notify_multi_cameras,{{showname}} （{{model}}）镜头{{cameraindex}} 已断开连接,{{showname}} ({{model}}) channel {{cameraindex}} disconnected,Das Objektiv {{cameraindex}} von {{showname}} ({{model}}) wurde getrennt.,{{showname}}（{{model}}）チャンネル{{cameraindex}}の接続が切断されました,Caméra {{cameraindex}} de {{showname}} ({{model}}) déconnectée,Cámara {{cameraindex}} de {{showname}} ({{model}}) desconectada,{{showname}} ({{model}}) canal {{cameraindex}} desligado,De verbinding met de lens {{cameraindex}} van {{showname}} ({{model}}) is verbroken.,{{showname}} ({{model}}) canale {{cameraindex}} disconnesso,{{showname}} ({{model}}) 채널 {{cameraindex}} 연결이 끊어졌습니다,{{showname}} （{{model}}）鏡頭{{cameraindex}} 已斷開連線
device_status_offline_notify_multi_cameras_no_model,{{showname}} 镜头{{cameraindex}} 已断开连接,{{showname}} channel {{cameraindex}} disconnected,Das Objektiv {{cameraindex}} von {{showname}} wurde getrennt.,{{showname}}（{{model}}）チャンネル{{cameraindex}}の接続が切断されました,Caméra {{cameraindex}} de {{showname}} déconnectée,Cámara {{cameraindex}} de {{showname}} desconectada,{{showname}} canal {{cameraindex}} desligado,De verbinding met de lens {{cameraindex}} van {{showname}} is verbroken.,Canale {{showname}} {{cameraindex}} disconnesso,{{showname}} 채널{{cameraindex}}연결이 끊어졌습니다,{{showname}} 鏡頭{{cameraindex}} 已斷開連線
record_storage_failed_notify_multi_cameras,{{showname}} （{{model}}）镜头{{cameraindex}} 存储异常 ，请检查存储空间、存储路径和权限是否异常,"{{showname}} ({{model}}) channel {{cameraindex}} storage error. Please check whether the volume, storage path, and permissions are abnormal","Speicherfehler beim Objektiv {{cameraindex}} von {{showname}} ({{model}}). Bitte überprüfen Sie das Volume, den Speicherpfad und die Berechtigungen auf Anomalien.",{{showname}}（{{model}}）チャンネル{{cameraindex}}ストレージに異常が発生しました。ストレージ、保存パスおよび権限に問題がないか確認してください。,"La caméra {{cameraindex}} de {{showname}} ({{model}}) présente une anomalie de stockage. Veuillez vérifier si le volume, le chemin de stockage et les autorisations sont corrects.","Error de almacenamiento en la cámara {{cameraindex}} de {{showname}} ({{model}}). Por favor, compruebe si el volumen, la ruta de almacenamiento y los permisos presentan alguna anomalía","{{showname}} ({{model}}) canal {{cameraindex}} erro de armazenamento. Verifique se o volume, caminho de armazenamento e permissões estão anormais","De lens {{cameraindex}} van {{showname}} ({{model}}) heeft een opslagprobleem. Controleer of het volume, het opslagpad en de rechten correct zijn.","{{showname}} ({{model}}) canale {{cameraindex}} errore di archiviazione. Verificare che il volume, il percorso di archiviazione e le autorizzazioni non presentino anomalie","{{showname}} ({{model}})채널 {{cameraindex}} 스토리지 오류입니다. 볼륨, 스토리지 경로 및 권한이 비정상인지 확인해 주세요.",{{showname}} （{{model}}）鏡頭{{cameraindex}} 儲存異常 ，請檢查儲存空間、儲存路徑和權限是否異常
record_storage_failed_notify_no_model_multi_cameras,{{showname}} 镜头{{cameraindex}}存储异常 ，请检查存储空间、存储路径和权限是否异常,"{{showname}} channel {{cameraindex}} storage error. Please check whether the volume, storage path, and permissions are abnormal","Speicherfehler beim Objektiv {{cameraindex}} von {{showname}}. Bitte überprüfen Sie das Volume, den Speicherpfad und die Berechtigungen auf Anomalien.",{{showname}}チャンネル{{cameraindex}}ストレージに異常が発生しました。ストレージ、保存パスおよび権限に問題がないか確認してください。,"La caméra {{cameraindex}} de {{showname}} présente une anomalie de stockage. Veuillez vérifier si le volume, le chemin de stockage et les autorisations sont corrects.","Error de almacenamiento de la cámara {{cameraindex}} de {{showname}}. Por favor, compruebe si el volumen, la ruta de almacenamiento y los permisos presentan alguna anomalía","{{showname}} canal {{cameraindex}} erro de armazenamento. Verifique se o volume, caminho de armazenamento e permissões estão anormais","De lens {{cameraindex}} van {{showname}} heeft een opslagprobleem. Controleer of het volume, het opslagpad en de rechten correct zijn.","Errore di archiviazione del canale {{showname}} {{cameraindex}}. Verificare che il volume, il percorso di archiviazione e le autorizzazioni non presentino anomalie","{{showname}} 채널 {{cameraindex}} 스토리지 오류입니다. 볼륨, 스토리지 경로 및 권한이 비정상인지 확인해 주세요.",{{showname}} 鏡頭{{cameraindex}}儲存異常 ，請檢查儲存空間、儲存路徑和權限是否異常
device_status_online_notify_single_cameras,{{showname}} （{{model}}） 已建立连接,{{showname}} ({{model}}) connected,{{showname}} ({{model}}) wurde verbunden.,{{showname}} （{{model}}）が接続しました,{{showname}} ({{model}}) connecté,{{showname}} ({{model}}) conectado,{{showname}} ({{model}}) ligado,{{showname}} ({{model}}) is verbonden.,{{showname}} ({{model}}) connesso,{{showname}} ({{model}})연결이 완료되었습니다,{{showname}} （{{model}}） 已建立連線
device_status_online_notify_single_cameras_no_model,{{showname}}  已建立连接,{{showname}} connected,{{showname}} wurde verbunden.,{{showname}}が接続しました,{{showname}} connecté,{{showname}} conectado,{{showname}} ligado,{{showname}} is verbonden.,{{showname}} connesso,{{showname}}연결이 완료되었습니다,{{showname}}  已建立連線
device_status_offline_notify_single_cameras,{{showname}} （{{model}}） 已断开连接,{{showname}} ({{model}}) disconnected,{{showname}} ({{model}}) wurde getrennt.,{{showname}} （{{model}}）は接続が切断されました,{{showname}} ({{model}}) déconnecté,{{showname}} ({{model}}) desconectado,{{showname}} ({{model}}) desligado,De verbinding met {{showname}} ({{model}}) is verbroken.,{{showname}} ({{model}}) scollegato,{{showname}} ({{model}})연결이 끊어졌습니다,{{showname}} （{{model}}） 已斷開連線
device_status_offline_notify_single_cameras_no_model,{{showname}}  已断开连接,{{showname}} disconnected,{{showname}} wurde getrennt.,{{showname}}は接続が切断されました。,{{showname}} déconnecté,{{showname}} desconectado,{{showname}} desligado,De verbinding met {{showname}} is verbroken.,{{showname}} disconnesso,{{showname}}연결이 끊어졌습니다,{{showname}}  已斷開連線
record_storage_failed_notify_single_camera,{{showname}} （{{model}}） 存储异常 ，请检查存储空间、存储路径和权限是否异常,"{{showname}} ({{model}}) storage error. Please check whether the volume, storage path, and permissions are abnormal","Speicherfehler bei {{showname}} ({{model}}). Bitte überprüfen Sie das Volume, den Speicherpfad und die Berechtigungen auf Anomalien.",{{showname}}（{{model}}）はストレージに異常が発生しました。ストレージ、保存パスおよび権限に問題がないか確認してください。,"{{showname}} ({{model}}) présente une anomalie de stockage. Veuillez vérifier si le volume, le chemin de stockage et les autorisations sont corrects.","Error de almacenamiento de {{showname}} ({{model}}). Por favor, compruebe si el volumen, la ruta de almacenamiento y los permisos presentan alguna anomalía","{{showname}} ({{model}}) erro de armazenamento. Verifique se o volume, caminho de armazenamento e permissões estão anormais","{{showname}} ({{model}}) heeft een opslagprobleem. Controleer of het volume, het opslagpad en de rechten correct zijn.","Errore di archiviazione {{showname}} ({{model}}). Verificare che il volume, il percorso di archiviazione e le autorizzazioni non presentino anomalie","{{showname}} ({{model}}) 스토리지 오류입니다. 볼륨, 스토리지 경로 및 권한이 비정상인지 확인해 주세요.",{{showname}} （{{model}}） 儲存異常 ，請檢查儲存空間、儲存路徑和權限是否異常
record_storage_failed_notify_no_model_single_camera,{{showname}} 存储异常 ，请检查存储空间、存储路径和权限是否异常,"{{showname}} storage error. Please check whether the volume, storage path, and permissions are abnormal","Speicherfehler bei {{showname}}. Bitte überprüfen Sie das Volume, den Speicherpfad und die Berechtigungen auf Anomalien.",{{showname}}はストレージに異常が発生しました。ストレージ、保存パスおよび権限に問題がないか確認してください。,"{{showname}} présente une anomalie de stockage. Veuillez vérifier si le volume, le chemin de stockage et les autorisations sont corrects.","Error de almacenamiento de {{showname}}. Por favor, compruebe si el volumen, la ruta de almacenamiento y los permisos presentan alguna anomalía","{{showname}} erro de armazenamento. Verifique se o volume, caminho de armazenamento e permissões estão anormais","{{showname}} heeft een opslagprobleem. Controleer of het volume, het opslagpad en de rechten correct zijn.","Errore di archiviazione {{showname}}. Verificare che il volume, il percorso di archiviazione e le autorizzazioni non presentino anomalie","{{showname}} 스토리지 오류입니다. 볼륨, 스토리지 경로 및 권한이 비정상인지 확인해 주세요.",{{showname}} 儲存異常 ，請檢查儲存空間、儲存路徑和權限是否異常
ai_event_notify_with_sub,%s（%s）： %s - %s,%s (%s): %s - %s,%s (%s): %s - %s,%s（%s）： %s - %s,%s (%s): %s - %s,%s (%s): %s - %s,%s (%s): %s - %s,%s (%s): %s - %s,%s (%s): %s - %s,%s(%s): %s - %s,%s（%s）： %s - %s
ai_event_notify_multi_cameras_with_sub,{{showname}}（{{model}}）镜头{{cameraindex}}： {{event}} - {{sub}},{{showname}} ({{model}}) channel {{cameraindex}}: {{event}} - {{sub}},{{showname}} ({{model}}) Objektiv {{cameraindex}}: {{event}} - {{sub}},{{showname}}（{{model}}）チャンネル{{cameraindex}}： {{event}} - {{sub}},{{showname}} ({{model}}) caméra {{cameraindex}}: {{event}} - {{sub}},{{showname}} ({{model}}) cámara {{cameraindex}}: {{event}} - {{sub}},{{showname}} ({{model}}) canal {{cameraindex}}: {{event}} - {{sub}},{{showname}} ({{model}}) kanaal {{cameraindex}}: {{event}} - {{sub}},{{showname}} ({{model}}) canale {{cameraindex}}: {{event}} - {{sub}},{{showname}} ({{model}}) 채널{{cameraindex}}: {{event}} - {{sub}},{{showname}}（{{model}}）鏡頭{{cameraindex}}： {{event}} - {{sub}}
ai_event_notify_smart,%s（%s）： %s,%s (%s): %s,%s (%s): %s,%s（%s）： %s,%s (%s): %s,%s (%s): %s,%s (%s): %s,%s (%s): %s,%s (%s): %s,%s(%s): %s,%s（%s）： %s
ai_event_notify_multi_cameras_smart,{{showname}}（{{model}}）镜头{{cameraindex}}： {{smarttext}},{{showname}} ({{model}}) channel {{cameraindex}}: {{smarttext}},{{showname}} ({{model}}) Objektiv {{cameraindex}}: {{smarttext}},{{showname}}（{{model}}）チャンネル{{cameraindex}}： {{smarttext}},{{showname}} ({{model}}) caméra {{cameraindex}}: {{smarttext}},{{showname}} ({{model}}) cámara {{cameraindex}}: {{smarttext}},{{showname}} ({{model}}) canal {{cameraindex}}: {{smarttext}},{{showname}} ({{model}}) lens {{cameraindex}}: {{smarttext}},{{showname}} ({{model}}) canale {{cameraindex}}: {{smarttext}},{{showname}} ({{model}}) 채널{{cameraindex}}: {{smarttext}},{{showname}}（{{model}}）鏡頭{{cameraindex}}： {{smarttext}}
person_identity_known,认识的人,Familiar person,Bekannte Person,知人,Connu,Persona conocida,Pessoa conhecida,Bekend persoon,Persona nota,친구,認識的人
person_identity_stranger,陌生人,Stranger,Fremde Person,見知らぬ人,Inconnu,Desconocido/a,Estranho,Vreemdeling,Uno sconosciuto,낯선 사람,陌生人
sub_ug_topic_enter,目标进入画面,Target entered the frame,Objekt betritt das Bild,対象が映像内に進入しました,Entrée d’une cible dans le champ de vision,El objetivo entró en el encuadre,O alvo entrou no enquadramento,Doel kwam in beeld,Target è entrato nell'inquadratura,화면으로 들어가기,目標進入畫面中
sub_ug_topic_moving,目标在画面内移动,Target moving within frame,Objekt bewegt sich im Bild,対象が映像内を移動しています,Déplacement d’une cible dans le champ de vision,El objetivo se está moviendo dentro del encuadre,Alvo em movimento dentro do enquadramento,Doel beweegt binnen het beeld,Obiettivo in movimento all'interno dell'inquadratura,화면 내에서 이동하도록 설정합니다,目標在畫面內移動
sub_ug_topic_exit,目标离开画面,Target left the frame,Objekt verlässt das Bild,対象が映像内から退出しました,Sortie d’une cible du champ de vision,El objetivo ha salido del encuadre,O alvo saiu do enquadramento,Doel verlaat beeld,Il bersaglio è uscito dall'inquadratura,화면을 벗어나기 위해 목표를 설정합니다,目標離開畫面
