Key,zh-CN,en-US,de-DE,ja-JP,fr-FR,es-ES,pt-PT,nl-NL,it-IT,ko-KR,zh-TW
"[""err_code_10018"", ""Code: PermissionDenied"", ""\""PermissionDenied""]",连接断开,Connection lost,Verbindung verloren,接続が切断されました。,Connexion perdue,Conexión perdida,Conexão perdida,Verbinding verbroken,Connessione interrotta,연결이 끊어졌습니다.,連接斷開
"[""err_code_10019"", ""<Code>AccessDenied"", ""access user right failed"", ""invalid_grant"", ""invalid_access_token""]",鉴权失败,Authentication failed,Authentifizierung fehlgeschlagen,認証に失敗しました。,Échec de l'authentification,Error de autenticación,Falha na autenticação,Authenticatie mislukt,Autenticazione non riuscita,인증 실패,驗證失敗
"[""err_code_10020""]",移动数据库失败：有任务正在执行，无法移动数据库,Failed to move database: tasks are being performed,Verschieben der Datenbank fehlgeschlagen: Aufgaben werden derzeit ausgeführt,データベース移動に失敗しました：タスクが実行中のため移動できません。,échec du déplacement de la base de données : des taches sont en cours d'exécution,Error al mover la base de datos: se están realizando tareas,Falha ao mover base de dados: tarefas estão sendo realizadas,Database verplaatsen mislukt: taken worden uitgevoerd,"Spostamento del database non riuscito: un compito è in esecuzione, non è possibile spostare il database",데이터베이스 이동 실패: 작업이 실행 중이어서 데이터베이스를 이동할 수 없습니다.,移動數據庫失敗：有任務正在執行，無法移動數據庫
"[""err_code_10021"", ""i/o timeout"", ""read: connection timed out"", ""SocketTimeoutException"", ""timeout awaiting response headers"", ""RequestTimeTooSkewed""]",网络访问超时,Network access timed out,Zeitüberschreitung beim Netzwerkzugriff,ネットワークアクセスがタイムアウトしました。,Délai d'accès réseau dépassé,Se ha agotado el tiempo de acceso a la red,Tempo de acesso à rede expirado,Netwerk toegang time-out,Timeout di accesso alla rete,네트워크 액세스 시간 초과,網絡訪問超時
"[""err_code_10022""]",任务进行中,Task in progress,Aufgabe in Bearbeitung,タスクが進行中です,Tache en cours,Tarea en curso,Tarefa em curso,Taak in uitvoering,Compito in corso,작업이 진행 중입니다.,任務進行中
"[""err_code_10023""]",移动数据库失败：数据库正在移动中,Failed to move database: database is being moved,Verschieben der Datenbank fehlgeschlagen: Die Datenbank wird derzeit verschoben,データベース移動に失敗しました：データベースが移動中です。,échec du déplacement de la base de données : la base de données est en cours de déplacement,Error al mover la base de datos: la base de datos se está moviendo,Falha ao mover base de dados: base de dados está sendo movido,Database verplaatsen mislukt: database wordt verplaatst,Spostamento del database non riuscito: il database è in corso di spostamento,데이터베이스 이동 실패: 데이터베이스가 이동 중입니다.,移動數據庫失敗：數據庫正在移動中
"[""err_code_10024""]",移动数据库失败：存储空间剩余容量不足,Failed to move database: insufficient volume capacity,Verschieben der Datenbank fehlgeschlagen: Unzureichende Volume-Kapazität,データベース移動に失敗しました：ボリューム容量が不足しています。,échec du déplacement de la base de données : capacité du volume insuffisante,Error al mover la base de datos: capacidad de volumen insuficiente,Falha ao mover a base de dados: capacidade de volume insuficiente,Kan database niet verplaatsen: onvoldoende volume capaciteit,Spostamento del database non riuscito: spazio di archiviazione insufficiente,데이터베이스 이동 실패: 볼륨의 남은 용량이 부족합니다.,移動資料庫失敗：儲存空間剩餘容量不足
"[""err_code_10025""]",超过数量限制,Limit exceeded,Limit überschritten,制限数を超えました。,Limite dépassée,Límite excedido,Limite excedido,Limiet overschreden,Superato il limite di quantità,제한 수를 초과했습니다.,超過數量限制
"[""err_code_10026""]",NAS路径无写权限,No write permission for NAS path,Keine Schreibberechtigung für NAS-Pfad,NASパスに書き込み権限がありません。,Pas de permission d'écriture pour le chemin NAS,No hay permisos de escritura para la ruta NAS,Sem permissão de escrita no caminho NAS,Geen schrijf rechten voor NAS pad,Nessun permesso di scrittura nel percorso NAS,NAS 경로에 쓰기 권한이 없습니다.,NAS路徑無寫權限
"[""err_code_10027"",""malformed_path""]",非法字符,Illegal character,Unerlaubtes Zeichen,不正な文字が含まれています。,Caractère illégal,Carácter ilegal,Caracter inválido,Ongeldig teken,Caratteri non validi,잘못된 문자,非法字符
"[""err_code_10028""]",正在扫描差异文件，该过程无法中断,Scanning different files... Process cannot be interrupted.,Scannen verschiedener Dateien... Der Prozess kann nicht unterbrochen werden.,差分ファイルのスキャン中です。このプロセスは中断できません。,Analyse des fichiers différents en cours... Le processus ne peut pas être interrompu,Escaneando diferentes archivos... No se puede interrumpir el proceso.,Escaneando ficheiros diferentes... O processo não pode ser interrompido.,Scannen van verschillende bestanden... Proces kan niet worden onderbroken.,"In corso la scansione dei file differenziali, il processo non può essere interrotto","차이 파일을 스캔하는 중이며, 이 과정은 중단할 수 없습니다.",正在掃描差異文件，該過程無法中斷
"[""err_code_10029""]",本地路径无读权限,No read permission for local path,Keine Leseberechtigung für lokalen Pfad,ローカルパスに読み取り権限がありません。,Pas de permission de lecture pour le chemin local,No hay permiso de lectura para la ruta local,Sem permissão de leitura para o caminho local,Geen lees machtiging voor lokaal pad,Nessun permesso di lettura per il percorso locale,로컬 경로에 읽기 권한이 없습니다.,本地路徑無讀權限
"[""err_code_10030"", ""connect_failed"", ""access_token \u6821\u9a8c\u5931\u8d25"", ""access_token \u65e0\u6548"", ""access_token \u683c\u5f0f\u9519\u8bef"", ""\u7b7e\u540d\u6821\u9a8c\u5931\u8d25""]",连接失败,Connection failed,Verbindung fehlgeschlagen,接続に失敗しました。,Connexion échouée,Conexión fallida,Falha na conexão,Verbinding mislukt,Connessione non riuscita,연결 실패,連接失敗
"[""err_code_10031""]",连接已被删除,Connection deleted,Verbindung gelöscht,接続が削除されました。,Connexion supprimée,Conexión eliminada,Conexão excluída,Verbinding verwijderd,Connessione eliminata,연결이 삭제되었습니다.,連接已被刪除
"[""err_code_10034""]",参数UK错误,Parameter UK error,Parameter UK-Fehler,パラメーターUKエラー,Erreur de paramètre UK,Error de parámetro UK,Erro no parametro UK,Parameter UK fout,Errore del parametro UK,UK 매개변수 오류,參數UK錯誤
"[""err_code_10035""]",设备绑定失败,Device binding failed,Gerätebindung fehlgeschlagen,デバイスのバインドに失敗しました。,échec de l'association de l'appareil,Fallo en la vinculación del dispositivo,Falha ao vincular o dispositivo,Apparaat binding mislukt,Binding del dispositivo non riuscito,장치 연동 실패,設備綁定失敗
"[""err_code_10036""]",网盘未支持,Netdisk not supported,Netdisk wird nicht unterstützt,ネットディスクがサポートされていません。,Le netdisk n'est pas pris en charge,Netdisk no soportado,Netdisk não é suportado,Netdisk niet ondersteund,Disco online non supportato,클라우드 드라이브가 지원되지 않습니다.,網盤未支持
"[""err_code_10037""]",获取用户信息失败,Failed to get user info,Benutzerinfo konnte nicht abgerufen werden,ユーザー情報の取得に失敗しました。,échec de l'obtention des informations utilisateur,Error al obtener información de usuario,Falha ao obter informações do utilizador,Kan gebruikers info niet ophalen,Impossibile ottenere le informazioni sull'utente,사용자 정보 가져오기 실패,獲取使用者資訊失敗
"[""err_code_10038""]",获取文件列表失败,Failed to get file list,Abrufen der Dateiliste fehlgeschlagen,ファイルリストの取得に失敗しました。,échec de l'obtention de la liste des fichiers,Error al obtener la lista de archivos,Falha ao obter lista de ficheiros,Kan bestands lijst niet ophalen,Impossibile ottenere l'elenco dei file,파일 목록 가져오기 실패,無法取得檔案清單
"[""err_code_10039""]",换取accesstoken失败,Failed to exchange accesstoken,Austausch des Zugriffstokens fehlgeschlagen,accesstokenの取得に失敗しました。,échec de l'échange du token d'accès,Error al intercambiar accesstoken,Falha ao trocar token de acesso,Kan toegangs token niet uitwisselen,Scambio del token di accesso non riuscito,accesstoken 교환 실패,換取accesstoken失敗
"[""err_code_10040""]",需要百度网盘Nas会员权限,Baidu Netdisk NAS membership permission required,Baidu Netdisk NAS-Mitgliedschaftserlaubnis erforderlich,BaiduネットディスクのNAS会員権限が必要です。,Abonnement NAS Baidu Netdisk requis,Se requiere permiso para ser miembro de Baidu Netdisk NAS,Permissão de associação ao NAS do Baidu Netdisk necessária,Baidu Netdisk NAS lidmaatschaps machtiging vereist,è necessario il diritto di accesso al disco online Baidu NAS,Baidu Netdisk Nas 회원 권한이 필요합니다.,需要百度網盤Nas會員權限
"[""err_code_10041""]",开始执行时间不能小于当前时间,The start time cannot be earlier than the current time.,Die Startzeit darf nicht früher als die aktuelle Zeit sein.,開始時刻は現在時刻より前に設定できません。,L'heure de début ne peut pas être antérieure à l'heure actuelle.,La hora de inicio no puede ser anterior a la hora actual.,A hora de início não pode ser anterior à hora atual.,De starttijd mag niet eerder zijn dan de huidige tijd.,L'ora di avvio non può essere precedente all'ora attuale.,시작 시간은 현재 시간보다 이전일 수 없습니다.,開始執行時間不能小於目前時間
"[""err_code_12007""]",获取百度网盘订单信息失败,Failed to get Baidu Netdisk order information,Baidu Netdisk-Bestellinformationen konnten nicht abgerufen werden,Baiduネットディスクの注文情報の取得に失敗しました。,échec de l'obtention des informations de commande de Baidu Netdisk,Error al obtener la información de pedido de Baidu Netdisk,Falha ao obter informações de pedido do Baidu Netdisk,Kan Baidu Netdisk order informatie niet ophalen,Impossibile ottenere le informazioni sull'ordine del disco online Baidu,Baidu Netdisk 주문 정보 가져오기 실패,獲取百度網盤訂單信息失敗
"[""err_code_12008""]",获取百度网盘文件列表失败,Failed to get Baidu Netdisk file list,Baidu Netdisk Dateiliste konnte nicht abgerufen werden,Baiduネットディスクのファイルリストの取得に失敗しました。,échec de l'obtention de la liste des fichiers de Baidu Netdisk,Error al obtener la lista de archivos de Baidu Netdisk,Falha ao obter lista de fihceiros do Baidu Netdisk,Kan Baidu Netdisk bestands lijst niet ophalen,Impossibile ottenere l'elenco dei file del disco online Baidu,Baidu Netdisk 파일 목록 가져오기 실패,無法取得百度網盤檔案清單
"[""err_code_12009""]",获取百度网盘授权码失败,Failed to get Baidu Netdisk authorization code,Baidu NetDisk Autorisierungscode konnte nicht erhalten werden,Baiduネットディスクの認証コードの取得に失敗しました。,échec de l'obtention du code d'autorisation de Baidu Netdisk,Error al obtener el código de autorización de Baidu Netdisk,Falha ao obter código de autorização do Baidu Netdisk,Kan Baidu Netdisk autorisatie code niet ophalen,Impossibile ottenere il codice di autorizzazione del disco online Baidu,Baidu Netdisk 인증 코드 가져오기 실패,獲取百度網盤授權碼失敗
"[""err_code_12011""]",获取设备文件列表失败,Failed to get device file list,Liste der Gerätedateien konnte nicht aufgerufen werden,デバイスファイルリストの取得に失敗しました。,échec de l'obtention de la liste des fichiers de l'appareil,Error al obtener la lista de archivos del dispositivo,Falha ao obter lista de ficheiros do dispositivo,Kan apparaat bestands lijst niet ophalen,Impossibile ottenere l'elenco dei file del dispositivo,장치 파일 목록 가져오기 실패,無法取得裝置檔案清單
"[""err_code_12012""]",设备文件上传到网盘失败,Failed to upload device file to Netdisk,Hochladen der Gerätedatei auf Netdisk fehlgeschlagen,デバイスファイルのネットディスクへのアップロードに失敗しました。,échec du téléchargement des fichiers de l'appareil vers Netdisk,Error al subir el archivo del dispositivo en Netdisk,Falha ao enviar ficheiro do dispositivo para o Netdisk,Kan apparaat bestand niet uploaden naar Netdisk,Impossibile caricare il file del dispositivo sul disco online,장치 파일을 Netdisk에 업로드 실패,設備文件上傳到網盤失敗
"[""err_code_12018""]",获取百度网盘用户信息失败,Failed to get Baidu Netdisk user info,Baidu Netdisk-Benutzerdaten konnten nicht abgerufen werden,Baiduネットディスクのユーザー情報の取得に失敗しました。,échec de l'obtention des informations de l'utilisateur Baidu Netdisk,Error al obtener la información de usuario de Baidu Netdisk,Falha ao obter informações de utilizador do Baidu Netdisk,Kan Baidu Netdisk gebruikers info niet ophalen,Impossibile ottenere le informazioni sull'utente del disco online Baidu,Baidu Netdisk 사용자 정보 가져오기 실패,獲取百度網盤使用者資訊失敗
"[""err_code_14020""]",获取 OneDrive token 失败,Failed to get OneDrive token,OneDrive-Token konnte nicht abgerufen werden,OneDrive tokenの取得に失敗しました,échec de l'obtention du token OneDrive,Error al obtener el OneDrive token,Falha ao obter token do OneDrive,Kan OneDrive token niet ophalen,Impossibile ottenere il token di OneDrive,OneDrive 토큰 가져오기 실패,獲取 OneDrive token 失敗
"[""err_code_14021""]",OneDrive 查询用户信息失败,Failed to get user info from OneDrive.,Benutzerinformationen von OneDrive konnten nicht abgerufen werden.,OneDriveのユーザー情報の取得に失敗しました。,échec de l'obtention des informations utilisateur OneDrive,Error al obtener la información de usuario de OneDrive.,Falha ao obter informações de utilizador do OneDrive,Kan gebruikers info van OneDrive niet ophalen.,Impossibile ottenere le informazioni sull'utente di OneDrive,OneDrive 사용자 정보 조회 실패,OneDrive 查詢使用者資訊失敗
"[""err_code_14024""]",获取 OneDrive 文件列表失败,Failed to get OneDrive file list.,OneDrive Dateiliste konnte nicht abgerufen werden.,OneDriveのファイルリストの取得に失敗しました。,échec de l'obtention de la liste des fichiers OneDrive,Error al obtener la lista de archivos de OneDrive.,Falha ao obter lista de ficheiros do OneDrive,Kan OneDrive bestands lijst niet ophalen.,Impossibile ottenere l'elenco dei file di OneDrive,OneDrive 파일 목록 가져오기 실패,獲取 OneDrive檔案清單失敗
"[""err_code_14025""]",OneDrive账户不存在,OneDrive account not found.,OneDrive-Konto nicht gefunden.,OneDriveアカウントが存在しません。,Compte OneDrive introuvable,No se ha encontrado la cuenta de OneDrive.,Conta do OneDrive não encontrada,OneDrive account niet gevonden.,Account di OneDrive non esistente,OneDrive 계정이 존재하지 않습니다.,OneDrive帳號不存在
"[""err_code_26001""]",订阅对象不存在,Subscription object not found.,Abo-Objekt nicht gefunden.,サブスクリプションオブジェクトが存在しません。,L'objet d'abonnement n'existe pas,Objeto de suscripción no encontrado.,Objeto de assinatura não encontrado,Abonnements object niet gevonden.,Oggetto di sottoscrizione non esistente,구독 객체가 존재하지 않습니다.,訂閱對象不存在
"[""err_code_26002""]",网盘路径已存在,Netdisk path already exists,Netdisk-Pfad existiert bereits,ネットディスクパスが既に存在します。,Le chemin du netdisk existe déjà,La ruta de Netdisk ya existe,Caminho do Netdisk já existe,Netdisk pad bestaat al,Percorso del disco online esistente,클라우드 드라이브 경로가 이미 존재합니다.,網盤路徑已存在
"[""err_code_27001"",""err_code_27002""]",连接失败，请检查连接信息,Failed to connect. Please check connection information,Verbindung fehlgeschlagen. Bitte überprüfen Sie die Informationen der Verbindung.,接続に失敗しました。接続情報をご確認ください。,Échec de la connexion. Veuillez vérifier les informations de connexion.,"Error al conectar. Por favor, verifique la información de conexión",Falha na ligação. Verifique as informações de ligação,Verbinding mislukt. Controleer de verbindingsgegevens,Impossibile connettersi. Verificare le informazioni di connessione,연결 실패 연결 정보를 확인해 주세요,連線失敗，請檢查連線資訊
"[""err_code_27003""]",NAS系统时间异常,NAS system time error,Fehler bei der Systemzeit des NAS,NASシステム時刻エラー,Heure système du NAS anormale,Error de hora del sistema NAS,Erro na hora do sistema NAS,Fout in de systeemtijd van het NAS-systeem,Errore nell'ora di sistema del NAS,NAS 시스템 시간 오류,NAS 系統時間異常
"[""err_code_27004""]",连接失败，访问权限不足,Failed to connect. Insufficient access permissions,Verbindung fehlgeschlagen. Unzureichende Zugriffsberechtigungen,接続に失敗しました。アクセス権限が不足しています。,Échec de la connexion. Accès insuffisant.,Error al conectar. Permisos de acceso insuficientes,Falha na ligação. Permissões de acesso insuficientes,Verbinding mislukt. Onvoldoende toegangsrechten,Impossibile connettersi. Autorizzazioni di accesso insufficienti,연결 실패 접근 권한이 부족합니다,連線失敗，存取權限不足
"[""err_code_27005""]",无法查询bucket，请检查连接信息,Failed to query bucket. Please check connection information,Die Abfrage des Buckets ist fehlgeschlagen. Bitte überprüfen Sie die Informationen der Verbindung,bucketが見つかりませんでした。接続情報をご確認ください。,Impossible d’interroger le bucket. Veuillez vérifier les informations de connexion.,"Error al consultar el bucket. Por favor, verifique la información de conexión",Falha ao consultar o bucket. Verifique as informações de ligação,Het opvragen van de bucket is mislukt. Controleer de verbindingsgegevens,Impossibile eseguire la query sul bucket. Verificare le informazioni di connessione,버킷을 조회할 수 없습니다 연결 정보를 확인해 주세요,無法查詢bucket，請檢查連線資訊
"[""err_code_27006""]",权限不足,Insufficient permissions,Unzureichende Berechtigungen,権限が不足です,Autorisations insuffisantes,Permisos insuficientes,Permissões insuficientes,Onvoldoende machtigingen,Autorizzazioni insufficienti,권한이 부족합니다,權限不足
"[""err_code_27010""]",桶名称不符合规范,The bucket name does not comply with naming conventions,Der Name des Buckets entspricht nicht den Namenskonventionen.,バケット名が命名規則に準拠していません,Le nom du bucket ne respecte pas les règles de nommage.,El nombre del bucket no cumple con las convenciones de nomenclatura,O nome do bucket não está em conformidade com as convenções de nomenclatura,De naam van de bucket voldoet niet aan de naamgevingsregels,Il nome del bucket non rispetta le convenzioni di denominazione,버킷 이름이 규칙에 맞지 않습니다,桶名稱不符合命名規範
"[""err_code_27011""]",名称已占用,Name already exists,Der Name ist bereits vergeben,名前は既に存在します,Nom déjà existant,El nombre ya existe,O nome já existe,Die naam bestaat al,Il nome esiste già,이름이 이미 사용 중입니다,名稱已占用
"[""err_code_27012""]",该国家/地区未启用,Not enabled in this country/region,In diesem Land/dieser Region nicht verfügbar,この国/地域は有効になっていません。,Ce pays / cette région n’est pas activé(e).,No habilitado en este país/región,Não está disponível neste país/região,Niet beschikbaar in dit land/deze regio,Non disponibile in questo Paese/in questa regione,해당 국가 또는 지역이 활성화되지 않았습니다,該國家/地區未啟用
"[""err_code_27020""]",无权限访问此资源,No permission to access this resource,Keine Berechtigung für den Zugriff auf diese Ressource,このリソースへのアクセス権限がありません。,Accès non autorisé à cette ressource,Sin permiso para acceder a este recurso,Não tem permissão para aceder a este recurso,Geen toestemming om toegang te krijgen tot deze bron,Non è consentito l'accesso a questa risorsa,이 리소스에 접근할 권한이 없습니다,無權限存取此資源
"[""err_code_27021""]",暂不支持下载此文件,Download not supported,Download nicht unterstützt,このファイルがダウンロードできません。,Le téléchargement de ce fichier n’est pas encore pris en charge.,Descarga no compatible,O download não é suportado,Downloaden wordt niet ondersteund,Il download non è supportato,현재 이 파일 다운로드는 지원되지 않습니다,暫不支援下載此檔案
"[""err_code_27022""]",路径长度超过限制,Path length exceeds the limit,Pfad zu lang,パスの長さが上限を超えています,La longueur du chemin dépasse la limite autorisée.,La longitud de la ruta supera el límite,O comprimento do caminho excede o limite,De padlengte overschrijdt de limiet,La lunghezza del percorso supera il limite,경로 길이가 제한을 초과합니다,路徑長度超過限制
"[""net_disk_name_baidu"", ""net_disk_dir_baidu""]",百度网盘,Baidu Netdisk,Baidu Netdisk,百度クラウドディスク,Baidu Netdisk,Baidu Netdisk,Baidu Netdisk,Baidu Netdisk,Baidu Netdisk,바이두 클라우드,百度網盤
"[""net_disk_name_onedrive""]",Microsoft OneDrive,Microsoft OneDrive,Microsoft OneDrive,Microsoft OneDrive,Microsoft OneDrive,Microsoft OneDrive,Microsoft OneDrive,Microsoft OneDrive,Microsoft OneDrive,Microsoft OneDrive,Microsoft OneDrive
"[""net_disk_dir_onedrive""]",OneDrive,OneDrive,OneDrive,OneDrive,OneDrive,OneDrive,OneDrive,OneDrive,OneDrive,OneDrive,OneDrive
"[""net_disk_name_googledrive"", ""net_disk_dir_googledrive""]",Google Drive,Google Drive,Google Drive,Google Drive,Google Drive,Google Drive,Google Drive,Google Drive,Google Drive,Google Drive,Google Drive
"[""net_disk_dir_googledrive""]",GoogleDrive,GoogleDrive,GoogleDrive,GoogleDrive,GoogleDrive,GoogleDrive,GoogleDrive,GoogleDrive,GoogleDrive,GoogleDrive,GoogleDrive
"[""net_disk_name_dropbox"", ""net_disk_dir_dropbox""]",Dropbox,Dropbox,Dropbox,Dropbox,Dropbox,Dropbox,Dropbox,Dropbox,Dropbox,Dropbox,Dropbox
"[""net_disk_name_aliyun"", ""net_disk_dir_aliyun""]",阿里云盘,Aliyun Drive,Aliyun Drive,アリババクラウドディスク,Aliyun Drive,Aliyun Drive,Aliyun Drive,Aliyun Drive,Aliyun Drive,알리 클라우드,阿里雲盤
"[""net_disk_dir_aliyun""]",阿里云盘,AliyunDrive,AliyunDrive,アリババクラウドディスク,AliyunDrive,AliyunDrive,AliyunDrive,AliyunDrive,AliyunDrive,알리 클라우드,阿里雲盤
"[""net_disk_name_open115"", ""net_disk_dir_open115""]",115网盘,115 Life,115 Life,115 Life,115 Life,115 Life,115 Life,115 Life,115 Life,115 Life,115 Life
"[""net_disk_name_quark"", ""net_disk_dir_quark""]",夸克网盘,Quark Drive,Quark Drive,Quark Drive,Quark Drive,Quark Drive,Quark Drive,Quark Drive,Quark Drive,Quark Drive,Quark Drive
"[""net_disk_name_cloud_ctcc"", ""net_disk_dir_cloud_ctcc""]",天翼云盘,189 Cloud,189 Cloud,189 Cloud,189 Cloud,189 Cloud,189 Cloud,189 Cloud,189 Cloud,189 Cloud,189 Cloud
"[""net_disk_name_aws"", ""net_disk_dir_aws""]",Amazon S3,Amazon S3,Amazon S3,Amazon S3,Amazon S3,Amazon S3,Amazon S3,Amazon S3,Amazon S3,Amazon S3,Amazon S3
"[""upload_task""]",上传任务,Upload task,Upload-Aufgabe,アップロードタスク,Tâche de téléversement,Tarea de subida,Carregar tarefa,Taak uploaden,Carica attività,업로드 작업,上傳任務
"[""download_task""]",下载任务,Download task,Download-Aufgabe,ダウンロードタスク,Tâche de téléchargement,Tarea de descarga,Tarefa de download,Downloadtaak,Scarica il compito,다운로드 작업,下載任務
"[""bad_request"", ""Bad Request"", ""InvalidArgument""]",请求错误,Request error,Fehler bei der Anfrage,リクエストエラー,Erreur de demande,Error de solicitud,Erro de pedido,Fout in het onderzoek,Errore di richiesta,요청 오류,請求錯誤
"[""exceed_fail"", ""to many fail list""]",失败文件数超出限制,The number of failed files exceeded the limit,Die fehlgeschlagenen Dateien hat den Grenzwert überschritten,失敗ファイル数が制限を超えています,Le nombre de fichiers échoués a dépassé la limite,El número de archivos fallidos ha superado el límite,O número de ficheiros falhados excedeu o limite,De mislukte bestanden hebben de limietwaarde overschreden,Il numero di file non riusciti ha superato il limite,실패한 파일 수가 제한을 초과했습니다.,失敗文件數超出限制
"[""object_not_found"", ""object not found"", ""no such file or directory""]",文件不存在,File not found,Datei nicht gefunden,ファイルが存在しません,Fichier non trouvé,Archivo no encontrado,Ficheiro não encontrado,Bestand niet gevonden,File non trovato,파일이 존재하지 않습니다.,文件不存在
"[""dir_not_found"", ""directory not found""]",文件夹不存在,Folder not found,Ordner nicht gefunden,フォルダーが存在しません,Dossier non trouvé,Carpeta no encontrada,Pasta não encontrada,Map niet gevonden,Cartella non trovata,폴더가 존재하지 않습니다.,資料夾不存在
"[""baidu"", ""Baidu""]",百度任务失败,Baidu Netdisk task failed,Baidu Netdisk-Aufgabe fehlgeschlagen,Baiduタスクに失敗しました,Échec de la tâche Baidu Netdisk,Fallo en la tarea Baidu Netdisk,Falha na tarefa do Baidu Netdisk,Baidu Netdisk taak mislukt,Attività di Baidu Netdisk non riuscita,바이두 작업 실패,百度任務失敗
