Key,zh-CN,en-US,nl-NL,de-DE,pt-PT,es-ES,it-IT,fr-FR,ja-JP,ko-KR,zh-TW
disk_is_full,存储空间可用容量不足,Insufficient volume capacity,Onvoldoende volume capaciteit,Unzureichende Volume-Kapazität,Capacidade de volume insuficiente,Capacidad de volumen insuficiente,Capacità del volume insufficiente,Capacité de volume insuffisante,ボリュームの容量が不足しています。,볼륨 용량 부족,存儲空間可用容量不足
fs_readonly,操作失败，文件系统只读,"Operation failed, file system is read-only.","Bewerking mislukt, bestands systeem is alleen-lezen.","Vorgang fehlgeschlagen, Dateisystem hat nur Lesezugriff.",Operação falhou. O sistema de ficheiros está em modo somente leitura.,"Operación fallida, el sistema de archivos es de solo lectura.","Operazione fallita, il file system è di sola lettura.",L'opération a échoué. Le système de fichiers est en lecture seule.,操作に失敗しました。ファイルシステムは読み取り専用です。,"작업 실패, 파일 시스템이 읽기 전용입니다.",操作失敗，文件系統只讀
exist_subvolume,无法操作，该文件夹包含子卷（可能是旧系统用户文件夹），需先删除子卷,Operation failed. The folder contains a subvolume (possibly a legacy system user folder). Please delete the subvolume first,Bewerking mislukt. De map bevat een subvolume (mogelijk een oude systeem gebruikers map). Verwijder eerst het subvolume.,Vorgang fehlgeschlagen. Der Ordner enthält ein Subvolume (möglicherweise ein veralteter Systembenutzerordner). Bitte löschen Sie zuerst das Subvolume.,"Operação falhou. A pasta contém um subvolume (possivelmente uma pasta de usuário do sistema legado). Por favor, exclua o subvolume primeiro.","Operación fallida. La carpeta contiene un subvolumen (posiblemente una carpeta de usuario de sistema antigua). Por favor, elimine el subvolumen primero.",Operazione non riuscita. La cartella contiene un subvolume (possibilmente una cartella utente di sistema legacy). Elimina prima il subvolume,L'opération a échoué. Le dossier contient un sous-volume (probablement un ancien dossier utilisateur du système). Veuillez d'abord supprimer le sous-volume.,操作できません。このフォルダにはサブボリューム（旧システムユーザーフォルダの可能性）が含まれています。サブボリュームを削除してから再試行してください。,"작업 불가, 해당 폴더에 하위 볼륨(구 시스템 사용자 폴더일 수 있음)이 포함되어 있어 먼저 하위 볼륨을 삭제해야 합니다.",無法操作，該文件夾包含子卷（可能是舊系統用戶文件夾），需先刪除子卷
exist_same_name_snapshot,存在同名快照，请稍后重试,A snapshot with the same name already exists. Please try again later,Er bestaat al een moment opname met dezelfde naam. Probeer het later opnieuw.,Ein Snapshot mit demselben Namen existiert bereits. Bitte versuchen Sie es später erneut,Já existe um instantâneo com o mesmo nome. Tente novamente mais tarde.,Existe una Snapshot con el mismo nombre. Por favor intente de nuevo más tarde.,Esiste già un'istantanea conlostesso nome. Riprova più tardi,Un instantané portant le même nom existe déjà. Veuillez réessayer plus tard.,同名のスナップショットが存在します。しばらくしてから再試行してください。,동일한 이름의 스냅샷이 존재합니다. 잠시 후 다시 시도해 주세요.,存在同名快照，請稍後重試
restore_pre_hook,操作频繁，请稍后再试,Too frequent operations. Please try again later,Te frequente bewerkingen. Probeer het later opnieuw.,Zu häufige Vorgänge. Bitte versuchen Sie es später noch einmal,Operações muito frequentes. Tente novamente mais tarde.,La operación es demasiado frecuente. Por favor intente de nuevo más tarde.,Operazioni troppo frequenti. Riprova più tardi,"Opération trop fréquente, veuillez réessayer plus tard.",頻繁に操作しているため、後で再試行してください,작업이 너무 잦습니다. 잠시 후 다시 시도해주세요,操作頻繁，請稍後再試
explorer_inaccessible_no_permission,无法浏览快照文件，请修改权限后再重试,Unable to view snapshot files. Please modify the permissions and try again,Kan het snapshot-bestand niet bekijken. Pas de machtigingen aan en probeer opnieuw.,Sie können die Snapshot-Datei nicht anzeigen. Bitte ändern Sie die Berechtigungen und versuchen Sie es erneut.,Não é possível navegar pelos ficheiros de snapshot. Altere as permissões e tente novamente,No se puede ver las instantáneas. Modifique los permisos y vuelva a intentarlo,Impossibile visualizzare i file snapshot. Modifica le autorizzazioni e riprova,Impossible de parcourir les fichiers instantanés. Veuillez modifier les autorisations puis réessayer.,スナップショットファイルを閲覧できません。アクセス権を変更した後、再試行してください。,스냅샷 파일을 탐색할 수 없습니다. 권한을 변경한 후 다시 시도해 주십시오.,無法瀏覽快照文件，請修改權限後再重試
explorer_inaccessible_not_allowed,"无法浏览快照文件，当前用户已开启""对管理员隐藏我的文件""","Unable to view snapshot files. The user has enabled the feature of ""Hide my files from administrator""",Kan het snapshot-bestand niet bekijken. De huidige gebruiker heeft “Verberg mijn bestanden voor beheerders” ingeschakeld.,Sie können die Snapshot-Datei nicht anzeigen. Der aktuelle Benutzer hat „Meine persönlichen Dateien für andere Benutzer ausblenden“ aktiviert.,"Não é possível navegar pelos ficheiros de snapshot. O utilizador atual ativou ""Ocultar os meus ficheiros do administrador""","No se puede ver las instantáneas. El usuario ha activado la función ""Ocultar mis archivos al administrador""","Impossibile visualizzare i file snapshot. L'utente ha attivato la funzione ""Nascondi i miei file all'amministratore"".","Impossible de parcourir les fichiers instantanés. L'utilisateur actuel a activé l'option ""Masquer mes fichiers à l'administrateur"".",スナップショットファイルを閲覧できません。現在のユーザーは「管理者に対して個人ファイルを非表示にする」設定を有効にしています。,스냅샷 파일을 탐색할 수 없습니다. 현재 사용자는 '관리자에게 내 파일 숨기기' 옵션이 활성화되어 있습니다.,"無法瀏覽快照文件，當前用戶已開啓""對管理員隱藏我的文件"""
explorer_inaccessible,无法浏览快照文件,Unable to view snapshot files.,Kan het snapshot-bestand niet bekijken.,Sie können die Snapshot-Datei nicht anzeigen.,Não é possível navegar pelos ficheiros de snapshot,No se puede ver las instantáneas.,Impossibile visualizzare i file snapshot.,Impossible de parcourir les fichiers instantanés.,スナップショットファイルを閲覧できません。,스냅샷 파일을 탐색할 수 없습니다.,無法瀏覽快照文件
unzip,解压缩,Decompress,decomprimeren,Dekomprimieren,Descomprimir,Descomprimir,Decomprimi,Décompresser,解凍,압축 해제,解壓縮
decompression_failed,解压缩失败,Decompress failed,Decompressie mislukt,Dekomprimieren fehlgeschlagen,Falha na descompressão,Descompresión fallida,Decompressione fallita,Échec de la décompression,解凍失敗,압축 해제 실패,解壓縮失敗
explorer_shared_not_allowed,无法访问此共享文件夹，请修改权限后再重试,Unable to access this shared folder. Please modify the permissions and try again,Kan deze gedeelde map niet openen.  Pas de machtigingen aan en probeer opnieuw.,Auf diesen freigegebenen Ordner kann nicht zugegriffen werden. Bitte ändern Sie die Berechtigungen und versuchen Sie es erneut.,Não é possível acessar esta pasta compartilhada. Modifique as permissões e tente novamente,"No se puede acceder a esta carpeta compartida. Por favor, modifica los permisos e inténtalo de nuevo",Impossibile accedere a questa cartella condivisa. Modifica i permessi e riprova,Impossible d'accéder à ce dossier partagé. Veuillez modifier les autorisations puis réessayer.,この共有フォルダにアクセスできません。権限を変更してから再試行してください。,이 공유 폴더에 액세스할 수 없습니다. 권한을 수정한 후 다시 시도하세요.,無法存取此共用資料夾，請修改權限後再試一次
copy,复制,Copy,Kopie,Kopieren,Cópia,Copia,Copia,Copier,复制,복사,複製
add_to_task_center,已添加“%s”至【任务中心】,"Added ""%s""  to Task Center","""%s"" toegevoegd aan ""Taakcentrum"".",„%s“ zum „Aufgabenzentrum“ hinzugefügt,"Adicionado ""%s"" ao Centro de Tarefas","Añadido ""%s"" al Centro de Tareas","Aggiunto ""%s"" al Centro attività","Ajout de ""%s"" à ""Centre des tâches""",「タスク・センター」に「%s」を追加しました。,“%s”이(가) 【작업 센터】에 추가되었습니다.,已添加“%s”至【任務中心】
unable_to_copy,无法复制“%s”,"Unable to copy ""%s""","""%s"" kon niet worden gekopieerd",„%s“ konnte nicht kopiert werden,"Não foi possível copiar ""%s""","No se puede copiar ""%s""","Impossibile copiare ""%s""","Impossible de copier ""%s""",「%s」をコピーできません。,“%s”을(를) 복사할 수 없습니다.,無法複製“%s”
joined_mission_center,已加入【任务中心】,Added to Task Center,"Toegevoegd aan het ""Taakcentrum"".",Zum „Aufgabenzentrum“ hinzugefügt,Adicionado ao Centro de Tarefas,"Añadido al ""Centro de Tareas""",Aggiunto al Centro Attività,"Ajouté à ""Centre des tâches""",「タスク・センター」に追加。,【작업 센터】에 추가되었습니다.,已加入【任務中心】
