TagKey,LangCode,Category,Alias
设备移动,zh-CN,general,"[设备移动,镜头移位,位移,shebeiyidong]"
设备移动,en-US,general,[Device moved]
设备移动,nl-NL,general,[Apparaat verplaatst]
设备移动,de-DE,general,[Gerät bewegt]
设备移动,pt-PT,general,[Dispositivo movido]
设备移动,es-ES,general,[Dispositivo movido]
设备移动,it-IT,general,[Dispositivo spostato]
设备移动,fr-FR,general,[Appareil déplacé]
设备移动,ja-JP,general,[デバイス移動]
设备移动,ko-KR,general,[장치 이동]
设备移动,zh-TW,general,"[裝置移動,shebeiyidong]"
陌生人,zh-CN,general,"[陌生人,生人,陌路人,moshengren]"
陌生人,en-US,general,[Stranger]
陌生人,nl-NL,general,[Vreemdeling]
陌生人,de-DE,general,[Fremde Person]
陌生人,pt-PT,general,[Estranho]
陌生人,es-ES,general,[Desconocido/a]
陌生人,it-IT,general,[Uno sconosciuto]
陌生人,fr-FR,general,[Inconnu]
陌生人,ja-JP,general,[見知らぬ人]
陌生人,ko-KR,general,[낯선 사람]
陌生人,zh-TW,general,"[陌生人,moshengren]"
快递员,zh-CN,person,"[快递员,快递小哥,派送员,kuaidiyuan]"
快递员,pinyin,person,"[kuaidiyuan,kuaidixiaoge,paisongyuan]"
快递员,en-US,person,[Courier]
快递员,nl-NL,person,[Koerier]
快递员,de-DE,person,[Zusteller:in]
快递员,pt-PT,person,[Serviço de entregas]
快递员,es-ES,person,[Mensajero/a]
快递员,it-IT,person,[Corriere]
快递员,fr-FR,person,[Livreur de colis]
快递员,ja-JP,person,[中国の配達]
快递员,ko-KR,person,[배달원]
快递员,zh-TW,person,"[快遞員,kuaidiyuan]"
外卖员,zh-CN,person,"[外卖员,骑手,送餐员,waimaiyuan]"
外卖员,pinyin,person,"[waimaiyuan,qishou,songcanyuan]"
外卖员,en-US,person,[Delivery person]
外卖员,nl-NL,person,[Bezorger]
外卖员,de-DE,person,[Zusteller:in]
外卖员,pt-PT,person,[Entregador]
外卖员,es-ES,person,[Repartidor/a]
外卖员,it-IT,person,[Corriere]
外卖员,fr-FR,person,[Livreur de repas]
外卖员,ja-JP,person,[中国の配達員]
外卖员,ko-KR,person,[배달원]
外卖员,zh-TW,person,"[外賣員,waimaiyuan]"
宠物,zh-CN,smart_category,"[宠物,爱宠,萌宠,毛孩子,猫,小猫,喵,mao,xiaomao]"
宠物,en-US,smart_category,"[Pet,Household pet,Family pet]"
宠物,pinyin,smart_category,"[chongwu,mao,xiaomao,miao]"
车牌,zh-CN,general,"[车牌,牌照,车号牌,号牌]"
车牌,en-US,general,"[License plate,Plate,Registration plate,Number plate]"
非机动车,zh-CN,smart_category,"[非机动车,自行车,电瓶车,电动车,脚踏车,单车,feijidongche]"
非机动车,en-US,smart_category,[Non-motor vehicle]
非机动车,nl-NL,smart_category,[Niet-motorvoertuig]
非机动车,de-DE,smart_category,[Nicht-Kraftfahrzeug]
非机动车,pt-PT,smart_category,[Veículo não motorizado]
非机动车,es-ES,smart_category,[Vehículo no motorizado]
非机动车,it-IT,smart_category,[Veicolo non a motore]
非机动车,fr-FR,smart_category,[Véhicule non motorisé]
非机动车,ja-JP,smart_category,[非自動車（自転車等）]
非机动车,ko-KR,smart_category,[비자동차]
非机动车,zh-TW,smart_category,"[非機動車,feijidongche]"
异常行为,zh-CN,general,"[异常行为,行为异常,可疑行为,yichangxingwei]"
异常行为,en-US,general,[Abnormal behavior]
异常行为,nl-NL,general,[Abnormaal gedrag]
异常行为,de-DE,general,[Ungewöhnliches Verhalten]
异常行为,pt-PT,general,[Comportamento anormal]
异常行为,es-ES,general,[Comportamiento anómalo]
异常行为,it-IT,general,[Comportamento anomalo]
异常行为,fr-FR,general,[Comportement anormal]
异常行为,ja-JP,general,[異常な行動]
异常行为,ko-KR,general,[비정상적인 행동]
异常行为,zh-TW,general,"[異常行為,yichangxingwei]"
