Code,zh-CN,en-US,de-DE,ja-JP,fr-FR,nl-NL,pt-PT,es-ES,it-IT,ko-KR,zh-TW
403002,无权访问该资源,No permissions to access this resource,Keine Berechtigung zum Zugriff auf diese Ressource,このリソースにアクセスする権限がありません,Vous n’êtes pas autorisé à accéder à cette ressource.,Geen toegang tot deze bron,Não é permitido acessar este recurso,Sin permisos para acceder a este recurso,Non disponi dei permessi necessari per accedere a questa risorsa,이 리소스에 접근 권한이 없습니다,無權存取該資源
403003,系统默认笔记本不允许删除,Deleting the system default notebook is not allowed,Das Standard-Notizbuch kann nicht gelöscht werden,システムデフォルトのノートは削除できません,La suppression du bloc-notes par défaut du système n’est pas autorisée.,Standaard notitieblok kan niet worden verwijderd,Não é permitido excluir o notebook padrão do sistema,No se permite eliminar el bloc de notas predeterminado del sistema,Non è consentito eliminare il blocco note predefinito del sistema,시스템 기본 노트북은 삭제할 수 없습니다,系統預設筆記本不允許刪除
403004,系统默认分区不允许删除,The system default section cannot be deleted,Der Standardabschnitt kann nicht gelöscht werden,システムデフォルトのセクションは削除できません,La section par défaut du système ne peut pas être supprimée,De standaard sectie kan niet worden verwijderd,A secção predefinida do sistema não pode ser eliminada,La sección predeterminada del sistema no se puede eliminar,La sezione predefinita del sistema non può essere eliminata,시스템 기본 섹션은 삭제할 수 없습니다,系統預設分割區不允許刪除
404001,笔记本不存在,The notebook does not exist,Das Notizbuch existiert nicht,そのノートブックは存在しません,Le bloc-notes n’existe pas,Het notitieblok bestaat niet,O caderno não existe,El bloc de notas no existe,Il file non esiste,해당 노트가 존재하지 않습니다,筆記本不存在
404002,分区不存在,The section does not exist,Der Abschnitt existiert nicht,そのセクションは存在しません,La section n’existe pas,Deze sectie bestaat niet,A secção não existe,La sección no existe,La sezione non esiste,해당 섹션이 없습니다,分割區不存在
404003,页面不存在,The page does not exist,Die Seite existiert nicht,ページは存在しません,Cette page n'existe pas,De pagina bestaat niet,A página não existe,La página no existe,La pagina non esiste,페이지를 찾을 수 없습니다,頁面不存在
404006,偏好关联资源不存在,Resource linked with preference does not exist,Die mit der Präferenz verknüpfte Ressource existiert nicht,設定に関連付けられたリソースが存在しません,Les ressources associées aux préférences n’existent pas.,Voorkeursgerelateerde bron bestaat niet,O recurso associado à preferência não existe,El recurso vinculado con la preferencia no existe,La risorsa associata alla preferenza non esiste,환경설정에 연결된 리소스가 없습니다,偏好關聯資源不存在
404020,导出/导入任务不存在,The export/import task does not exist,Die Export-/Import-Aufgabe existiert nicht,エクスポート/インポートタスクが存在しません,La tâche d’exportation/importation n’existe pas,De export-/importtaak bestaat niet,A tarefa de exportação/importação não existe,La tarea de exportación/importación no existe,L'operazione di esportazione/importazione non esiste,수출/수입 작업이 존재하지 않습니다,匯出/匯入任務不存在
404021,导出目的地不存在,The export destination does not exist,Der Zielordner für den Export existiert nicht,エクスポート先が存在しません,La destination d’exportation n’existe pas,De exportbestemming bestaat niet,O destino de exportação não existe,El destino de exportación no existe,La destinazione di esportazione non esiste,수출 목적지가 존재하지 않습니다,匯出目的地不存在
409002,目标已不存在，请刷新后重试,Target no longer exists. Please refresh and try again,Das Ziel ist nicht mehr verfügbar. Bitte aktualisieren Sie die Seite und versuchen Sie es erneut.,対象が存在しません。ページを更新して再度お試しください。,"L’objectif n’existe plus, veuillez actualiser et réessayer.",Het doel bestaat niet meer. Vernieuw de pagina en probeer het opnieuw,O objeto não existe mais. Atualize e tente novamente,El destino ya no existe. Actualiza la página e inténtalo de nuevo,L'obiettivo non esiste più. Aggiorna la pagina e riprova,대상이 더 이상 존재하지 않습니다. 새로고침 후 다시 시도해 주세요.,目標已不存在，請重新整理後重試
409003,内容已更新，请刷新后重试,Content updated. Please refresh and try again,Der Inhalt wurde aktualisiert. Bitte aktualisieren Sie die Seite und versuchen Sie es erneut.,コンテンツが更新されました。更新して再度お試しください。,"Le contenu a été mis à jour, veuillez actualiser et réessayer.",De inhoud is geupdate. Vernieuw de pagina en probeer het opnieuw,Conteúdo atualizado. Atualize e tente novamente,Contenido actualizado. Actualiza la página e inténtalo de nuevo,Contenuto aggiornato. Aggiorna la pagina e riprova,콘텐츠가 업데이트되었습니다. 새로고침 후 다시 시도해 주세요.,內容已更新，請重新整理後重試
409004,所选笔记不存在，请重试,The selected note does not exist. Please try again,Die ausgewählte Notiz ist nicht vorhanden. Bitte versuchen Sie es erneut,選択したノートは存在しません。もう一度お試しください。,La note sélectionnée n’existe pas. Veuillez réessayer.,De geselecteerde notitie bestaat niet. Probeer het nog eens,"A nota selecionada não existe. Por favor, tente novamente.",La nota seleccionada no existe. Inténtalo de nuevo,La nota selezionata non esiste. Riprova,선택한 노트가 존재하지 않습니다. 다시 시도해 주세요.,所選的筆記不存在，請重新嘗試
409005,所选笔记本不存在，请重试,The selected notebook does not exist. Please try again,Das ausgewählte Notizbuch ist nicht vorhanden. Bitte versuchen Sie es erneut,選択されたノートブックは存在しません。もう一度お試しください。,Le bloc-notes sélectionné n’existe pas. Veuillez réessayer.,Het geselecteerde notitieblok bestaat niet. Probeer het nog eens,"O caderno selecionado não existe. Por favor, tente novamente.",El bloc de notas seleccionado no existe. Inténtalo de nuevo,Il quaderno selezionato non esiste. Riprova,선택한 노트북이 존재하지 않습니다. 다시 시도해 주세요.,所選的筆記不存在，請重新嘗試
409006,该笔记本已在其他设备删除,This notebook has been deleted on another device,Dieses Notizbuch wurde auf einem anderen Gerät gelöscht.,このノートブックは他のデバイスで削除されました,Ce bloc-notes a été supprimé sur un autre appareil,Dit notitieblok is op een ander apparaat verwijderd,Este caderno foi excluído em outro dispositivo,Este bloc de notas se ha eliminado en otro dispositivo,Questo taccuino è stato eliminato su un altro dispositivo,해당 노트북은 다른 장치에서 이미 삭제되었습니다,該筆記本已在其他裝置刪除
409007,该分区已在其他设备删除,This section has been deleted on another device,Dieser Abschnitt wurde auf einem anderen Gerät gelöscht.,このセクションは他のデバイスで削除されました,Cette section a été supprimée sur un autre appareil,Deze sectie is op een ander apparaat verwijderd,Esta seção foi excluída em outro dispositivo,Esta sección se ha eliminado en otro dispositivo,Questa sezione è stata eliminata su un altro dispositivo,해당 섹션은 다른 장치에서 이미 삭제되었습니다,該分割區已在其他裝置刪除
409008,该笔记已在其他设备删除,This note has been deleted on another device,Diese Notiz wurde auf einem anderen Gerät gelöscht.,このノートは他のデバイスで削除されました,Cette note a été supprimée sur un autre appareil,Deze notitie is op een ander apparaat verwijderd,Esta nota foi excluída em outro dispositivo,Esta nota se ha eliminado en otro dispositivo,Questo appunto è stato eliminato su un altro dispositivo,해당 노트는 다른 장치에서 이미 삭제되었습니다,該筆記已在其他裝置刪除
409014,所选笔记不存在，请重试,The selected notes do not exist. Please try again,Die ausgewählten Notizen sind nicht vorhanden. Bitte versuchen Sie es erneut,選択したノートは存在しません。もう一度お試しください。,La note sélectionnée n’existe pas. Veuillez réessayer.,De geselecteerde notities bestaan niet. Probeer het nog eens,"As notas selecionadas não existem. Por favor, tente novamente.",Las notas seleccionadas no existen. Inténtalo de nuevo,Le note selezionate non esistono. Riprova,선택한 노트가 존재하지 않습니다. 다시 시도해 주세요.,所選的筆記不存在，請重新嘗試
409015,所选笔记本不存在，请重试,The selected notebooks do not exist. Please try again,Die ausgewählten Notizbücher sind nicht vorhanden. Bitte versuchen Sie es erneut,選択されたノートブックは存在しません。もう一度お試しください。,Le bloc-notes sélectionné n’existe pas. Veuillez réessayer.,De geselecteerde notitieblokken bestaan niet. Probeer het nog eens,"Os cadernos selecionados não existem. Por favor, tente novamente.",Los blocs de notas seleccionados no existen. Inténtalo de nuevo,I quaderni selezionati non esistono. Riprova,선택한 노트북이 존재하지 않습니다. 다시 시도해 주세요.,所選的筆記不存在，請重新嘗試
409020,任务已被处理,The task has been processed,Die Aufgabe wurde verarbeitet,タスクは処理済みです,La tâche a été traitée,De taak is verwerkt,A tarefa foi processada,La tarea se ha procesado,L'operazione è stata elaborata,작업이 처리되었습니다,任務已被處理
413001,请求体过大,Request body is too large,Der Request-Body ist zu groß,リクエストボディが大きすぎます,Corps de la requête trop volumineux,De inhoud van het verzoek is te groot,O corpo da requisição é muito grande,El cuerpo de la solicitud es demasiado grande,Il corpo della richiesta è troppo grande,요청 본문 크기가 너무 큽니다,請求體過大
422001,笔记本数量已达上限,Notebook limit reached,Die maximale Anzahl an Notizbüchern wurde erreicht,ノートブックの上限に達しました,Nombre maximal de blocs-notes atteint,Het maximale aantal notitieblokken is bereikt,Limite de notebooks atingido,Límite de bloc de notas alcanzado,È stato raggiunto il numero massimo di notebook,노트북 수가 한도에 도달했습니다,筆記本數量已達上限
422002,分区数量已达上限,Section limit reached,Die maximale Anzahl an Abschnitten wurde erreicht,セクションの制限に達しました,Limite de section atteinte,Het maximale aantal secties is bereikt,Limite de seções atingido,Límite de sección alcanzado,Limite della sezione raggiunto,섹션 수가 한도에 도달했습니다,分割區數量已達上限
422003,页面数量已达上限,Page limit reached,Die maximale Seitenanzahl wurde erreicht,ページ制限に達しました,Limite de pages atteinte,Het maximale aantal pagina’s is bereikt,Limite de páginas atingido,Límite de páginas alcanzado,Limite di pagine raggiunto,페이지 수가 한도에 도달했습니다,頁面數量已達上限
422004,偏好批量写入数量已达上限,Preferred batch write limit reached,Das Limit für das Batch-Schreiben der Präferenzen wurde erreicht,バッチ書き込みの上限に達しました。,Le nombre d’écritures par lot des préférences a atteint la limite maximale.,Het maximaal aantal batchschrijfbewerkingen voor voorkeuren is bereikt,Limite de gravação em lote atingido,Límite de escritura por lotes alcanzado,Raggiunto il limite di scrittura in batch predefinito,환경설정 일괄 쓰기 수가 한도에 도달했습니다,偏好批次寫入數量已達上限
500001,服务内部错误,Internal service error,Interner Dienstfehler,内部サービスエラー,Erreur interne du service,Interne servicefout,Erro interno do serviço,Error interno del servicio,Errore interno del servizio,서비스 내부 오류가 발생했습니다,服務內部錯誤
500002,PDF 导出服务不可用,PDF export service is unavailable,Der PDF-Exportdienst ist nicht verfügbar,PDFエクスポートサービスは利用できません,Le service d’export PDF est indisponible.,De PDF-exportfunctie is niet beschikbaar,O serviço de exportação de PDF está indisponível,El servicio de exportación de PDF no está disponible,Il servizio di esportazione in PDF non è disponibile,PDF 내보내기 서비스를 사용할 수 없습니다,PDF 匯出服務不可用
500003,PDF 导出失败,Failed to export PDF,Der Export als PDF ist fehlgeschlagen,PDFのエクスポートに失敗しました,Échec de l’exportation PDF,Het exporteren van de PDF is mislukt,Falha ao exportar o PDF,No se ha podido exportar el PDF,Impossibile esportare il PDF,PDF 내보내기에 실패했습니다,PDF 匯出失敗
500022,笔记本包含缺失图片，无法导出,Failed to export. The notebook contains missing images,Export fehlgeschlagen. Das Notizbuch enthält fehlende Bilder,エクスポートに失敗しました。ノートブックに欠落している画像が含まれています。,Échec de l’exportation. Il manque des images dans le bloc-notes.,"Notitieblok bevat ontbrekende afbeeldingen, export mislukt",Falha na exportação. O notebook contém imagens ausentes,Error al exportar. El bloc de notas contiene imágenes faltantes,Esportazione non riuscita. Nel blocco note mancano alcune immagini,내보내기에 실패했습니다. 노트북에 누락된 이미지가 포함되어 있습니다.,筆記本包含缺失圖片，無法匯出
500030,HEIC 图片转换服务不可用,HEIC image conversion service is unavailable,Der HEIC-Bildkonvertierungsdienst ist nicht verfügbar,HEIC画像の変換サービスが利用できません,Le service de conversion des images HEIC est indisponible.,De HEIC-beeldconversieservice is niet beschikbaar,O serviço de conversão de imagens HEIC está indisponível,El servicio de conversión de imágenes HEIC no está disponible,Il servizio di conversione delle immagini HEIC non è disponibile,HEIC 이미지 변환 서비스를 사용할 수 없습니다,HEIC 圖片轉換服務不可用
500031,HEIC 图片转换失败,Failed to convert HEIC image,Die Konvertierung des HEIC-Bildes ist fehlgeschlagen,HEIC画像の変換に失敗しました,Échec de la conversion des images HEIC,HEIC-afbeeldingsconversie mislukt,Falha ao converter a imagem HEIC,No se ha podido convertir la imagen HEIC,Impossibile convertire l'immagine HEIC,HEIC 이미지 변환에 실패했습니다,HEIC 圖片轉換失敗
507001,NAS 存储空间不足，请清理后重试,Insufficient volume capacity. Please free up space and try again,Unzureichende Volume-Kapazität. Bitte geben Sie Speicherplatz frei und versuchen Sie es anschließend erneut.,NASのストレージ容量が不足しています。空き容量を確保してから再試行してください。,Capacité de volume insuffisante. Veuillez libérer de l’espace et réessayer.,Onvoldoende volumecapaciteit. Maak ruimte vrij en probeer het opnieuw,Capacidade do volume insuficiente. Libere espaço e tente novamente,"Capacidad de volumen insuficiente. Por favor, libera espacio e inténtalo de nuevo",Capacità di memoria insufficiente. Liberare spazio e riprovare,NAS 저장 공간이 부족합니다. 정리 후 다시 시도하세요.,NAS 儲存空間不足，請清理後重試
key_copy_suffix,副本,Duplicate,Kopie,コピー,Copie,Kopie,Duplicado,Copia,Duplicato,복사본,副本
key_untitled,无标题,Untitled,Kein Titel,無題,Sans titre,Zonder titel,Sem título,Sin título,Senza titolo,제목 없음,無標題
key_notebook,%s的笔记本,%s's notebook,Notizbuch von %s,%sのノートブック,Bloc-notes de %s,Notitieblok van %s,O caderno de %s,El bloc de notas de %s,Il taccuino di %s,%s의 노트,%s 的筆記本
key_default_section,默认分区,Default section,Standardabschnitt,デフォルトのセクション,Section par défaut,Standaard sectie,Secção Padrão,Sección predeterminada,Sezione predefinita,기본 섹션,預設分區
key_import,导入,Import,Importieren,インポート,Importer,Importeren,Importar,Importar,Importa,가져오기,匯入
