Code,zh-CN,en-US,de-DE,ja-JP,fr-FR,es-ES,pt-PT,nl-NL,it-IT,ko-KR,zh-TW
2026,批量删除镜像失败,Failed to batch delete images,Stapellöschen des Images fehlgeschlagen,イメージの一括削除に失敗しました,Échec de la suppression par lots des images,Fallo al borrar imágenes por lotes,Falha ao excluir imagens em lote,Impossibile eliminare le immagini in batch,Eliminazione batch delle immagini fallita,이미지 일괄 삭제 실패,批量刪除鏡像失敗
2027,网络删除失败,Failed to delete network,Netzwerk-Löschung fehlgeschlagen,ネットワーク削除失敗,Échec de la suppression du réseau,Fallo al borrar la red,Falha ao excluir rede,Errore nell'eliminazione della rete,Eliminazione della rete fallita,네트워크 삭제 실패,網絡刪除失敗
2028,网络创建失败,Failed to create network,Netzwerkerstellung fehlgeschlagen,ネットワーク作成失敗,Échec de la création du réseau,Fallo al crear la red,Falha ao criar rede,Impossibile creare la rete,Creazione della rete fallita,네트워크 생성 실패,網絡創建失敗
2029,网络编辑失败,Failed to edit network,Netzwerkbearbeitung fehlgeschlagen,ネットワーク編集失敗,Échec de la modification du réseau,Fallo al editar la red,Falha ao editar rede,Impossibile modificare la rete,Modifica della rete fallita,네트워크 편집 실패,網絡編輯失敗
2030,切换镜像源失败,Failed to switch image source,Umschaltung der Imagequelle fehlgeschlagen,ミラーソース切り替え失敗,Échec du changement de source d'image,Fallo al cambiar el origen de la imagen,Falha ao alterar fonte de imagem,Impossibile cambiare l'origine dell'immagine,Cambio della sorgente immagine fallito,이미지 소스 전환 실패,切換鏡像源失敗
2031,容器创建失败,Failed to create container,Container-Erstellung fehlgeschlagen,コンテナ作成失敗,Échec de la création du conteneur,Fallo al crear contenedor,Falha ao criar contenter,Impossibile creare il contenitore,Creazione del container fallita,컨테이너 생성 실패,容器創建失敗
2032,容器删除失败,Failed to delete container,Container-Löschung fehlgeschlagen,コンテナ削除失敗,Échec de la suppression du conteneur,Fallo al borrar el contenedor,Falha ao excluir contenter,Impossibile eliminare il contenitore,Eliminazione del container fallita,컨테이너 삭제 실패,容器刪除失敗
2033,容器批处理操作失败,Failed to batch operate container,Container-Stapelverarbeitung fehlgeschlagen,コンテナバッチ操作失敗,Échec de la mise en lot du conteneur,Fallo al operar el contenedor por lotes,Falha ao operar contenter em lote,Impossibile gestire il contenitore in batch,Operazione batch sul container fallita,컨테이너 일괄 처리 작업 실패,容器批處理操作失敗
2034,容器克隆失败,Failed to copy container,Container-Klonen fehlgeschlagen,コンテナクローニング失敗,Échec de la copie du conteneur,Fallo al copiar el contenedor,Falha ao copiar contenter,Impossibile copiare il contenitore,Copia del container fallita,컨테이너 복제 실패,容器克隆失敗
2035,服务器尚在启动中...,Starting server,Der Server startet noch...,サーバーはまだ起動しています...,Démarrage du serveur,El servidor está iniciando,Iniciando servidor,Avvio del server,Avvio del server in corso,서버가 아직 시작 중입니다...,服務器尚在啓動中...
2036,仅能输入2-64个字符,2-64 characters allowed,2-64 Zeichen,入力できる文字数は2～64文字です,2-64 caractères autorisés,2-64 caracteres permitidos,De 2 a 64 caracteres permitidos,2-64 caratteri consentiti,Sono consentiti da 2 a 64 caratteri,2~64자만 입력 가능,僅能輸入2-64個字符
2037,支持字符种类：大小写字母、数字、_、.、-；首字母只能是字母或数字,"Supported character types: upper and lower case letters, numbers, _, . , -; initial character can only be letters or numbers","Unterstützte Zeichentypen: Groß- und Kleinbuchstaben, Zahlen, _, . , -; das erste Zeichen kann nur ein Buchstabe oder eine Zahl sein",入力可能な文字の種類：大文字、小文字、数字、_、.、-；頭文字はアルファベットまたは数字のみです,"Types de caractères pris en charge : lettres majuscules et minuscules, chiffres, _, . , - ; le caractère initial ne peut être qu'une lettre ou un chiffre","Tipos de caracteres admitidos: letras mayúsculas y minúsculas, números, _, . , -; el carácter inicial sólo puede ser una letra o un número","Tipos de caracteres suportados: letras maiúsculas e minúsculas, números, _, ., -; o primeiro caractere só pode ser uma letra ou número","Tipi di caratteri supportati: lettere maiuscole e minuscole, numeri, _, . , -; il carattere iniziale può essere costituito solo da lettere o numeri.","Tipi di caratteri supportati: lettere maiuscole e minuscole, numeri, _ , . , -; il carattere iniziale può essere solo lettere o numeri","지원 문자 종류: 대소문자, 숫자, _, ., -; 첫 글자는 문자 또는 숫자여야 합니다",支持字符種類：大小寫字母、數字、_、.、-；首字母只能是字母或數字
2038,镜像不存在或无访问权限,Image does not exist or has no access permissions,Das Image existiert nicht oder hat keine Zugriffsberechtigungen,ミラーが存在しないか、アクセス権がありません。,L'image n'existe pas ou n'a pas d'autorisation d'accès,La imagen no existe o no tiene permisos de acceso,Imagem não existe ou não possui permissões de acesso,L'immagine non esiste o non ha le autorizzazioni di accesso,L'immagine non esiste o non ha permessi di accesso,이미지가 존재하지 않거나 접근 권한이 없습니다,鏡像不存在或無訪問權限
2039,URL格式不匹配,URL format mismatch,URL-Format stimmt nicht überein,URLフォーマットが一致しない,Inadéquation du format de l'URL,Formato de URL incorrecto,Formato de URL incompatível,Disadattamento del formato dell'URL,Formato URL non corrispondente,URL 형식이 맞지 않습니다,URL格式不匹配
2040,无效的配置文件,Invalid configuration file,Ungültige Konfigurationsdatei,無効な設定ファイル,Fichier de configuration invalide,Archivo de configuración no válido,Ficheiro de configuração inválido,File di configurazione non valido,File di configurazione non valido,유효하지 않은 설정 파일,無效的配置文件
2041,当前版本无需更新,The current version does not need to be updated,Die aktuelle Version muss nicht aktualisiert werden,現在のバージョンは更新する必要がない,La version actuelle ne doit pas être mise à jour,No es necesario actualizar la versión actual,A versão atual não precisa ser atualizada,La versione attuale non deve essere aggiornata,La versione corrente non necessita di aggiornamenti,현재 버전은 업데이트가 필요 없습니다,當前版本無需更新
2042,目前有任务正在执行,Executing tasks now,Es gibt laufende Aufgaben,現在実行中のタスクがある,Une tâche est actuellement en cours d'exécution,Ejecutando tareas ahora,Executando tarefas agora,Esecuzione dei compiti ora,Esecuzione delle attività in corso,현재 작업이 진행 중입니다,目前有任務正在執行
8150,端口已在使用中,Port already in use,Port ist bereits in Gebrauch,ポートが既に使われている,Port déjà utilisé,El puerto está utilizando,Porta já está em uso,Porta già in uso,Porta già in uso,포트가 이미 사용 중입니다,端口已在使用中
2043,当前版本的镜像正在下载中，请在本地镜像中查看,The current version image is being downloaded. Please check in local image,"Die aktuelle Version des Images wird gerade heruntergeladen, bitte überprüfen Sie es im lokale Image",現在のバージョンのミラーをダウンロード中です,L'image de la version actuelle est en cours de téléchargement. Veuillez vérifier dans l'image locale,"Se está descargando la imagen de la versión actual. Por favor, compruebe en la imagen local",A imagem da versão atual está sendo baixada. Verifique na imagem local,L'immagine della versione corrente è in fase di download. Controllare l'immagine locale,L'immagine della versione corrente è in fase di download. Controlla nell'immagine locale,"현재 버전 이미지가 다운로드 중이며, 로컬 이미지에서 확인하세요",當前版本的鏡像正在下載中，請在本地鏡像中查看
2044,镜像不存在,Image does not exist,Das Image existiert nicht,ミラーが存在しない,L'image n'existe pas,La imagen no existe,Imagem não existe,L'immagine non esiste,L'immagine non esiste,이미지가 존재하지 않습니다,鏡像不存在
2100,无效的终端命令,Invalid terminal command,Ungültiger Terminalbefehl,無効なターミナルコマンド,Commande de terminal non valide,Comando de terminal no válido,Comando de terminal inválido,Comando del terminale non valido,Comando terminale non valido,유효하지 않은 터미널 명령어,無效的終端命令
2051,镜像仓库URL，别名重复,Mirror repository URL duplicate alias,Image-Repository-URL hat doppelten Alias,ミラーのリポジトリURLのエイリアスが重複しています,URL du référentiel miroir alias dupliqué,Alias duplicado de la URL del repositorio espejo,URL do repositório de imagens com alias duplicado,URL del repository mirror alias duplicato,Alias duplicato per l'URL del repository di mirror,이미지 리포지토리 URL 또는 별명이 중복되었습니다,鏡像倉庫URL，別名重複
2052,镜像名存在特殊字符,The image name contains special characters,Image-Name enthält Sonderzeichen,ミラー名の特殊文字,Le nom de l'image contient des caractères spéciaux,El nombre de la imagen contiene caracteres especiales,O nome da imagem contém caracteres especiais,Il nome dell'immagine contiene caratteri speciali,Il nome dell'immagine contiene caratteri speciali,이미지 이름에 특수 문자가 포함되어 있습니다,鏡像名存在特殊字符
2053,已存在项目yaml文件,The project yaml file already exists,Die Projekt YAML-Datei existiert bereits,プロジェクトのyamlファイルがすでに存在する,Le fichier yaml du projet existe déjà,El archivo yaml del proyecto ya existe,O ficheiro yaml do projeto já existe,Il file yaml del progetto esiste già,Il file yaml del progetto esiste già,프로젝트 yaml 파일이 이미 존재합니다,已存在項目yaml文件
2054,项目名已存在,Project name already exists,Der Projektname existiert bereits,プロジェクト名が既に存在する,Le nom du projet existe déjà,El nombre del proyecto ya existe,Nome do projeto já existe,Il nome del progetto esiste già,Il nome del progetto esiste già,프로젝트 이름이 이미 존재합니다,項目名已存在
2055,volumes 参数配置错误: 不存在的 NAS 路径 (第 %v 行),Volumes parameter configuration error: NAS path not found (Line %v),Volumes-Parameter Konfigurationsfehler: Nicht vorhandene NAS-Pfade (Zeilen %v),volumes パラメータの構成ミス: 存在しないNASパス (第 %v 行),Erreur de configuration des paramètres des volumes : Chemin d'accès NAS non trouvé (Ligne %v),Error de configuración de parámetros de volúmenes: Ruta NAS no encontrada (Línea %v),Erro na configuração do parâmetro de volumes: caminho NAS não encontrado (Linha %v),Errore di configurazione dei parametri dei volumi: Percorso NAS non trovato (Linea %v),Errore di configurazione del parametro Volumes: percorso NAS non trovato (Linea %v),volumes 파라미터 구성 오류: 존재하지 않는 NAS 경로 (라인 %v),volumes 參數配置錯誤: 不存在的 NAS 路徑 (第 %v 行)
2056,IP格式有误,Wrong IP format,Falsches IP-Format,不正な IP 形式,Format IP incorrect,Formato IP incorrecto,Formato de IP incorreto,Formato IP errato,Formato IP errato,IP 형식이 잘못되었습니다,IP格式有誤
2057,IP不在子网范围,IP not in subnet range,IP nicht im Subnetzbereich,IPがサブネット範囲にありません,L'IP n'est pas dans la plage de sous-réseau,IP no en rango de subred,IP fora do intervalo da sub-rede,IP non compreso nell'intervallo di sottorete,L'IP non è nell'intervallo della subnet,IP가 서브넷 범위에 없습니다,IP不在子網範圍
2058,IP与网关冲突,IP conflicts with the gateway,IP- und Gateway-Konflikt,IPがゲートウェイと競合しています,Conflits d'IP avec la passerelle,Conflictos de IP con la pasarela,IP em conflito com o gateway,Conflitti IP con il gateway,L'IP è in conflitto con il gateway,IP와 게이트웨이가 충돌합니다,IP與網關衝突
2061,所选路径被其他项目使用，请选择其他路径,The selected path is used by other projects. Please select another path,Der ausgewählte Pfad wird von einem anderen Projekt verwendet. Bitte einen anderen Pfad wählen,選択したパスは他のプロジェクトで使用されています。別のパスを選択してください。,Le chemin sélectionné est utilisé par d'autres projets. Veuillez sélectionner un autre chemin.,"La ruta seleccionada es utilizada por otros proyectos. Por favor, seleccione otra ruta","O caminho selecionado é utilizado por outros projetos. Por favor, selecione outro caminho",Het geselecteerde pad wordt gebruikt door andere projecten. Selecteer een ander pad,Il percorso selezionato è utilizzato da altri progetti. Si prega di selezionare un altro percorso,선택한 경로가 다른 프로젝트에서 사용 중입니다. 다른 경로를 선택하세요,所選路徑被其他項目使用，請選擇其他路徑
2063,开始创建容器，当前创建将占用较长时间,Start creating containers. It will take a long time.,Erstellen von Containern starten. Das wird längere Zeit dauern.,コンテナの作成を開始します。現在の作成には時間がかかる可能性があります。,Démarrage de la création des conteneurs. Cela prendra un certain temps.,Comience a crear contenedores. Tardará mucho tiempo,Iniciando a criação de contenteres. Isso levará um longo tempo.,Begin met het maken van containers. Het zal lang duren.,Inizio della creazione dei container. Ci vorrà del tempo.,"컨테이너 생성 시작, 현재 생성은 시간이 오래 걸릴 수 있습니다",開始創建容器，當前創建將佔用較長時間
2064,网关格式不合法,Invalid gateway format,Ungültiges Gatewayformat,ゲートウェイの形式が無効です。,Format de passerelle invalide,Formato de puerta de enlace no válido,Formato de gateway inválido,Ongeldige gateway indeling,Formato del gateway non valido,게이트웨이 형식이 올바르지 않습니다,網關格式不合法
2065,网关IP未在子网范围内,Gateway IP not in subnet range,Gateway-IP nicht im Subnetzbereich,ゲートウェイIPがサブネット範囲内にありません。,L'IP de la passerelle n'est pas dans la plage du sous-réseau.,La IP de la puerta de enlace no está en el rango de subred,IP do gateway não está dentro do intervalo da sub-rede,Gateway IP niet in subnet bereik,L'IP del gateway non è nell'intervallo della subnet,게이트웨이 IP가 서브넷 범위에 없습니다,網關IP未在子網範圍內
2066,网关IP冲突,Gateway IP conflict,Gateway-IP-Konflikt,ゲートウェイIPが競合しています。,Conflit d'IP de passerelle,Conflicto de IP de puerta de enlace,Conflito de IP do gateway,Gateway IP conflict,Conflitto dell'IP del gateway,게이트웨이 IP 충돌,網關IP衝突
2067,仅支持Docker官网URL,Only Docker official website URL available,Nur offizielles Website-URL von Docker verfügbar,Docker公式URLのみがサポートされています。,Seule l'URL du site officiel de Docker est disponible.,Sólo está disponible la URL del sitio web oficial de Docker,Somente URL oficial do Docker é permitido,Alleen officiële Docker website URL beschikbaar,Solo l'URL del sito ufficiale di Docker è disponibile,Docker 공식 URL만 지원합니다,僅支持Docker官網URL
2068,无效的URL，请从官方详情页获取,Invalid URL， please get it from official details page,Ungültiges URL. Bitte es von der offiziellen Detailseite abrufen,無効なURLです。公式詳細ページから取得してください。,"URL invalide, veuillez l'obtenir à partir de la page des détails officiels","URL no válida, por favor, obténgala de la página de detalles oficiales","URL inválida, por favor, obtenha-a na página de detalhes oficial","Ongeldige URL, haal deze op van de officiële detail pagina","URL non valido, si prega di ottenerlo dalla pagina dei dettagli ufficiali",유효하지 않은 URL입니다. 공식 상세 페이지에서 URL을 가져오세요,無效的URL，請從官方詳情頁獲取
2071,请选择镜像文件,Select image file,Bitte Imagedatei auswählen,イメージファイルを選択してください。,Sélectionner le fichier image,Seleccione el archivo de imagen,Selecione o ficheiro de imagem,Selecteer afbeeldings bestand,Seleziona il file immagine,이미지 파일을 선택하세요,請選擇鏡像文件
2072,下载失败，未知异常,"Download failed, unknown error.","Download fehlgeschlagen, unbekannter Fehler.",ダウンロードに失敗、不明なエラー,"Échec du téléchargement, erreur inconnue","Error de descarga, error desconocido","Falha no download, erro desconhecido.","Download mislukt, onbekende fout.","Download fallito, errore sconosciuto.","다운로드 실패, 알 수 없는 예외",下載失敗，未知異常
2073,下载失败，请检查当前NAS网络及镜像仓库相关的配置,"Download failed, please check the current NAS network and the related configurations of the image repository.","Download fehlgeschlagen, bitte überprüfen Sie das aktuelle NAS-Netzwerk und die zugehörigen Konfigurationen der Image-Datenbank.",ダウンロードに失敗、現在のNASネットワークとミラーリポジトリ関連の構成を確認してください,"Échec du téléchargement, veuillez vérifier le réseau NAS actuel et les configurations associées du dépôt d'images","Error de descarga, compruebe la red NAS actual y las configuraciones relacionadas del repositorio de imágenes","Falha no download, por favor verifique a rede NAS atual e as configurações relacionadas do repositório de imagens.",Downloaden mislukt. Controleer het huidige NAS netwerk en de bijbehorende configuraties van de afbeelding archief,"Download fallito, controlla la rete del NAS corrente e le configurazioni correlate del repository delle immagini.","다운로드 실패, 현재 NAS 네트워크 및 이미지 리포지토리 관련 설정을 확인하세요",下載失敗，請檢查當前NAS網絡及鏡像倉庫相關的配置
2074,下载失败，请检查镜像名称是否正确,"Download failed, please check the image name","Download fehlgeschlagen, bitte überprüfen Sie, ob der Image-Name korrekt ist.",ダウンロードに失敗、ミラー名が正しいか確認してください,"Échec du téléchargement, veuillez vérifier le nom de l'image","Error de descarga, compruebe el nombre de la imagen","Falha no download, por favor verifique o nome da imagem.","Downloaden mislukt, controleer de afbeeldings naam ","Download fallito, controlla il nome dell'immagine.","다운로드 실패, 이미지 이름이 올바른지 확인하세요",下載失敗，請檢查鏡像名稱是否正確
2075,下载失败，请检查镜像版本号是否正确,"Download failed, please check the version number","Download fehlgeschlagen, bitte überprüfen Sie, ob die Versionsnummer korrekt ist.",ダウンロードに失敗、ミラーのバージョン番号正しいか確認してください,"Échec du téléchargement, veuillez vérifier le numéro de version","Error de descarga, compruebe el número de versión","Falha no download, por favor verifique o número da versão.","Download mislukt, controleer het versie nummer ","Download fallito, controlla il numero di versione.","다운로드 실패, 이미지 버전 번호가 올바른지 확인하세요",下載失敗，請檢查鏡像版本號是否正確
2076,下载失败，请检查镜像仓库的访问配置是否正确,"Download failed, please check the access configuration of the image repository.","Download fehlgeschlagen, bitte überprüfen Sie, ob die Zugriffskonfiguration der Image-Datenbank korrekt ist.",ダウンロードに失敗、ミラーリポジトリーのアクセス設定が正しいか確認してください,"Échec du téléchargement, veuillez vérifier la configuration d'accès du dépôt d'images","Error de descarga, compruebe la configuración de acceso del repositorio de imágenes","Falha no download, por favor verifique a configuração de acesso do repositório de imagens.",Downloaden mislukt. Controleer de toegangs configuratie van de afbeelding archief. ,"Download fallito, controlla la configurazione di accesso al repository delle immagini.","다운로드 실패, 이미지 리포지토리 접근 설정이 올바른지 확인하세요",下載失敗，請檢查鏡像倉庫的訪問配置是否正確
2081,当前有更新任务，无法修改加速器或代理,Update in progress. Unable to modify the registry or proxy information,Update läuft. Registrierung- oder Proxy-Informationen können nicht geändert werden,現在更新タスクがあるため、レジストリまたはプロキシを変更できません。,Mise à jour en cours. Impossible de modifier les informations du registre ou du proxy.,Actualización en curso. No es posible modificar la información del registro o del proxy,Atualização em andamento. Não é possível modificar o registro ou as informações do proxy,Bezig met bijwerken. Register- of proxy-informatie kan niet worden gewijzigd,Aggiornamento in corso. Impossibile modificare il registro o le informazioni del proxy,"업데이트 중, 레지스트리나 프록시 변경 불가",目前有更新任務，無法修改加速器或代理
